INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
430	17593	1	17594	1	17595	1	17596	1	17597	1	17598	1	17599	1	17600	1	17601	1	17602	1
431	17563	1	17564	1	17565	1	17566	1	17567	1	17568	1	17569	1	17570	1	17571	1	17572	1
432	17573	1	17574	1	17575	1	17576	1	17577	1	17578	1	17579	1	17580	1	17581	1	17582	1
433	17583	1	17584	1	17585	1	17586	1	17587	1	17588	1	17589	1	17590	1	17591	1	17592	1
434	17593	1	17594	1	17595	1	17596	1	17597	1	17598	1	17599	1	17600	1	17601	1	17602	1
439	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
440	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
441	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
442	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
445	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
446	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
447	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
