INT	STRING	INT
16730	秦宫秘境四层	0
16731	秦宫秘境四层	0
16732	秦宫秘境四层	0
16733	秦宫秘境四层	0
16734	秦宫秘境四层	0
16735	秦宫秘境四层	0
16736	秦宫秘境四层	0
16737	秦宫秘境四层	0
16738	秦宫秘境四层	0
16739	秦宫秘境四层	0
16740	秦宫秘境四层	0
16741	秦宫秘境四层	0
16742	秦宫秘境四层	0
16743	秦宫秘境四层	0
16744	秦宫秘境四层	0
16745	秦宫秘境四层	0
16746	秦宫秘境四层	0
16747	秦宫秘境四层	0
16748	秦宫秘境四层	0
16749	秦宫秘境四层	0
16750	秦宫秘境四层	0
16751	秦宫秘境四层	0
16752	秦宫秘境四层	0
16753	秦宫秘境四层	0
16754	秦宫秘境四层	0
16755	秦宫秘境四层	0
16756	秦宫秘境四层	0
16757	秦宫秘境四层	0
16758	秦宫秘境四层	0
16759	秦宫秘境四层	0
16760	秦宫秘境四层	0
16761	秦宫秘境四层	0
16762	秦宫秘境四层	0
16763	秦宫秘境四层	0
16764	秦宫秘境四层	0
16765	秦宫秘境四层	0
16766	秦宫秘境四层	0
16767	秦宫秘境四层	0
16768	秦宫秘境四层	0
16769	秦宫秘境四层	0
16770	秦宫秘境四层	0
16771	秦宫秘境四层	0
16772	秦宫秘境四层	0
16773	秦宫秘境四层	0
16774	秦宫秘境四层	0
16775	秦宫秘境四层	0
16776	秦宫秘境四层	0
16777	秦宫秘境四层	0
16778	秦宫秘境四层	0
16779	秦宫秘境四层	0
16780	秦宫秘境四层	0
16781	秦宫秘境四层	0
16782	秦宫秘境四层	0
16783	秦宫秘境四层	0
16784	秦宫秘境四层	0
16785	秦宫秘境四层	0
16786	秦宫秘境四层	0
16787	秦宫秘境四层	0
16788	秦宫秘境四层	0
16789	秦宫秘境四层	0
16790	秦宫秘境四层	0
16791	秦宫秘境四层	0
16792	秦宫秘境四层	0
16793	秦宫秘境四层	0
16794	秦宫秘境四层	0
16795	秦宫秘境四层	0
16796	秦宫秘境四层	0
16797	秦宫秘境四层	0
16798	秦宫秘境四层	0
16799	秦宫秘境四层	0
16800	秦宫秘境四层	0
16801	秦宫秘境四层	0
16802	秦宫秘境四层	0
16803	秦宫秘境四层	0
16804	秦宫秘境四层	0
16805	秦宫秘境四层	0
16806	秦宫秘境四层	0
16807	秦宫秘境四层	0
16808	秦宫秘境四层	0
16809	秦宫秘境四层	0
16810	秦宫秘境四层	0
16811	秦宫秘境四层	0
16812	秦宫秘境四层	0
16813	秦宫秘境四层	0
16814	秦宫秘境四层	0
16815	秦宫秘境四层	0
16816	秦宫秘境四层	0
16817	秦宫秘境四层	0
16818	秦宫秘境四层	0
16819	秦宫秘境四层	0
16820	秦宫秘境四层	0
16821	秦宫秘境四层	0
16822	秦宫秘境四层	0
16823	秦宫秘境四层	0
16824	秦宫秘境四层	0
16825	秦宫秘境四层	0
16826	秦宫秘境四层	0
16827	秦宫秘境四层	0
16828	秦宫秘境四层	0
16829	秦宫秘境四层	0
16830	秦宫秘境四层	0
16831	秦宫秘境四层	0
16832	秦宫秘境四层	0
16833	秦宫秘境四层	0
16834	秦宫秘境四层	0
16835	秦宫秘境四层	0
16836	秦宫秘境四层	0
16837	秦宫秘境四层	0
16838	秦宫秘境四层	0
16839	秦宫秘境四层	0
16840	秦宫秘境四层	0
16841	秦宫秘境四层	0
16842	秦宫秘境四层	0
16843	秦宫秘境四层	0
16844	秦宫秘境四层	0
16845	秦宫秘境四层	0
16846	秦宫秘境四层	0
16847	秦宫秘境四层	0
16848	秦宫秘境四层	0
16849	秦宫秘境四层	0
16850	秦宫秘境四层	0
16851	秦宫秘境四层	0
16852	秦宫秘境四层	0
16853	秦宫秘境四层	0
16854	秦宫秘境四层	0
16855	秦宫秘境四层	0
16856	秦宫秘境四层	0
16857	秦宫秘境四层	0
16858	秦宫秘境四层	0
16859	秦宫秘境四层	0
16860	秦宫秘境四层	0
16861	秦宫秘境四层	0
16862	秦宫秘境四层	0
16863	秦宫秘境四层	0
16864	秦宫秘境四层	0
16865	秦宫秘境四层	0
16866	秦宫秘境四层	0
16867	秦宫秘境四层	0
16868	秦宫秘境四层	0
16869	秦宫秘境四层	0
16870	秦宫秘境四层	0
16871	秦宫秘境四层	0
16872	秦宫秘境四层	0
16873	秦宫秘境四层	0
16874	秦宫秘境四层	0
16875	秦宫秘境四层	0
16876	秦宫秘境四层	0
16877	秦宫秘境四层	0
16878	秦宫秘境四层	0
16879	秦宫秘境四层	0
16880	秦宫秘境四层	0
16881	秦宫秘境四层	0
16882	秦宫秘境四层	0
16883	秦宫秘境四层	0
16884	秦宫秘境四层	0
16912	不老殿	0
16913	不老殿	0
16914	不老殿	0
16915	不老殿	0
16916	不老殿	0
16917	不老殿	0
16918	不老殿	0
16919	不老殿	0
16920	不老殿	0
16921	不老殿	0
16922	不老殿	0
16923	不老殿	0
16924	不老殿	0
16925	不老殿	0
16926	不老殿	0
16927	不老殿	0
16928	不老殿	0
16929	不老殿	0
16930	不老殿	0
16931	不老殿	0
16932	不老殿	0
16933	不老殿	0
16934	不老殿	0
16935	不老殿	0
16936	不老殿	0
16937	不老殿	0
16938	不老殿	0
16939	不老殿	0
16940	不老殿	0
16941	不老殿	0
16942	不老殿	0
16943	不老殿	0
16944	不老殿	0
16945	不老殿	0
16946	不老殿	0
16947	不老殿	0
16948	不老殿	0
16949	不老殿	0
16950	不老殿	0
16951	不老殿	0
16952	不老殿	0
16953	不老殿	0
16954	不老殿	0
16955	不老殿	0
16956	不老殿	0
16957	不老殿	0
16958	不老殿	0
16959	不老殿	0
16960	不老殿	0
16961	不老殿	0
16962	不老殿	0
16963	不老殿	0
16964	不老殿	0
16965	不老殿	0
16966	不老殿	0
16967	不老殿	0
16968	不老殿	0
16969	不老殿	0
16970	不老殿	0
16971	不老殿	0
16972	不老殿	0
16973	不老殿	0
16974	不老殿	0
16975	不老殿	0
16976	不老殿	0
16977	不老殿	0
16978	不老殿	0
16979	不老殿	0
16980	不老殿	0
16981	不老殿	0
16982	不老殿	0
16983	不老殿	0
16984	不老殿	0
16985	不老殿	0
16986	不老殿	0
16987	不老殿	0
16988	不老殿	0
16989	不老殿	0
16990	不老殿	0
16991	不老殿	0
16992	不老殿	0
16993	不老殿	0
16994	不老殿	0
16995	不老殿	0
16996	不老殿	0
16997	不老殿	0
16998	不老殿	0
16999	不老殿	0
17000	不老殿	0
17001	不老殿	0
17002	不老殿	0
17003	不老殿	0
17004	不老殿	0
17005	不老殿	0
17006	不老殿	0
17007	不老殿	0
17008	不老殿	0
17009	不老殿	0
17010	不老殿	0
17011	不老殿	0
17012	柳林渡·下山塞一	0
17013	柳林渡·下山塞二	0
17014	柳林渡·下山塞三	0
17015	柳林渡·下山塞四	0
17016	柳林渡·下山塞五	0
17017	柳林渡·河尾谷一	0
17018	柳林渡·河尾谷二	0
17019	柳林渡·河尾谷三	0
17020	柳林渡·河尾谷四	0
17021	柳林渡·铁骑营一	0
17022	柳林渡·走马堡一	0
17023	柳林渡·走马堡二	0
17024	柳林渡·走马堡三	0
17025	柳林渡·走马堡四	0
17026	柳林渡·走马堡五	0
17027	柳林渡·铁骑营一	0
17028	柳林渡·铁骑营二	0
17029	柳林渡·铁骑营三	0
17030	柳林渡·铁骑营四	0
17031	柳林渡·铁骑营五	0
17112	望烽台·下山塞一	0
17113	望烽台·下山塞二	0
17114	望烽台·下山塞三	0
17115	望烽台·下山塞四	0
17116	望烽台·下山塞五	0
17117	望烽台·河尾谷一	0
17118	望烽台·河尾谷二	0
17119	望烽台·河尾谷三	0
17120	望烽台·河尾谷四	0
17121	望烽台·铁骑营一	0
17122	望烽台·走马堡一	0
17123	望烽台·走马堡二	0
17124	望烽台·走马堡三	0
17125	望烽台·走马堡四	0
17126	望烽台·走马堡五	0
17127	望烽台·铁骑营一	0
17128	望烽台·铁骑营二	0
17129	望烽台·铁骑营三	0
17130	望烽台·铁骑营四	0
17131	望烽台·铁骑营五	0
17132	望烽台·草野垛一	0
17133	望烽台·草野垛二	0
17134	望烽台·草野垛三	0
17135	望烽台·下山塞一	0
17136	望烽台·走马堡一	0
17137	柳林渡·草野垛一	0
17138	柳林渡·草野垛二	0
17139	柳林渡·草野垛三	0
17140	柳林渡·下山塞一	0
17141	柳林渡·走马堡一	0
17163	沉月古塔一层	0
17164	沉月古塔二层	0
17165	沉月古塔三层	0
17166	沉月古塔四层	0
17167	地火古塔一层	0
17168	地火古塔二层	0
17169	地火古塔三层	0
17170	地火古塔四层	0
17171	繁林古塔一层	0
17172	繁林古塔二层	0
17173	繁林古塔三层	0
17174	繁林古塔四层	0
17175	锁龙古塔二层	0
17176	锁龙古塔三层	0
17177	锁龙古塔四层	0
17178	沉月古塔一层	0
17179	沉月古塔二层	0
17180	沉月古塔三层	0
17181	沉月古塔四层	0
17182	地火古塔一层	0
17183	地火古塔二层	0
17184	地火古塔三层	0
17185	地火古塔四层	0
17186	繁林古塔一层	0
17187	繁林古塔二层	0
17188	繁林古塔三层	0
17189	繁林古塔四层	0
17190	锁龙古塔二层	0
17191	锁龙古塔三层	0
17192	锁龙古塔四层	0
17193	沉月古塔一层	0
17194	沉月古塔二层	0
17195	沉月古塔三层	0
17196	沉月古塔四层	0
17197	地火古塔一层	0
17198	地火古塔二层	0
17199	地火古塔三层	0
17200	地火古塔四层	0
17201	繁林古塔一层	0
17202	繁林古塔二层	0
17203	繁林古塔三层	0
17204	繁林古塔四层	0
17205	锁龙古塔二层	0
17206	锁龙古塔三层	0
17207	锁龙古塔四层	0
17208	沉月古塔一层	0
17209	沉月古塔二层	0
17210	沉月古塔三层	0
17211	沉月古塔四层	0
17212	地火古塔一层	0
17213	地火古塔二层	0
17214	地火古塔三层	0
17215	地火古塔四层	0
17216	繁林古塔一层	0
17217	繁林古塔二层	0
17218	繁林古塔三层	0
17219	繁林古塔四层	0
17220	锁龙古塔二层	0
17221	锁龙古塔三层	0
17222	锁龙古塔四层	0
17223	沉月古塔一层	0
17224	沉月古塔二层	0
17225	沉月古塔三层	0
17226	沉月古塔四层	0
17227	地火古塔一层	0
17228	地火古塔二层	0
17229	地火古塔三层	0
17230	地火古塔四层	0
17231	繁林古塔一层	0
17232	繁林古塔二层	0
17233	繁林古塔三层	0
17234	繁林古塔四层	0
17235	锁龙古塔二层	0
17236	锁龙古塔三层	0
17237	锁龙古塔四层	0
17238	沉月古塔一层	0
17239	沉月古塔二层	0
17240	沉月古塔三层	0
17241	沉月古塔四层	0
17242	地火古塔一层	0
17243	地火古塔二层	0
17244	地火古塔三层	0
17245	地火古塔四层	0
17246	繁林古塔一层	0
17247	繁林古塔二层	0
17248	繁林古塔三层	0
17249	繁林古塔四层	0
17250	锁龙古塔二层	0
17251	锁龙古塔三层	0
17252	锁龙古塔四层	0
17253	沉月古塔一层	0
17254	沉月古塔二层	0
17255	沉月古塔三层	0
17256	沉月古塔四层	0
17257	地火古塔一层	0
17258	地火古塔二层	0
17259	地火古塔三层	0
17260	地火古塔四层	0
17261	繁林古塔一层	0
17262	繁林古塔二层	0
17263	繁林古塔三层	0
17264	繁林古塔四层	0
17265	锁龙古塔二层	0
17266	锁龙古塔三层	0
17267	锁龙古塔四层	0
17268	沉月古塔一层	0
17269	沉月古塔二层	0
17270	沉月古塔三层	0
17271	沉月古塔四层	0
17272	地火古塔一层	0
17273	地火古塔二层	0
17274	地火古塔三层	0
17275	地火古塔四层	0
17276	繁林古塔一层	0
17277	繁林古塔二层	0
17278	繁林古塔三层	0
17279	繁林古塔四层	0
17280	锁龙古塔二层	0
17281	锁龙古塔三层	0
17282	锁龙古塔四层	0
17283	沉月古塔一层	0
17284	沉月古塔二层	0
17285	沉月古塔三层	0
17286	沉月古塔四层	0
17287	地火古塔一层	0
17288	地火古塔二层	0
17289	地火古塔三层	0
17290	地火古塔四层	0
17291	繁林古塔一层	0
17292	繁林古塔二层	0
17293	繁林古塔三层	0
17294	繁林古塔四层	0
17295	锁龙古塔二层	0
17296	锁龙古塔三层	0
17297	锁龙古塔四层	0
17298	沉月古塔一层	0
17299	沉月古塔二层	0
17300	沉月古塔三层	0
17301	沉月古塔四层	0
17302	地火古塔一层	0
17303	地火古塔二层	0
17304	地火古塔三层	0
17305	地火古塔四层	0
17306	繁林古塔一层	0
17307	繁林古塔二层	0
17308	繁林古塔三层	0
17309	繁林古塔四层	0
17310	锁龙古塔二层	0
17311	锁龙古塔三层	0
17312	锁龙古塔四层	0
17313	沉月古塔一层	0
17314	沉月古塔二层	0
17315	沉月古塔三层	0
17316	沉月古塔四层	0
17317	地火古塔一层	0
17318	地火古塔二层	0
17319	地火古塔三层	0
17320	地火古塔四层	0
17321	繁林古塔一层	0
17322	繁林古塔二层	0
17323	繁林古塔三层	0
17324	繁林古塔四层	0
17325	锁龙古塔二层	0
17326	锁龙古塔三层	0
17327	锁龙古塔四层	0
17328	沉月古塔一层	0
17329	沉月古塔二层	0
17330	沉月古塔三层	0
17331	沉月古塔四层	0
17332	地火古塔一层	0
17333	地火古塔二层	0
17334	地火古塔三层	0
17335	地火古塔四层	0
17336	繁林古塔一层	0
17337	繁林古塔二层	0
17338	繁林古塔三层	0
17339	繁林古塔四层	0
17340	锁龙古塔二层	0
17341	锁龙古塔三层	0
17342	锁龙古塔四层	0
17343	沉月古塔一层	0
17344	沉月古塔二层	0
17345	沉月古塔三层	0
17346	沉月古塔四层	0
17347	地火古塔一层	0
17348	地火古塔二层	0
17349	地火古塔三层	0
17350	地火古塔四层	0
17351	繁林古塔一层	0
17352	繁林古塔二层	0
17353	繁林古塔三层	0
17354	繁林古塔四层	0
17355	锁龙古塔二层	0
17356	锁龙古塔三层	0
17357	锁龙古塔四层	0
17358	沉月古塔一层	0
17359	沉月古塔二层	0
17360	沉月古塔三层	0
17361	沉月古塔四层	0
17362	地火古塔一层	0
17363	地火古塔二层	0
17364	地火古塔三层	0
17365	地火古塔四层	0
17366	繁林古塔一层	0
17367	繁林古塔二层	0
17368	繁林古塔三层	0
17369	繁林古塔四层	0
17370	锁龙古塔二层	0
17371	锁龙古塔三层	0
17372	锁龙古塔四层	0
17373	沉月古塔一层	0
17374	沉月古塔二层	0
17375	沉月古塔三层	0
17376	沉月古塔四层	0
17377	地火古塔一层	0
17378	地火古塔二层	0
17379	地火古塔三层	0
17380	地火古塔四层	0
17381	繁林古塔一层	0
17382	繁林古塔二层	0
17383	繁林古塔三层	0
17384	繁林古塔四层	0
17385	锁龙古塔二层	0
17386	锁龙古塔三层	0
17387	锁龙古塔四层	0
17448	锁龙古塔一层	0
17449	锁龙古塔一层	0
17450	锁龙古塔一层	0
17451	锁龙古塔一层	0
17452	锁龙古塔一层	0
17453	锁龙古塔一层	0
17454	锁龙古塔一层	0
17455	锁龙古塔一层	0
17456	锁龙古塔一层	0
17457	锁龙古塔一层	0
17458	锁龙古塔一层	0
17459	锁龙古塔一层	0
17460	锁龙古塔一层	0
17461	锁龙古塔一层	0
17462	锁龙古塔一层	0
17463	沉月古塔一层	0
17464	沉月古塔二层	0
17465	沉月古塔三层	0
17466	沉月古塔四层	0
17467	地火古塔一层	0
17468	地火古塔二层	0
17469	地火古塔三层	0
17470	地火古塔四层	0
17471	繁林古塔一层	0
17472	繁林古塔二层	0
17473	繁林古塔三层	0
17474	繁林古塔四层	0
17475	锁龙古塔二层	0
17476	锁龙古塔三层	0
17477	锁龙古塔四层	0
17478	沉月古塔一层	0
17479	沉月古塔二层	0
17480	沉月古塔三层	0
17481	沉月古塔四层	0
17482	地火古塔一层	0
17483	地火古塔二层	0
17484	地火古塔三层	0
17485	地火古塔四层	0
17486	繁林古塔一层	0
17487	繁林古塔二层	0
17488	繁林古塔三层	0
17489	繁林古塔四层	0
17490	锁龙古塔二层	0
17491	锁龙古塔三层	0
17492	锁龙古塔四层	0
17493	沉月古塔一层	0
17494	沉月古塔二层	0
17495	沉月古塔三层	0
17496	沉月古塔四层	0
17497	地火古塔一层	0
17498	地火古塔二层	0
17499	地火古塔三层	0
17500	地火古塔四层	0
17501	繁林古塔一层	0
17502	繁林古塔二层	0
17503	繁林古塔三层	0
17504	繁林古塔四层	0
17505	锁龙古塔二层	0
17506	锁龙古塔三层	0
17507	锁龙古塔四层	0
17508	沉月古塔一层	0
17509	沉月古塔二层	0
17510	沉月古塔三层	0
17511	沉月古塔四层	0
17512	地火古塔一层	0
17513	地火古塔二层	0
17514	地火古塔三层	0
17515	地火古塔四层	0
17516	繁林古塔一层	0
17517	繁林古塔二层	0
17518	繁林古塔三层	0
17519	繁林古塔四层	0
17520	锁龙古塔二层	0
17521	锁龙古塔三层	0
17522	锁龙古塔四层	0
17523	沉月古塔一层	0
17524	沉月古塔二层	0
17525	沉月古塔三层	0
17526	沉月古塔四层	0
17527	地火古塔一层	0
17528	地火古塔二层	0
17529	地火古塔三层	0
17530	地火古塔四层	0
17531	繁林古塔一层	0
17532	繁林古塔二层	0
17533	繁林古塔三层	0
17534	繁林古塔四层	0
17535	锁龙古塔二层	0
17536	锁龙古塔三层	0
17537	锁龙古塔四层	0
17558	锁龙古塔一层	0
17559	锁龙古塔一层	0
17560	锁龙古塔一层	0
17561	锁龙古塔一层	0
17562	锁龙古塔一层	0
17603	锁龙古塔一层	0
17604	锁龙古塔二层	0
17605	锁龙古塔三层	0
17606	锁龙古塔四层	0
17607	锁龙古塔一层	0
17608	锁龙古塔二层	0
17609	锁龙古塔三层	0
17610	锁龙古塔四层	0
17611	锁龙古塔一层	0
17612	锁龙古塔二层	0
17613	锁龙古塔三层	0
17614	锁龙古塔四层	0
17615	锁龙古塔一层	0
17616	锁龙古塔二层	0
17617	锁龙古塔三层	0
17618	锁龙古塔四层	0
17619	锁龙古塔一层	0
17620	锁龙古塔二层	0
17621	锁龙古塔三层	0
17622	锁龙古塔四层	0
17623	锁龙古塔一层	0
17624	锁龙古塔二层	0
17625	锁龙古塔三层	0
17626	锁龙古塔四层	0
17627	锁龙古塔一层	0
17628	锁龙古塔二层	0
17629	锁龙古塔三层	0
17630	锁龙古塔四层	0
17631	锁龙古塔一层	0
17632	锁龙古塔二层	0
17633	锁龙古塔三层	0
17634	锁龙古塔四层	0
17635	锁龙古塔一层	0
17636	锁龙古塔二层	0
17637	锁龙古塔三层	0
17638	锁龙古塔四层	0
17639	锁龙古塔一层	0
17640	锁龙古塔二层	0
17641	锁龙古塔三层	0
17642	锁龙古塔四层	0
17643	锁龙古塔一层	0
17644	锁龙古塔二层	0
17645	锁龙古塔三层	0
17646	锁龙古塔四层	0
17647	锁龙古塔一层	0
17648	锁龙古塔二层	0
17649	锁龙古塔三层	0
17650	锁龙古塔四层	0
17651	锁龙古塔一层	0
17652	锁龙古塔二层	0
17653	锁龙古塔三层	0
17654	锁龙古塔四层	0
17655	锁龙古塔一层	0
17656	锁龙古塔二层	0
17657	锁龙古塔三层	0
17658	锁龙古塔四层	0
17659	锁龙古塔一层	0
17660	锁龙古塔二层	0
17661	锁龙古塔三层	0
17662	锁龙古塔四层	0
17663	锁龙古塔一层	0
17664	锁龙古塔二层	0
17665	锁龙古塔三层	0
17666	锁龙古塔四层	0
17667	锁龙古塔一层	0
17668	锁龙古塔二层	0
17669	锁龙古塔三层	0
17670	锁龙古塔四层	0
17671	锁龙古塔一层	0
17672	锁龙古塔二层	0
17673	锁龙古塔三层	0
17674	锁龙古塔四层	0
17675	锁龙古塔一层	0
17676	锁龙古塔二层	0
17677	锁龙古塔三层	0
17678	锁龙古塔四层	0
17679	锁龙古塔一层	0
17680	锁龙古塔二层	0
17681	锁龙古塔三层	0
17682	锁龙古塔四层	0
17703	沉月古塔一层	0
17704	沉月古塔二层	0
17705	沉月古塔三层	0
17706	沉月古塔四层	0
17707	地火古塔一层	0
17708	地火古塔二层	0
17709	地火古塔三层	0
17710	地火古塔四层	0
17711	繁林古塔一层	0
17712	繁林古塔二层	0
17713	繁林古塔三层	0
17714	繁林古塔四层	0
17715	沉月古塔一层	0
17716	沉月古塔二层	0
17717	沉月古塔三层	0
17718	沉月古塔四层	0
17719	地火古塔一层	0
17720	地火古塔二层	0
17721	地火古塔三层	0
17722	地火古塔四层	0
17723	繁林古塔一层	0
17724	繁林古塔二层	0
17725	繁林古塔三层	0
17726	繁林古塔四层	0
17727	沉月古塔一层	0
17728	沉月古塔二层	0
17729	沉月古塔三层	0
17730	沉月古塔四层	0
17731	地火古塔一层	0
17732	地火古塔二层	0
17733	地火古塔三层	0
17734	地火古塔四层	0
