INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3021	Ô Quân Biªn D¸	302	5	9	1	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	954	1379	848	848	954	540	594	621	702	810	800	150	20	20	10	1800000	3020
3029	Ô Quân Bäo Bäo	302	5	9	0	1	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	734	1060	652	652	734	540	594	621	702	810	800	150	20	20	10	1800000	3020
3030	C¦u Trß·ng Thành	303	5	9	0	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	1800000	3030
3031	C¦u Biªn D¸	303	5	9	1	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1448	1225	779	1002	779	642	706	738	834	963	10	20	800	20	150	1800000	3030
3039	C¦u Bäo Bäo	303	5	9	0	1	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	942	599	771	599	642	706	738	834	963	10	20	800	20	150	1800000	3030
3040	Si V¸ Trß·ng Thành	304	5	9	0	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	1800000	3040
3041	Si V¸ Biªn D¸	304	5	9	1	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1114	1114	1114	1114	642	706	738	834	963	150	800	20	20	10	1800000	3040
3049	Si V¸ Bäo Bäo	304	5	9	0	1	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	857	857	857	857	642	706	738	834	963	150	800	20	20	10	1800000	3040
3050	H¥u TØ Trß·ng Thành	305	5	9	0	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	1800000	3050
3051	H¥u TØ Biªn D¸	305	5	9	1	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	1114	1002	891	1448	779	642	706	738	834	963	20	50	20	900	10	1800000	3050
3059	H¥u TØ Bäo Bäo	305	5	9	0	1	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	857	771	685	1114	599	642	706	738	834	963	20	50	20	900	10	1800000	3050
3060	Tùng ThØ Trß·ng Thành	306	5	9	0	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	1800000	3060
3061	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	722	825	1341	825	1134	744	818	855	967	1116	800	150	20	20	10	1800000	3060
3062	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	816	932	1515	932	1282	744	818	855	967	1116	800	150	20	20	10	1800000	3060
3069	Tùng ThØ Bäo Bäo	306	5	9	0	1	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	800	150	20	20	10	1800000	3060
3070	Cán Hùng Trß·ng Thành	307	5	9	0	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	897	897	897	897	897	744	818	855	967	1116	150	800	20	20	10	1800000	3070
3071	Cán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1031	1031	1031	1031	1031	744	818	855	967	1116	10	20	20	150	800	1800000	3070
3072	Cán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	1166	1166	1166	1166	1166	744	818	855	967	1116	10	20	20	150	800	1800000	3070
3079	Cán Hùng Bäo Bäo	307	5	9	0	1	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	897	897	897	897	897	744	818	855	967	1116	10	20	20	150	800	1800000	3070
3080	Anh Vû Trß·ng Thành	308	5	9	0	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	20	50	20	900	10	1800000	3080
3081	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	722	825	1341	825	1134	744	818	855	967	1116	20	50	20	900	10	1800000	3080
3082	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	816	932	1515	932	1282	744	818	855	967	1116	20	50	20	900	10	1800000	3080
3089	Anh Vû Bäo Bäo	308	5	9	0	1	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	627	717	1166	717	986	744	818	855	967	1116	20	50	20	900	10	1800000	3080
3090	Tích D¸ch Trß·ng Thành	309	5	9	0	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	1800000	3090
3091	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	150	800	20	20	10	1800000	3090
3092	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	150	800	20	20	10	1800000	3090
3099	Tích D¸ch Bäo Bäo	309	5	9	0	1	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	150	800	20	20	10	1800000	3090
3100	Biên BÑc Trß·ng Thành	310	5	9	0	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	1800000	3100
3101	Biên BÑc Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	1078	1078	1078	1078	846	930	972	1099	1269	10	20	20	150	800	1800000	3100
3102	Biên BÑc Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1219	1219	1219	1219	846	930	972	1099	1269	10	20	20	150	800	1800000	3100
3109	Bi¬n BÑc Bäo Bäo	310	5	9	0	1	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	938	938	938	938	846	930	972	1099	1269	10	20	20	150	800	1800000	3100
3110	ÐÕi Ðß¶ng Lang Trß·ng Thành	311	5	9	0	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	1800000	3110
3111	ÐÕi Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1402	1186	755	970	755	846	930	972	1099	1269	20	300	150	500	30	1800000	3110
3112	ÐÕi Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1585	1341	853	1097	853	846	930	972	1099	1269	20	300	150	500	30	1800000	3110
3119	Ðß¶ng Lang Bäo Bäo	311	5	9	0	1	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1031	656	844	656	846	930	972	1099	1269	20	300	150	500	30	1800000	3110
3120	NgÕc Ngß Trß·ng Thành	312	5	9	0	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	1800000	3120
3121	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	970	1402	862	862	970	846	930	972	1099	1269	300	500	150	30	20	1800000	3120
3122	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1097	1585	975	975	1097	846	930	972	1099	1269	300	500	150	30	20	1800000	3120
3129	NgÕc Ngß Bäo Bäo	312	5	9	0	1	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	844	1219	750	750	844	846	930	972	1099	1269	300	500	150	30	20	1800000	3120
3130	Miêu Ð¥u ¿ng Trß·ng Thành	313	45	9	0	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	1800000	3130
3131	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1076	969	861	1399	753	948	1042	1090	1232	1422	150	800	20	20	10	1800000	3130
3132	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1174	1057	939	1527	822	948	1042	1090	1232	1422	150	800	20	20	10	1800000	3130
3133	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1145	1018	1654	890	948	1042	1090	1232	1422	150	800	20	20	10	1800000	3130
3139	Miêu Ð¥u ¿ng Bäo Bäo	313	45	9	0	1	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	979	881	783	1272	685	948	1042	1090	1232	1422	150	800	20	20	10	1800000	3130
3140	Hoan Trß·ng Thành	314	45	9	0	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	1800000	3140
3141	Hoan Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	30	50	100	700	120	1800000	3140
3142	Hoan Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	30	50	100	700	120	1800000	3140
3143	Hoan Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	30	50	100	700	120	1800000	3140
3149	Ch°n Bäo Bäo	314	45	9	0	1	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	30	50	100	700	120	1800000	3140
3150	Lão H± Trß·ng Thành	315	45	9	0	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	1800000	3150
3151	Lão H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	20	30	150	300	500	1800000	3150
3152	Lão H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	20	30	150	300	500	1800000	3150
3153	Lão H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	20	30	150	300	500	1800000	3150
3159	H± Bäo Bäo	315	45	9	0	1	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	20	30	150	300	500	1800000	3150
3160	Dã Trß Trß·ng Thành	316	45	9	0	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	1800000	3160
3161	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1399	1184	753	969	753	948	1042	1090	1232	1422	10	20	20	150	800	1800000	3160
3162	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1527	1292	822	1057	822	948	1042	1090	1232	1422	10	20	20	150	800	1800000	3160
3163	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1654	1399	890	1145	890	948	1042	1090	1232	1422	10	20	20	150	800	1800000	3160
3169	Dã Trß Bäo Bäo	316	45	9	0	1	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1272	1076	685	881	685	948	1042	1090	1232	1422	10	20	20	150	800	1800000	3160
3170	Bång Tàm Trß·ng Thành	317	55	9	0	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3171	Bång Tàm Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3172	Bång Tàm Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3173	Bång Tàm Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3174	Bång Tàm Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3179	Bång Tàm Bäo Bäo	317	55	9	0	1	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	800	150	20	20	10	1800000	3170
3180	¿ng Trß·ng Thành	318	55	9	0	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3181	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3182	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3183	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3184	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3189	¿ng Bäo Bäo	318	55	9	0	1	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	10	20	20	150	800	1800000	3180
3190	Ðà Ði¬u Trß·ng Thành	319	55	9	0	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3191	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3192	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3193	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3194	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3199	Ðà Ði¬u Bäo Bäo	319	55	9	0	1	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	500	300	150	30	20	1800000	3190
3200	Báo TØ Trß·ng Thành	320	55	9	0	0	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
3201	Báo TØ Biªn D¸	320	55	9	1	0	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1096	986	877	1425	767	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
3202	Báo TØ Biªn D¸	320	55	9	1	0	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1173	1055	938	1524	821	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
3203	Báo TØ Biªn D¸	320	55	9	1	0	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1249	1124	999	1624	874	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
3204	Báo TØ Biªn D¸	320	55	9	1	0	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1326	1193	1060	1723	928	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
3209	Báo TØ Bäo Bäo	320	55	9	0	1	1000	10	694	300000	-1	-1	726	900000	712	250000	732	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1020	918	816	1326	714	1051	1156	1208	1366	1576	20	300	30	500	150	1800000	3200
