INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3152	Lão H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM96, 254, 112, -1}#W	64	0	0	0	0	0	0	0	0	0	0	0	0	0
3153	Lão H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM96, 254, 112, -1}#W	64	0	0	0	0	0	0	0	0	0	0	0	0	0
3159	H± Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM96, 254, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3160	Dã Trß Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM127, 254, 112, -1}#W	36	0	0	0	500	357	0	0	0	0	0	0	500	357
3161	Dã Trß Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM127, 254, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3162	Dã Trß Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM127, 254, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3163	Dã Trß Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM127, 254, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3169	Dã Trß Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM127, 254, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3170	Bång Tàm Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	68	0	0	0	500	357	0	0	0	0	0	0	500	357
3171	Bång Tàm Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	24	0	0	0	0	0	0	0	0	0	0	0	0	0
3172	Bång Tàm Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	24	0	0	0	0	0	0	0	0	0	0	0	0	0
3173	Bång Tàm Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	24	0	0	0	0	0	0	0	0	0	0	0	0	0
3174	Bång Tàm Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	24	0	0	0	0	0	0	0	0	0	0	0	0	0
3179	Bång Tàm Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM192, 232, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3180	¿ng Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	36	0	0	0	500	357	0	0	0	0	0	0	500	357
3181	¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3182	¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3183	¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3184	¿ng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	6	0	0	0	0	0	0	0	0	0	0	0	0	0
3189	¿ng Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM216, 270, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3190	Ðà Ði¬u Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	36	0	0	0	500	357	0	0	0	0	0	0	500	357
3191	Ðà Ði¬u Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3192	Ðà Ði¬u Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3193	Ðà Ði¬u Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3194	Ðà Ði¬u Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3199	Ðà Ði¬u Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM181, 268, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3200	Báo TØ Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	36	0	0	0	500	357	0	0	0	0	0	0	500	357
3201	Báo TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3202	Báo TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3203	Báo TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3204	Báo TØ Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3209	Báo TØ Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM250, 236, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3210	B¡c Cñc Hùng Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	68	0	0	0	0	357	0	0	0	0	0	0	0	357
3211	B¡c Cñc Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	20	0	0	0	0	0	0	0	0	0	0	0	0	0
3212	B¡c Cñc Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	20	0	0	0	0	0	0	0	0	0	0	0	0	0
3213	B¡c Cñc Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	20	0	0	0	0	0	0	0	0	0	0	0	0	0
3214	B¡c Cñc Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	20	0	0	0	0	0	0	0	0	0	0	0	0	0
3215	B¡c Cñc Hùng Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	20	0	0	0	0	0	0	0	0	0	0	0	0	0
3219	B¡c Cñc Hùng Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM216, 223, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3220	Kh±ng Tß¾c Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	34	0	0	0	0	357	0	0	0	0	0	0	0	357
3221	Kh±ng Tß¾c Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	36	0	0	0	0	0	0	0	0	0	0	0	0	0
3222	Kh±ng Tß¾c Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	10	0	0	0	0	0	0	0	0	0	0	0	0	0
3223	Kh±ng Tß¾c Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	10	0	0	0	0	0	0	0	0	0	0	0	0	0
3224	Kh±ng Tß¾c Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	10	0	0	0	0	0	0	0	0	0	0	0	0	0
3225	Kh±ng Tß¾c Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	10	0	0	0	0	0	0	0	0	0	0	0	0	0
3229	Kh±ng Tß¾c Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM263, 166, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3230	Kiªm Xï H± Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	34	0	0	0	0	357	0	0	0	0	0	0	0	357
3231	Kiªm Xï H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3232	Kiªm Xï H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3233	Kiªm Xï H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3234	Kiªm Xï H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3235	Kiªm Xï H± Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3239	Kiªm Xï H± Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM285, 149, 112, -1}#W	100	0	0	0	0	0	0	0	0	0	0	0	0	0
3240	ÐÕi Tinh Tinh Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	34	0	0	0	0	357	0	0	0	0	0	0	0	357
3241	ÐÕi Tinh Tinh Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3242	ÐÕi Tinh Tinh Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3243	ÐÕi Tinh Tinh Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3244	ÐÕi Tinh Tinh Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3245	ÐÕi Tinh Tinh Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3249	ÐÕi Tinh Tinh Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM276, 121, 112, -1}#W	2	0	0	0	0	0	0	0	0	0	0	0	0	0
3250	Tê Ngßu Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	68	0	0	0	0	357	0	0	0	0	0	0	0	357
3251	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3252	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3253	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3254	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3255	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3256	Tê Ngßu Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3259	Tê Ngßu Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM227, 92, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3260	Tuyªt Ðiêu Trß·ng Thành	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	34	0	0	0	0	357	0	0	0	0	0	0	0	357
3261	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3262	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3263	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3264	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3265	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3266	Tuyªt Ðiêu Biªn D¸	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3269	Tuyªt Ðiêu Bäo Bäo	#BTHánh Thú S½n#{_INFOAIM190, 230, 201, -1}#W	100	0	0	0	0	0	0	0	0	0	0	0	0	0
3270	Kiªm Long Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	68	0	0	0	0	357	0	0	0	0	0	0	0	357
3271	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3272	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3273	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3274	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3275	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3276	Kiªm Long Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3279	Kiªm Long Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM275, 85, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3280	Bác Mã Trß·ng Thành	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	68	0	0	0	0	357	0	0	0	0	0	0	0	357
3281	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3282	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3283	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3284	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3285	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3286	Bác Mã Biªn D¸	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	16	0	0	0	0	0	0	0	0	0	0	0	0	0
3289	Bác Mã Bäo Bäo	#BHUy«n Võ Ðäo#{_INFOAIM247, 98, 112, -1}#W	250	0	0	0	0	0	0	0	0	0	0	0	0	0
3290	Trß·ng thành Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3291	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3292	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3293	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3294	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3295	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3296	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3297	Biªn d¸ Hoàng Ði¬u		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3299	Hoàng Ði¬u cøc cßng		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3300	Niên Thú Trß·ng Thành		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3301	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3302	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3303	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3304	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3305	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3306	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3307	Niên Thú Biªn D¸		0	0	0	0	0	0	0	0	0	0	0	0	0	0
3309	Niên Thú Bäo Bäo		0	0	0	0	0	0	0	0	0	0	0	0	0	0
