INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
37	96	7	7	1269	1269	15	127	127	127	127	798	6	74	74	74	74	44	15	36	36	36	36
38	96	7	8	1332	1332	15	133	133	133	133	835	6	77	77	77	77	46	16	37	37	37	37
39	96	7	9	1395	1395	15	139	139	139	139	872	6	80	80	80	80	48	17	38	38	38	38
40	96	8	1	1457	1457	16	146	146	146	146	909	7	84	84	84	84	50	18	40	40	40	40
41	102	6	0	720	720	14	80	80	80	80	414	7	40	40	40	40	26	9	30	30	30	30
42	102	6	1	747	747	14	83	83	83	83	438	7	42	42	42	42	27	9	31	31	31	31
43	102	6	2	774	774	14	86	86	86	86	462	7	44	44	44	44	28	10	32	32	32	32
44	102	6	3	801	801	14	89	89	89	89	486	7	46	46	46	46	30	10	33	33	33	33
45	102	6	4	828	828	14	92	92	92	92	510	7	49	49	49	49	31	11	34	34	34	34
46	102	6	5	855	855	14	95	95	95	95	535	8	51	51	51	51	33	11	35	35	35	35
47	102	6	6	882	882	14	98	98	98	98	559	8	53	53	53	53	34	12	36	36	36	36
48	102	6	7	909	909	14	101	101	101	101	583	8	56	56	56	56	35	12	37	37	37	37
49	102	6	8	936	936	14	104	104	104	104	607	8	58	58	58	58	37	13	38	38	38	38
50	102	6	9	963	963	14	107	107	107	107	631	8	60	60	60	60	38	13	39	39	39	39
51	102	7	1	990	990	15	111	111	111	111	656	9	63	63	63	63	40	14	41	41	41	41
52	102	7	2	1060	1060	15	118	118	118	118	698	9	67	67	67	67	42	14	42	42	42	42
53	102	7	3	1130	1130	15	125	125	125	125	740	9	71	71	71	71	45	15	43	43	43	43
54	102	7	4	1200	1200	15	133	133	133	133	782	9	75	75	75	75	47	16	45	45	45	45
55	102	7	5	1270	1270	15	140	140	140	140	824	9	79	79	79	79	50	17	46	46	46	46
56	102	7	6	1340	1340	15	148	148	148	148	866	10	83	83	83	83	52	18	47	47	47	47
57	102	7	7	1410	1410	15	155	155	155	155	908	10	87	87	87	87	55	19	49	49	49	49
58	102	7	8	1480	1480	15	163	163	163	163	950	10	91	91	91	91	57	20	50	50	50	50
59	102	7	9	1550	1550	15	170	170	170	170	992	10	95	95	95	95	60	21	51	51	51	51
60	102	8	1	1620	1620	16	179	179	179	179	1035	11	99	99	99	99	63	22	53	53	53	53
61	102	100	1	1640	1640	16	182	182	182	182	1048	12	101	101	101	101	64	23	54	54	54	54
62	102	100	2	1663	1663	16	186	186	186	186	1063	12	103	103	103	103	65	24	55	55	55	55
63	102	100	3	1689	1689	16	190	190	190	190	1080	12	105	105	105	105	66	25	56	56	56	56
64	102	100	4	1718	1718	16	194	194	194	194	1099	13	107	107	107	107	67	26	57	57	57	57
65	102	100	5	1750	1750	16	198	198	198	198	1120	13	109	109	109	109	68	27	58	58	58	58
66	102	100	6	1785	1785	16	203	203	203	203	1143	13	111	111	111	111	69	28	59	59	59	59
67	102	100	7	1823	1823	16	208	208	208	208	1168	14	114	114	114	114	70	29	60	60	60	60
68	102	100	8	1864	1864	16	213	213	213	213	1195	14	117	117	117	117	72	30	61	61	61	61
69	102	100	9	1908	1908	16	218	218	218	218	1224	14	120	120	120	120	74	31	62	62	62	62
70	102	100	10	1956	1956	16	224	224	224	224	1255	15	123	123	123	123	76	32	64	64	64	64
71	102	100	11	2008	2008	16	230	230	230	230	1288	15	126	126	126	126	78	33	66	66	66	66
72	102	100	12	2064	2064	16	236	236	236	236	1323	15	130	130	130	130	80	34	68	68	68	68
73	102	100	13	2124	2124	16	242	242	242	242	1360	16	134	134	134	134	82	35	70	70	70	70
74	102	100	14	2188	2188	16	249	249	249	249	1400	16	138	138	138	138	85	36	72	72	72	72
75	102	100	15	2256	2256	16	256	256	256	256	1443	16	142	142	142	142	88	37	74	74	74	74
76	102	100	16	2328	2328	16	263	263	263	263	1489	17	146	146	146	146	91	38	76	76	76	76
77	102	100	17	2405	2405	16	270	270	270	270	1538	17	151	151	151	151	94	39	78	78	78	78
78	102	100	18	2487	2487	16	278	278	278	278	1590	17	156	156	156	156	97	40	80	80	80	80
79	102	100	19	2574	2574	16	286	286	286	286	1645	18	161	161	161	161	100	41	82	82	82	82
80	102	100	20	2666	2666	16	294	294	294	294	1703	18	166	166	166	166	104	42	84	84	84	84
81	102	9	0	2798	2798	17	304	304	304	304	1764	19	172	172	172	172	110	44	88	88	88	88
