INT	INT	INT	INT	STRING
16	1	2	6	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m)
17	1	2	7	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m)
18	1	2	8	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m)
19	1	2	9	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m)
20	1	2	10	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Höa Thuµc Tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
21	1	3	1	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00500#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m)
22	1	3	2	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m)
23	1	3	3	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m)
24	1	3	4	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m)
25	1	3	5	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m)
26	1	3	6	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m)
27	1	3	7	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m)
28	1	3	8	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m)
29	1	3	9	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m)
30	1	3	10	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Huy«n thuµc tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
31	1	4	1	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00500#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m)
32	1	4	2	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00600#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m)
33	1	4	3	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00740#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m)
34	1	4	4	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF00920#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m)
35	1	4	5	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001140#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m)
36	1	4	6	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001410#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m)
37	1	4	7	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF001730#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m)
38	1	4	8	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF002100#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m)
39	1	4	9	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF002520#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m)
40	1	4	10	#cFFFFFFrót vào#cFFF263M®nh H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Ðµc thuµc tính công kích#cFFFFFFgia tång#c54FF003000#cFFFFFFÐi¬m(#cFFF263M®nh H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
41	2	1	1	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF008#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
42	2	1	2	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
43	2	1	3	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
44	2	1	4	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
45	2	1	5	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
46	2	1	6	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
47	2	1	7	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
48	2	1	8	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
49	2	1	9	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
50	2	1	10	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Bång Kháng#cFFFFFFgia tång#c54FF0060#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFDî#c54FF00Mãn C¤p#cFFFFFF)
51	2	2	1	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF008#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
52	2	2	2	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0012#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
53	2	2	3	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0016#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
54	2	2	4	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0021#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
55	2	2	5	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0026#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
56	2	2	6	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0032#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
57	2	2	7	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0038#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
58	2	2	8	#cFFFFFFrót vào#cFFF263Ð¸a H°n V¸#cFFFFFFH§u, sØ døng kÛ nång: Chu Tiên M£c Tßþng Th¶i, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0045#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao(#cFFF263Ð¸a H°n V¸#cFFFFFFThång Chí tiªp theo C¤p, #cFFF263Giäm Hoä Kháng#cFFFFFFgia tång#c54FF0052#cFFFFFFÐi¬m, liên tøc#c54FF005#cFFFFFFSao)
