INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT
27	再询百晓	1	0	0	非活动时间	0	#{QEYD_240402_02}	0		0	50	0	0	0	0	56
28	大话整合	1	1	20240801-20240915	非活动时间	20240801-20240814;20240815-20240828;20240829-20240915	#{XYZH_240516_1};#{XYZH_240516_9};#{XYZH_240516_13}	20240801-20240915	#{XYZH_240516_2}	5000	30	0	0	0	0	58
29	异世降临	1	1	20240726-20240731	非活动时间	20240726-20240731	#{DHYR_240515_04}	0		0	30	0	0	0	0	59
30	福佑恶人谷	1	0	0	非活动时间	0	#{FCER_240626_01}	0		0	10	0	0	0	0	60
31	大宋悬案	1	1	20241017-20241024	非活动时间	20241017-20241024	#{ERYR_240701_24}	0		0	30	0	0	0	0	61
32	天霄龙跃榜	1	1	20241025-20241231	非活动时间	20241025-20251231	#{TXLY_240904_55}	0		0	10	0	0	0	0	62
33	冰雪节整合	1	0	20241212-20250108	非活动时间	20241212-20250108	#{BXJZH_240927_01}	0		0	30	0	0	0	0	63
34	筑梦冰雪城	1	1	20251211-20251217	非活动时间	20251211-20251217	#{DDBB_240912_11}	0		0	30	0	0	0	0	64
35	新生肖故事	1	1	20250121-20250127	非活动时间	20250121-20250127	#{SXXG_241111_02}	0		0	30	0	0	0	0	65
36	珍兽引导	1	0	0	非活动时间	0	#{ZSYD_241218_02}	0		0	65	0	0	0	0	66
37	兽劫疑云	1	1	20250306-20250313	非活动区间内点击按钮醒目提示	20250306-20250313	#{SJYY_20241216_261}	0		0	50	0	0	0	0	67
38	同庆·车锦绣	1	1	20250417-20250430	非活动时间	20250417-20250430	#{ZNXY_250312_11}	0		0	30	0	0	0	0	68
39	金瓯迷影	1	1	20250612-20250619	非活动时间	20250612-20250619	#{JOMY_20250403_261}	0		0	30	0	0	0	0	69
40	藏宝阁	1	1	20250621-20250624	非活动时间	20250621-20250624	#{ZZPM_250325_04}	0		0	30	0	0	0	0	70
41	重锦阁	1	0	0	非活动时间	0	#{WGFC_250509_01}	0		0	15	0	0	0	0	71
42	返利商店	1	0	0	非活动时间	0	#{XFFL_250522_01}	0		0	15	0	0	0	0	72
43	溯情绘卷	1	1	20250821-20250917	非活动时间	20250821-20250917	#{QNHJ_250609_01}	0		0	30	0	0	0	0	73
44	紫电奇缘	1	0	0	非活动时间	0	#{CTCJ_20250703_43}	0		0	30	0	0	0	0	74
45	紫电巡游赠豪礼	1	0	0	非活动时间	0	#{QCXY_250704_02}	0		0	30	0	0	0	0	75
46	巅峰系统引导	1	0	0	非活动时间	0	#{DFYD_250716_02}	0		0	85	0	0	0	0	76
47	岁华献礼	1	1	20251009-20251112	非活动时间	20251009-20251112	#{WYSD_20250807_05}	0		0	30	0	0	0	0	77
48	侠行千里赴	1	1	20251009-20251016	非活动时间	20251009-20251016	#{DFYR_250725_181}	0		0	30	0	0	0	0	78
49	天龙全球争霸赛	1	0	20250904-20251017	非活动时间	20250904-20251017	#{ZBZB_250902_01}	20250904-20251017	#{ZBZB_250902_01}	5000	10	0	0	0	0	79
50	超特服运营投票	1	0	0	非活动时间	0	#{NZTP_250909_02}	0		0	10	0	0	0	0	80
51	金穗秋华	1	0	20251113-20251124	非活动时间	20251113-20251124	#{JSQH_20250929_2}	0		0	30	0	0	0	0	81
52	新月挑战	1	0	0	非活动时间	0	#{CTYM_251020_01}	0		0	60	0	0	0	0	82
53		0	0								0	0	0	0		0
54	月卡	1	0	0	非活动时间	0	#{YKJY_231113_2}	0		0	1	0	0	0	0	84
