INT	INT	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
23	0	Å®Ö÷½ÇÍ··¢13.mesh		Phøng Kª Phát	Å®Ö÷½ÇÍ··¢13		20307114	1	2	PeiFang_5	50000	33
24	0	Å®Ö÷½ÇÍ··¢14.mesh		Trong mây Phát	Å®Ö÷½ÇÍ··¢14		20307115	1	2	PeiFang_5	50000	34
25	0	Å®Ö÷½ÇÍ··¢15.mesh		Tóc mây Phát	Å®Ö÷½ÇÍ··¢15		20307116	1	2	PeiFang_5	50000	35
26	0	Å®Ö÷½ÇÍ··¢16.mesh		H°i tß·ng Phát	Å®Ö÷½ÇÍ··¢16		20307117	1	2	PeiFang_5	50000	36
27	0	Å®Ö÷½ÇÍ··¢18.mesh		Hành Vân Phát	Å®Ö÷½ÇÍ··¢18		20307118	1	2	PeiFang_5	50000	37
28	0	Å®Ö÷½ÇÍ··¢19.mesh		Thi«n Dñc Phát	Å®Ö÷½ÇÍ··¢19		20307119	1	2	PeiFang_5	50000	38
29	0	Å®Ö÷½ÇÍ··¢20.mesh		Phi Yªn Phát	Å®Ö÷½ÇÍ··¢20		20307120	1	2	PeiFang_5	50000	39
30	1	ÄĞÖ÷½ÇÍ··¢10.mesh		Di®u ph¤n ch¤n	ÄĞÖ÷½ÇÍ··¢10		20307111	1	2	PeiFang_5	50000	20
31	1	M_hair_2025»³¾ÉÖÜÄêÇì01.mesh	M_hair01_2025»³¾ÉÖÜÄêÇì01.mesh	Ğ°ng Huy·Vãn Vân	M_hair_2025»³¾ÉÖÜÄêÇì01	M_hair01_2025»³¾ÉÖÜÄêÇì01	20307287	1	2	PeiFang_5	50000	262
32	1	ÄĞÖ÷½ÇÍ··¢12.mesh		Thiên Kª Phát	ÄĞÖ÷½ÇÍ··¢12		20307113	1	2	PeiFang_5	50000	22
33	1	ÄĞÖ÷½ÇÍ··¢13.mesh		Phøng Kª Phát	ÄĞÖ÷½ÇÍ··¢13		20307114	1	2	PeiFang_5	50000	23
34	1	ÄĞÖ÷½ÇÍ··¢15.mesh		Trong mây Phát	ÄĞÖ÷½ÇÍ··¢15		20307115	1	2	PeiFang_5	50000	24
35	1	ÄĞÖ÷½ÇÍ··¢16.mesh		Tóc mây Phát	ÄĞÖ÷½ÇÍ··¢16		20307116	1	2	PeiFang_5	50000	25
36	1	ÄĞÖ÷½ÇÍ··¢17.mesh		H°i tß·ng Phát	ÄĞÖ÷½ÇÍ··¢17		20307117	1	2	PeiFang_5	50000	26
37	1	ÄĞÖ÷½ÇÍ··¢18.mesh		Hành Vân Phát	ÄĞÖ÷½ÇÍ··¢18		20307118	1	2	PeiFang_5	50000	27
38	1	ÄĞÖ÷½ÇÍ··¢19.mesh		Thi«n Dñc Phát	ÄĞÖ÷½ÇÍ··¢19		20307119	1	2	PeiFang_5	50000	28
39	1	ÄĞÖ÷½ÇÍ··¢20.mesh		Phi Yªn Phát	ÄĞÖ÷½ÇÍ··¢20		20307120	1	2	PeiFang_5	50000	29
40	1	M_hair_2025±±¼«ĞÜÍæÅ¼.mesh		Mµng Thanh Phát	M_hair_2025±±¼«ĞÜÍæÅ¼		20307289	1	2	PeiFang_5	50000	272
41	0	Å®Ö÷½ÇÍ··¢22.mesh		DÕ Hành Phát	Å®Ö÷½ÇÍ··¢22		20307122	1	2	PeiFang_5	50000	45
42	0	Å®Ö÷½ÇÍ··¢23.mesh		Phiêu Tuyªt Phát	Å®Ö÷½ÇÍ··¢23		20307123	1	2	PeiFang_5	50000	46
43	0	Å®Ö÷½ÇÍ··¢24.mesh		Vân Kª Phát	Å®Ö÷½ÇÍ··¢24		20307124	1	2	PeiFang_5	50000	47
44	0	W_hair_2025±±¼«ĞÜÍæÅ¼.mesh	W_hair01_2025±±¼«ĞÜÍæÅ¼.mesh	Mµng Thanh Phát	W_hair_2025±±¼«ĞÜÍæÅ¼	W_hair01_2025±±¼«ĞÜÍæÅ¼	20307289	1	2	PeiFang_5	50000	273
45	1	ÄĞÖ÷½ÇÍ··¢22.mesh		DÕ Hành Phát	ÄĞÖ÷½ÇÍ··¢22		20307122	1	2	PeiFang_5	50000	41
46	1	ÄĞÖ÷½ÇÍ··¢23.mesh		Phiêu Tuyªt Phát	ÄĞÖ÷½ÇÍ··¢23		20307123	1	2	PeiFang_5	50000	42
47	1	ÄĞÖ÷½ÇÍ··¢24.mesh		Vân Kª Phát	ÄĞÖ÷½ÇÍ··¢24		20307124	1	2	PeiFang_5	50000	43
48	0	Å®Ö÷½ÇÍ··¢25.mesh		Minh Y Phát	Å®Ö÷½ÇÍ··¢25		20307126	1	2	PeiFang_5	50000	49
49	1	ÄĞÖ÷½ÇÍ··¢25.mesh		Minh Y Phát	ÄĞÖ÷½ÇÍ··¢25		20307126	1	2	PeiFang_5	50000	48
50	0	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh		Tiên Læ Phát	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ		20307127	1	2	PeiFang_5	50000	51
51	1	ÄĞÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh		Tiên Læ Phát	ÄĞÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ		20307127	1	2	PeiFang_5	50000	50
52	0	Å®Ö÷½ÇÍ··¢ÇåÁ¹.mesh		Tuyªt Vû Phát	Å®Ö÷½ÇÍ··¢ÇåÁ¹		20307125	1	2	PeiFang_5	50000	53
53	1	ÄĞÖ÷½ÇÍ··¢ÇåÁ¹.mesh		Tuyªt Vû Phát	ÄĞÖ÷½ÇÍ··¢ÇåÁ¹		20307125	1	2	PeiFang_5	50000	52
54	0	Å®Ö÷½ÇÍ··¢29.mesh		Li Mµng Phát	Å®Ö÷½ÇÍ··¢29		20307130	1	2	PeiFang_5	50000	55
55	1	ÄĞÖ÷½ÇÍ··¢29.mesh		Li Mµng Phát	ÄĞÖ÷½ÇÍ··¢29		20307130	1	2	PeiFang_5	50000	54
56	0	Å®Ö÷½ÇÍ··¢30.mesh		Phi Bµc Phát	Å®Ö÷½ÇÍ··¢30		20307128	1	2	PeiFang_5	50000	57
57	1	ÄĞÖ÷½ÇÍ··¢30.mesh		Phi Bµc Phát	ÄĞÖ÷½ÇÍ··¢30		20307128	1	2	PeiFang_5	50000	56
58	0	Å®Ö÷½ÇÍ··¢31.mesh		Lam Vân Phát	Å®Ö÷½ÇÍ··¢31		20307129	1	2	PeiFang_5	50000	59
59	1	ÄĞÖ÷½ÇÍ··¢31.mesh		Lam Vân Phát	ÄĞÖ÷½ÇÍ··¢31		20307129	1	2	PeiFang_5	50000	58
60	0	Å®Ö÷½ÇÍ··¢32.mesh		U±ng Cßu Phát	Å®Ö÷½ÇÍ··¢32		20307133	1	2	PeiFang_5	50000	61
61	1	ÄĞÖ÷½ÇÍ··¢32.mesh		U±ng Cßu Phát	ÄĞÖ÷½ÇÍ··¢32		20307133	1	2	PeiFang_5	50000	60
62	0	Å®Ö÷½ÇÍ··¢34.mesh		Sóng to Phát	Å®Ö÷½ÇÍ··¢34		20307135	1	2	PeiFang_5	50000	63
63	1	ÄĞÖ÷½ÇÍ··¢35.mesh		Sóng to Phát	ÄĞÖ÷½ÇÍ··¢35		20307135	1	2	PeiFang_5	50000	62
64	1	ÄĞÖ÷½ÇÍ··¢36a.mesh		U Liêm Phát	ÄĞÖ÷½ÇÍ··¢36a		20307137	1	2	PeiFang_5	50000	65
65	0	Å®Ö÷½ÇÍ··¢35.mesh	Å®Ö÷½ÇÍ·ÊÎ35.mesh	U Liêm Phát	Å®Ö÷½ÇÍ··¢35	Å®Ö÷½ÇÍ·ÊÎ35	20307137	1	2	PeiFang_5	50000	64
66	1		ÄĞÖ÷½ÇÍ·Æ¤01.mesh	Li­u Tr¥n Phát		ÄĞÖ÷½ÇÍ·Æ¤01	20307139	1	2	PeiFang_5	50000	67
67	0		Å®Ö÷½ÇÍ·Æ¤01.mesh	Li­u Tr¥n Phát		Å®Ö÷½ÇÍ·Æ¤01	20307139	1	2	PeiFang_5	50000	66
68	1	M_hair_2025ò¿ÓÈ.mesh	M_hair01_2025ò¿ÓÈ.mesh	Th¥n Không Phát	M_hair_2025ò¿ÓÈ	M_hair01_2025ò¿ÓÈ	20307290	1	2	PeiFang_5	50000	268
69	0	W_hair_2025ò¿ÓÈ.mesh	W_hair01_2025ò¿ÓÈ.mesh	Th¥n Không Phát	W_hair_2025ò¿ÓÈ	W_hair01_2025ò¿ÓÈ	20307290	1	2	PeiFang_5	50000	269
70	0	Å®Ö÷½ÇÍ··¢40.mesh		D§t Khinh Phát	Å®Ö÷½ÇÍ··¢40		20307144	1	2	PeiFang_5	50000	72
71	0	Å®Ö÷½ÇÍ··¢41.mesh		Nhß Nguy®t Phát	Å®Ö÷½ÇÍ··¢41		20307143	1	2	PeiFang_5	50000	73
72	1	ÄĞÖ÷½ÇÍ··¢38.mesh		D§t Khinh Phát	ÄĞÖ÷½ÇÍ··¢38		20307144	1	2	PeiFang_5	50000	70
73	1	ÄĞÖ÷½ÇÍ··¢41.mesh		Nhß Nguy®t Phát	ÄĞÖ÷½ÇÍ··¢41		20307143	1	2	PeiFang_5	50000	71
74	0	Å®Ö÷½ÇÍ··¢87.mesh	Å®Ö÷½Ç·¢ÊÎ87.mesh	Quy¬n Vân Phát	Å®Ö÷½ÇÍ··¢87	Å®Ö÷½Ç·¢ÊÎ87	20307164	1	2	PeiFang_5	50000	75
75	1	ÄĞÖ÷½ÇÍ··¢87.mesh	ÄĞÖ÷½Ç·¢ÊÎ87.mesh	Quy¬n Vân Phát	ÄĞÖ÷½ÇÍ··¢87	ÄĞÖ÷½Ç·¢ÊÎ87	20307164	1	2	PeiFang_5	50000	74
76	0	Å®Ö÷½ÇÍ··¢ÈğÑ©ºìÃ·.mesh	Å®Ö÷½ÇÍ·ÊÎÈğÑ©ºìÃ·.mesh	Kı Quân Phát	Å®Ö÷½ÇÍ··¢ÈğÑ©ºìÃ·	Å®Ö÷½ÇÍ·ÊÎÈğÑ©ºìÃ·	20307192	1	2	PeiFang_5	50000	77
77	1	ÄĞÖ÷½ÇÍ··¢ÈğÑ©ºìÃ·.mesh	ÄĞÖ÷½ÇÍ·ÊÎÈğÑ©ºìÃ·.mesh	Kı Quân Phát	ÄĞÖ÷½ÇÍ··¢ÈğÑ©ºìÃ·	ÄĞÖ÷½ÇÍ·ÊÎÈğÑ©ºìÃ·	20307192	1	2	PeiFang_5	50000	76
78	0	Å®Ö÷½ÇÍ··¢ÌìÏÂ»áÎäÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÌìÏÂ»áÎäÊ±×°.mesh	Ch¦m Nguy®t Phát	Å®Ö÷½ÇÍ··¢ÌìÏÂ»áÎäÊ±×°	Å®Ö÷½Ç·¢ÊÎÌìÏÂ»áÎäÊ±×°	20307193	1	2	PeiFang_5	50000	79
79	1	ÄĞÖ÷½ÇÍ··¢ÌìÏÂ»áÎäÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÌìÏÂ»áÎäÊ±×°.mesh	Ch¦m Nguy®t Phát	ÄĞÖ÷½ÇÍ··¢ÌìÏÂ»áÎäÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÌìÏÂ»áÎäÊ±×°	20307193	1	2	PeiFang_5	50000	78
80	0	Å®Ö÷½ÇÍ··¢ÇØ³¯¿ø¼×Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÇØ³¯¿ø¼×Ê±×°.mesh	Xích Vû Phát	Å®Ö÷½ÇÍ··¢ÇØ³¯¿ø¼×Ê±×°	Å®Ö÷½Ç·¢ÊÎÇØ³¯¿ø¼×Ê±×°	20307194	1	2	PeiFang_5	50000	81
81	1	ÄĞÖ÷½ÇÍ··¢ÇØ³¯¿ø¼×Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÇØ³¯¿ø¼×Ê±×°.mesh	Xích Vû Phát	ÄĞÖ÷½ÇÍ··¢ÇØ³¯¿ø¼×Ê±×°	ÄĞÖ÷½Ç·¢ÊÎÇØ³¯¿ø¼×Ê±×°	20307194	1	2	PeiFang_5	50000	80
82	0	Å®Ö÷½ÇÍ··¢°×ËØÕêÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ°×ËØÕêÊ±×°.mesh	DÑt khoát Phát	Å®Ö÷½ÇÍ··¢°×ËØÕêÊ±×°	Å®Ö÷½Ç·¢ÊÎ°×ËØÕêÊ±×°	20307195	1	2	PeiFang_5	50000	83
83	1	ÄĞÖ÷½ÇÍ··¢ĞíÏÉÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎĞíÏÉÊ±×°.mesh	DÑt khoát Phát	ÄĞÖ÷½ÇÍ··¢ĞíÏÉÊ±×°	ÄĞÖ÷½Ç·¢ÊÎĞíÏÉÊ±×°	20307195	1	2	PeiFang_5	50000	82
84	0	Å®Ö÷½ÇÍ··¢ÖÜÄêÇìÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°.mesh	Hi¬u S½n Trùng	Å®Ö÷½ÇÍ··¢ÖÜÄêÇìÊ±×°	Å®Ö÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°	20307196	1	2	PeiFang_5	50000	85
85	1	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇìÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°.mesh	Hi¬u S½n Trùng	ÄĞÖ÷½ÇÍ··¢ÖÜÄêÇìÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÖÜÄêÇìÊ±×°	20307196	1	2	PeiFang_5	50000	84
88	0	Å®Ö÷½ÇÍ··¢»Æº×Â¥Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎ»Æº×Â¥Ê±×°.mesh	Thiên Khuyªt Phát	Å®Ö÷½ÇÍ··¢»Æº×Â¥Ê±×°	Å®Ö÷½Ç·¢ÊÎ»Æº×Â¥Ê±×°	20307198	1	2	PeiFang_5	50000	89
89	1	ÄĞÖ÷½ÇÍ··¢»Æº×Â¥Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ»Æº×Â¥Ê±×°.mesh	Thiên Khuyªt Phát	ÄĞÖ÷½ÇÍ··¢»Æº×Â¥Ê±×°	ÄĞÖ÷½Ç·¢ÊÎ»Æº×Â¥Ê±×°	20307198	1	2	PeiFang_5	50000	88
90	0	Å®Ö÷½ÇÍ··¢Ê¥µ®Ê±×°.mesh	Å®Ö÷½ÇÍ·ÊÎÊ¥µ®Ê±×°.mesh	Lµc Minh Phát	Å®Ö÷½ÇÍ··¢Ê¥µ®Ê±×°	Å®Ö÷½ÇÍ·ÊÎÊ¥µ®Ê±×°	20307201	1	2	PeiFang_5	50000	91
91	1	ÄĞÖ÷½ÇÍ··¢Ê¥µ®Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÊ¥µ®Ê±×°.mesh	Lµc Minh Phát	ÄĞÖ÷½ÇÍ··¢Ê¥µ®Ê±×°	ÄĞÖ÷½Ç·¢ÊÎÊ¥µ®Ê±×°	20307201	1	2	PeiFang_5	50000	90
92	0	Å®Ö÷½ÇÍ··¢´ô´ôÅ£01.mesh	Å®Ö÷½ÇÍ·ÊÎ´ô´ôÅ£01.mesh	Tiªng bò r¯ng Ngßu Phát	Å®Ö÷½ÇÍ··¢´ô´ôÅ£01	Å®Ö÷½ÇÍ·ÊÎ´ô´ôÅ£01	20307199	1	2	PeiFang_5	50000	93
93	1	ÄĞÖ÷½ÇÍ··¢´ô´ôÅ£01.mesh	ÄĞÖ÷½Ç·¢ÊÎ´ô´ôÅ£01.mesh	Tiªng bò r¯ng Ngßu Phát	ÄĞÖ÷½ÇÍ··¢´ô´ôÅ£01	ÄĞÖ÷½Ç·¢ÊÎ´ô´ôÅ£01	20307199	1	2	PeiFang_5	50000	92
94	0	Å®Ö÷½ÇÍ··¢µ°µ°¼¦01.mesh	Å®Ö÷½Ç·¢ÊÎµ°µ°¼¦01.mesh	Manh Kê Phát	Å®Ö÷½ÇÍ··¢µ°µ°¼¦01	Å®Ö÷½Ç·¢ÊÎµ°µ°¼¦01	20307200	1	2	PeiFang_5	50000	95
95	1	ÄĞÖ÷½ÇÍ··¢µ°µ°¼¦01.mesh	ÄĞÖ÷½Ç·¢ÊÎµ°µ°¼¦01.mesh	Manh Kê Phát	ÄĞÖ÷½ÇÍ··¢µ°µ°¼¦01	ÄĞÖ÷½Ç·¢ÊÎµ°µ°¼¦01	20307200	1	2	PeiFang_5	50000	94
96	0	Å®Ö÷½Ç·¢ĞÍĞÂÇå·çâù½­.mesh	Å®Ö÷½Ç·¢ÊÎĞÂÇå·çâù½­.mesh	S½ Änh Phát	Å®Ö÷½Ç·¢ĞÍĞÂÇå·çâù½­	Å®Ö÷½Ç·¢ÊÎĞÂÇå·çâù½­	20307202	1	2	PeiFang_5	50000	97
97	1	ÄĞÖ÷½ÇÍ··¢ĞÂÇå·çâù½­.mesh	ÄĞÖ÷½Ç·¢ÊÎĞÂÇå·çâù½­.mesh	S½ Änh Phát	ÄĞÖ÷½ÇÍ··¢ĞÂÇå·çâù½­	ÄĞÖ÷½Ç·¢ÊÎĞÂÇå·çâù½­	20307202	1	2	PeiFang_5	50000	96
98	0	Å®Ö÷½ÇÍ··¢´º½ÚÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎ´º½ÚÊ±×°.mesh	S½n Xuân Phát	Å®Ö÷½ÇÍ··¢´º½ÚÊ±×°	Å®Ö÷½Ç·¢ÊÎ´º½ÚÊ±×°	20307203	1	2	PeiFang_5	50000	99
99	1	ÄĞÖ÷½ÇÍ··¢´º½ÚÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ´º½ÚÊ±×°.mesh	S½n Xuân Phát	ÄĞÖ÷½ÇÍ··¢´º½ÚÊ±×°	ÄĞÖ÷½Ç·¢ÊÎ´º½ÚÊ±×°	20307203	1	2	PeiFang_5	50000	98
100	0	Å®Ö÷½ÇÍ··¢ÇéÈË½ÚĞÇ¿ÕÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÇéÈË½ÚĞÇ¿ÕÊ±×°.mesh	Tinh Huy Phát	Å®Ö÷½ÇÍ··¢ÇéÈË½ÚĞÇ¿ÕÊ±×°	Å®Ö÷½Ç·¢ÊÎÇéÈË½ÚĞÇ¿ÕÊ±×°	20307204	1	2	PeiFang_5	50000	101
101	1	ÄĞÖ÷½ÇÍ··¢ÇéÈË½ÚĞÇ¿ÕÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÇéÈË½ÚĞÇ¿ÕÊ±×°.mesh	Tinh Huy Phát	ÄĞÖ÷½ÇÍ··¢ÇéÈË½ÚĞÇ¿ÕÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÇéÈË½ÚĞÇ¿ÕÊ±×°	20307204	1	2	PeiFang_5	50000	100
102	0	Å®Ö÷½ÇÍ··¢¿×È¸Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎ¿×È¸Ê±×°.mesh	Hoàng Vû Phát	Å®Ö÷½ÇÍ··¢¿×È¸Ê±×°	Å®Ö÷½Ç·¢ÊÎ¿×È¸Ê±×°	20307205	1	2	PeiFang_5	50000	103
103	1	ÄĞÖ÷½ÇÍ··¢¿×È¸Ê±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎ¿×È¸Ê±×°.mesh	Hoàng Vû Phát	ÄĞÖ÷½ÇÍ··¢¿×È¸Ê±×°	ÄĞÖ÷½Ç·¢ÊÎ¿×È¸Ê±×°	20307205	1	2	PeiFang_5	50000	102
104	0	W_hair_2022wegame.mesh	W_hair01_2022wegame.mesh	Nhung Thú Phát	W_hair_2022wegame	W_hair01_2022wegame	20307206	1	2	PeiFang_5	50000	105
105	1	M_hair_2022wegame.mesh	M_hair01_2022wegame.mesh	Nhung Thú Phát	M_hair_2022wegame	M_hair01_2022wegame	20307206	1	2	PeiFang_5	50000	104
106	0	Å®Ö÷½ÇÍ··¢ÑãÃÅ¹ØÊ±×°.mesh	Å®Ö÷½Ç·¢ÊÎÑãÃÅ¹ØÊ±×°.mesh	Ğ² Phát	Å®Ö÷½ÇÍ··¢ÑãÃÅ¹ØÊ±×°	Å®Ö÷½Ç·¢ÊÎÑãÃÅ¹ØÊ±×°	20307207	1	2	PeiFang_5	50000	107
107	1	ÄĞÖ÷½ÇÍ··¢ÑãÃÅ¹ØÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÑãÃÅ¹ØÊ±×°.mesh	Ğ² Phát	ÄĞÖ÷½ÇÍ··¢ÑãÃÅ¹ØÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÑãÃÅ¹ØÊ±×°	20307207	1	2	PeiFang_5	50000	106
108	0	Å®Ö÷½ÇÍ··¢Ö¯Å®Ê±×°.mesh	Å®Ö÷½Ç·¢ÊÎÖ¯Å®Ê±×°.mesh	Tình Ti Phát	Å®Ö÷½ÇÍ··¢Ö¯Å®Ê±×°	Å®Ö÷½Ç·¢ÊÎÖ¯Å®Ê±×°	20307208	1	2	PeiFang_5	50000	109
109	1	ÄĞÖ÷½ÇÍ··¢Å£ÀÉÊ±×°.mesh	ÄĞÖ÷½Ç·¢ÊÎÅ£ÀÉÊ±×°.mesh	Tình Ti Phát	ÄĞÖ÷½ÇÍ··¢Å£ÀÉÊ±×°	ÄĞÖ÷½Ç·¢ÊÎÅ£ÀÉÊ±×°	20307208	1	2	PeiFang_5	50000	108
110	0	Å®Ö÷½ÇÍ··¢ÀğÓãÌ××°.mesh	Å®Ö÷½ÇÍ·ÊÎÀğÓãÌ××°.mesh	Hß¾ng Vãn Phát	Å®Ö÷½ÇÍ··¢ÀğÓãÌ××°	Å®Ö÷½ÇÍ·ÊÎÀğÓãÌ××°	20307209	1	2	PeiFang_5	50000	111
111	1	ÄĞÖ÷½ÇÍ··¢ÀğÓãÌ××°.mesh	ÄĞÖ÷½ÇÍ·ÊÎÀğÓãÌ××°.mesh	Hß¾ng Vãn Phát	ÄĞÖ÷½ÇÍ··¢ÀğÓãÌ××°	ÄĞÖ÷½ÇÍ·ÊÎÀğÓãÌ××°	20307209	1	2	PeiFang_5	50000	110
112	0	Å®Ö÷½ÇÍ··¢ĞÇ¿ÕÕ½¼×Éı¼¶.mesh	Å®Ö÷½Ç·¢ÊÎĞÇ¿ÕÕ½¼×Éı¼¶.mesh	Thiên Lan Phát	Å®Ö÷½ÇÍ··¢ĞÇ¿ÕÕ½¼×Éı¼¶	Å®Ö÷½Ç·¢ÊÎĞÇ¿ÕÕ½¼×Éı¼¶	20307210	1	2	PeiFang_5	50000	113
