INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING
30	0	18	41	60	0	0	0		Thäo Nguyên-NhÕn Nam(400037)
31	0	19	143	254	0	0	0		C± MÕc Nh¤t T¢ng-NhÕn B¡c(400122)
32	0	21	63	288	0	0	0		Thäo Nguyên-Liêu Tây(400038)
33	0	22	39	269	0	0	0		Thäo Nguyên-Trß¶ng BÕch S½n(400039)
34	0	174	230	230	0	0	0		Thäo Nguyên-ThuÖ Tinh H°(400142)
35	0	20	274	39	0	0	0		Trß¶ng BÕch S½n-Thäo Nguyên(400041)
36	0	23	49	272	0	0	0		Trß¶ng BÕch S½n-Hoàng Long Phü(400042)
37	0	30	48	228	0	0	0		Thuy«n ‘-Tây H°(400127)
38	0	24	280	37	10	0	0		ÐÕi Lý-Nh¸ Häi(400008)
39	400007	0	0	0	0	0	0		ÐÕi Lý-Kiªm Các
40	400006	0	0	0	0	0	0		ÐÕi Lý-Vô Lßþng S½n
41	806013	0	0	0	0	0	0		ÐÕi Lý-Lôi Ðài
42	0	432	90	86	0	0	1	#cfff263HÕn huyªt lînh cho phép tuyên chiªn, #GkHông sát khí#cfff263, có th¬ xäy ra #GPK#cfff263. Chú ý bäo tr÷ng.#r    #cfff263 Trong khu vñc này #Gchü ðµng t¤n công#cfff263 ngß¶i ch½i khác#G không b¸ tr×ng phÕt#cfff263.#r    #cfff263Có mu¯n vào không?	ÐÕi Uy¬n-Hãn Huyªt Lînh(400944)
43	0	186	27	142	0	0	0		ÐÕi Uy¬n-Lâu Lan(400945)
44	0	201	43	226	0	0	0		ÐÕi Uy¬n-Tát Mã Nhî Hãn(400947)
45	0	0	37	134	0	0	0		Ðµi Hoàng-LÕc Dß½ng(400021)
46	0	7	106	47	0	0	0		Ðµi Hoàng-Kiªm Các(400022)
47	0	16	96	152	0	0	0		Ðµi Hoàng-Tinh Tú Häi(400908)
48	0	17	95	150	0	0	0		Ðµi Hoàng-Thiên S½n(400909)
49	0	123	233	228	0	0	0		Ðµi Hoàng-Bäo Tàng Ðµng T¥ng 1(400085)
50	0	7	277	168	0	0	0		Nga Mi S½n-Kiªm Các(400030)
51	0	2	160	277	0	0	0		Nh¸ Häi-ÐÕi Lý(400044)
52	0	25	277	53	0	0	0		Nh¸ Häi-Thß½ng S½n(400045)
53	0	26	261	127	0	0	0		Nh¸ Häi-ThÕch Lâm(400046)
54	0	172	36	236	0	0	0		Nh¸ Häi-Ôn Tuy«n Ðµng(400136)
55	0	4	280	43	20	0	0		Cái Bang-Thái H°(400025)
56	0	423	28	230	0	0	0		Cao Xß½ng-Höa Di®m S½n(400931)
57	0	520	100	99	0	0	1	Cao Xß½ng Mê Cung Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Cao Xß½ng-Cao Xß½ng Mê Cung(400933)
58	0	186	296	142	0	0	0		Cao Xß½ng-Lâu Lan(400936)
59	0	424	65	150	0	0	0		Cao Xß½ng Mê Cung-Cao Xß½ng(400935)
60	400980	0	0	0	0	0	0		Cô Tô-Kính H°(400980)
61	0	34	64	184	0	0	0		Häi T£c Ðµng-Nam Häi(400155)
62	0	431	20	205	0	0	0		Hãn Huyªt Lînh-ÐÕi Uy¬n(400946)
63	0	22	282	74	0	0	0		Hoàng Long Phü-Trß¶ng BÕch S½n(400043)
64	0	179	115	220	0	0	0		Hoàng Long Phü-Tuyªt Lang H°(400146)
65	0	32	102	50	0	0	0		Hoàng Long Ðµng-Vû Di(400139)
66	0	173	215	160	0	0	0		Hoàng Long Ðµng 1-Hoàng Long Ðµng 2(400140)(cùng bän ð° H² Truy«n)
67	0	173	223	215	0	0	0		Hoàng Long Ðµng 2-Hoàng Long Ðµng 1(400141)(cùng bän ð° H² Truy«n)
68	0	423	36	99	0	0	0		Hoä Di®m C¯c-Höa Di®m S½n(400934)
69	0	424	221	209	0	0	0		Höa Di®m S½n-Cao Xß½ng(400930)
70	0	519	71	29	0	0	1	Hoä Di®m C¯c Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Höa Di®m S½n-Hoä Di®m C¯c(400932)
71	400019	0	0	0	0	0	0		Kiªm Các-ÐÕi Lý
72	0	8	230	270	10	0	0		Kiªm Các-Ðµi Hoàng(400020)
73	0	15	89	139	0	0	0		Kiªm Các-Nga Mi S½n(400907)
74	0	31	174	273	0	0	0		Kiªm Trüng-Long Tuy«n(400129)
75	0	1	64	163	0	0	0		Kính H°-Tô Châu(400014)
76	0	6	276	80	0	0	0		Kính H°-Vô Lßþng S½n(400015)
77	0	12	93	182	0	0	0		Kính H°-Núi Võ Ðang(400904)
78	0	433	27	227	90	0	0		Côn Luân Phúc Ð¸a-Côn Luân S½n(400159)
79	400158	0	0	0	0	0	0		Côn Luân S½n-Côn Luân Phúc Ð¸a(400158)
80	0	425	233	218	90	0	0		Côn Luân S½n-Tháp Lý Mµc(400157)
81	0	20	118	40	0	0	0		Liêu Tây-Thäo Nguyên(400040)
82	0	175	125	30	0	0	0		Liêu Tây-Tiên Vß½ng Ph¥n(400144)
83	0	188	60	222	0	0	1	Ngân Ngai Tuyªt Nguyên Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Liêu Tây-Ngân Khäi Tuyªt Nguyên(400925)
84	0	30	280	59	0	0	0		Long Tuy«n-Tây H°(400058)
85	0	169	20	20	0	0	0		Long Tuy«n-Kiªm Trüng(400128)
86	0	444	276.85	45.49	0	0	0		Long Tuy«n-Thanh Nguyên(400966)
87	0	431	193	227	90	0	0		Lâu Lan-ÐÕi Uy¬n(400941)
88	400942	0	0	0	0	0	0		Lâu Lan-Cao Xß½ng
89	400943	0	0	0	0	0	0		Lâu Lan-Tháp Lý Mµc
90	0	8	276	145	0	0	0		LÕc Dß½ng-Ðµi Hoàng(400000)
91	0	3	42	54	0	0	0		LÕc Dß½ng-Tung S½n(400001)
92	0	18	264	278	0	0	0		LÕc Dß½ng-NhÕn Nam(400002)
93	806011	0	0	0	0	0	0		LÕc Dß½ng-Lôi Ðài
94	113007	0	0	0	0	0	0		LÕc Dß½ng-Tø Hi«n Trang
95	0	32	271	178	0	0	0		Mai Lînh-Vû Di(400062)
96	0	157	89	232	0	0	0		Mai Lînh-Miêu Nhân Ðµng(400152)
97	0	444	104.22	298.68	0	0	0		Mai Lînh-Thanh Nguyên(400973)
98	0	28	108	280	0	0	0		Miêu Cß½ng-Nam Chiªu(400054)
99	0	33	198	276	0	0	0		Miêu Nhân Ðµng-Mai Lînh(400153)
100	0	4	279	226	20	0	0		Quang Minh Ði®n-Thái H°(400026)
101	0	18	46	46	0	0	0		Ma Nhai Ðµng-NhÕn Nam(400131)
102	0	32	252	268	0	0	0		Nam Häi-Vû Di(400063)
103	0	35	275	277	0	0	0		Nam Häi-QuÏnh Châu(400064)
104	0	178	47	223	0	0	0		Nam Häi-Häi T£c Ðµng(400154)
105	0	26	42	245	0	0	0		Nam Chiªu-ThÕch Lâm(400052)
106	0	29	67	45	0	0	0		Nam Chiªu-Miêu Cß½ng(400053)
107	400123	0	0	0	0	0	0		Huy«n Võ Ðäo-Thánh Thú S½n(400123)
108	0	7	276	82	0	0	0		Ð¸a cung 1-Kiªm Các(700952)
109	0	401	223	225	0	0	0		Ð¸a cung 1-ð¸a cung 2(400948)
110	0	400	31	40	0	0	0		Ð¸a cung 2-ð¸a cung 1(400949)
111	0	402	224	216	0	0	0		Ð¸a cung 2-ð¸a cung 3(400950)
112	0	401	102	164	0	0	0		Ð¸a cung 3-ð¸a cung 2(400951)
113	0	203	31	33	0	0	1	Ð¸a Cung TÑ T¢ng Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Ð¸a cung 3-ð¸a cung 4(400975)
114	0	402	132	40	0	0	0		Ð¸a cung 4-ð¸a cung 3(400976)
115	0	34	277	170	0	0	0		QuÏnh Châu-Nam Häi(400065)
116	0	445	44.74	227.11	0	0	0		Thanh tuy«n-thanh tuy«n s½n ðµng(400971)
117	0	33	275.83	32.79	0	0	0		Thanh Nguyên-Mai Lînh(400972)
118	0	31	281.39	154.34	0	0	0		Thanh Nguyên-Long Tuy«n(400969)
119	0	444	281.63	289.14	0	0	0		Thanh tuy«n s½n ðµng-thanh tuy«n(400968)
120	0	431	48	27	0	0	0		Tát Mã Nhî Hãn-ÐÕi Uy¬n(400977)
121	0	202	26	100	0	0	1	Thánh Hoä Cung Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Tát Mã Nhî Hãn-Thánh Hoä Cung(400978)
122	0	201	72	41	0	0	0		Thánh Hoä Cung-Tát Mã Nhî Hãn(400979)
123	0	24	36	274	0	0	0		ThÕch Lâm-Nh¸ Häi(400048)
124	0	27	44	53	0	0	0		ThÕch Lâm-Ng÷c Khê(400049)
125	0	28	274	45	0	0	0		ThÕch Lâm-Nam Chiªu(400050)
126	0	176	235	25	0	0	0		ThÕch Lâm-Thø Ðµng(400148)
127	0	415	46	27	0	0	0		ThÕch Lâm-Diêm H°(400809)
128	0	26	106	262	0	0	0		Thø Ðµng-ThÕch Lâm(400149)
129	0	20	75	193	0	0	0		ThuÖ Tinh H°-Thäo Nguyên(400143)
130	0	0	160	278	0	0	0		Tung S½n-LÕc Dß½ng(400009)
131	0	9	95	146	0	0	0		Tung S½n-Thiªu Lâm Tñ(400901)
132	0	4	88	35	0	0	0		Tung S½n-Thái H°(400010)
133	0	4	218	271	0	0	0		Tô Châu-Thái H°(400004)
134	0	5	277	46	0	0	1	Kính H° Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Tô Châu-Kính H°(400003)
135	0	30	39	52	0	0	0		Tô Châu-Tây H°(400005)
136	0	1	182	53	0	0	0		Thái H°-Tô Châu(400012)
137	0	10	92	153	0	0	0		Thái H°-Cái Bang T±ng Ðà(400902)
138	0	11	98	149	0	0	0		Thái H°-Quang Minh Ði®n(400903)
139	0	3	281	256	0	0	0		Thái H°-Tung S½n(400013)
140	0	425	111	219	0	0	0		NhÕn Nam S½n Ðµng-Tháp Lý Mµc(400940)
141	0	186	161	295	0	0	0		Tháp Lý Mµc-Lâu Lan(400937)
142	0	427	38	24	0	0	1	Takla Makan Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Tháp Lý Mµc-NhÕn Nam S½n Ðµng(400938)
143	0	433	111	22	90	0	0		Tháp Lý Mµc-Côn Luân S½n(400939)
144	0	27	64	165	0	0	0		Ðào Hoa Nguyên-Ng÷c Khê(400151)
145	0	6	94	278	0	0	0		Thiên Long Tñ-Vô Lßþng S½n(400028)
146	0	8	60	41	20	0	0		Thiên S½n-Ðµi Hoàng(400032)
147	0	24	269	102	0	0	0		Ôn Tuy«n Ðµng-Nh¸ Häi(400137)
148	400027	0	0	0	0	0	0		Núi Võ Ðang-Kính H°(400027)
149	0	14	42	128	0	0	0		Vô Lßþng S½n-Lång Ba Ðµng(400906)
150	0	13	96	128	0	0	0		Vô Lßþng S½n-Thiên Long Tñ(400905)
151	400017	0	0	0	0	0	0		Vô Lßþng S½n-ÐÕi Lý
152	400018	0	0	0	0	0	0		Vô Lßþng S½n-Kính H°(400018)
153	0	30	264	279	0	0	0		Vû Di-Tây H°(400059)
154	0	33	42	269	0	0	0		Vû Di-Mai Lînh(400060)
155	0	34	40	37	0	0	0		Vû Di-Nam Häi(400061)
156	0	173	110	221	0	0	0		Vû Di-Hoàng Long Ðµng(400138)
157	0	21	50	217	0	0	0		Tiên Vß½ng Ph¥n-Liêu Tây(400145)
158	0	6	114	44	0	0	0		Lång Ba Ðµng-Vô Lßþng S½n(400029)
159	0	30	84	46	0	0	0		DÕ Tây H°-Tây H°(400927)
160	0	1	182	265	0	0	0		Tây H°-Tô Châu(400055)
161	0	31	42	267	0	0	0		Tây H°-Long Tuy«n(400056)
162	0	32	43	40	0	0	0		Tây H°-Vû Di(400057)
163	0	168	26	216	0	0	0		Tây H°-S½n Ðµng Thuy«n ‘(400126)
164	0	121	84	48	0	0	1	DÕ Tây H° cho phép tuyên chiªn, #GkHông sát khí#cfff263, có th¬ xäy ra #GPK#cfff263. Chú ý bäo tr÷ng. Ngß½i mu¯n vào không?	Tây H°-DÕ Tây H°(400926)
165	0	8	43	274	20	0	0		Tinh Tú Häi-Ðµi Hoàng(400031)
166	0	23	208	256	0	0	0		Tuyªt Lang H°-Hoàng Long Phü(400147)
167	0	18	248	43	0	0	0		NhÕn B¡c-NhÕn Nam(400036)
168	0	156	41	218	0	0	0		NhÕn B¡c-ÐÕi Quân Thäo Li®u Trß¶ng(400132)
169	400121	0	0	0	0	0	0		NhÕn B¡c-Yên Vß½ng C± MÕc T¥ng 1(400121)
170	0	26	44	271	0	0	0		Diêm H°-ThÕch Lâm(400810)
171	0	517	97	95	0	0	0		Diêm H°-BÕch Sa Diêm Khanh(400811)
172	0	415	224	169	0	0	0		BÕch Sa Diêm Khanh-Diêm H°(400812)
173	0	0	282	133	0	0	0		NhÕn Nam-LÕc Dß½ng(400033)
174	0	19	228	273	0	0	0		NhÕn Nam-NhÕn B¡c(400034)
175	0	20	278	255	0	0	0		NhÕn Nam-Thäo Nguyên(400035)
176	0	170	22	225	0	0	0		NhÕn Nam-Ma Nhai Ðµng(400130)
177	0	25	270	128	0	0	0		Dã Nhân Câu-Thß½ng S½n(400135)
178	0	26	109	44	0	0	0		Ng÷c Khê-ThÕch Lâm(400051)
179	0	177	25	23	0	0	0		Ng÷c Khê-Ðào Hoa Nguyên(400150)
180	0	3	279	136	20	0	0		Thiªu Lâm-Tung S½n(400024)
181	0	19	50	64	0	0	0		ÐÕi Quân Thäo Li®u Trß¶ng-NhÕn B¡c(400133)
501	0	0	132	183	0	0	0		Các\u0020hÕ Quân Dinh Ð¸a(Dî Phª Khí)-LÕc Dß½ng(400910)
502	50011	0	0	0	0	0	0		Biên Quan Tr§n Ð¸a S½n Ð¥u(Trung Thu nhi®m vø bän sao)
503	400964	0	0	0	0	0	0		Tàng Kinh Các(bän sao)
504	120009	0	0	0	0	0	0		Thß½ng Mang S½n(c¯t truy®n bän sao)
505	120010	0	0	0	0	0	0		Thß½ng Mang S½n(c¯t truy®n bän sao)
506	0	186	115	54	0	0	0		Ðµc Chß¾ng TrÕch Ð¸a-Lâu Lan(400954)
507	808018	0	0	0	0	0	0		Nga Mi S½n(nhi®m vø bän sao)
508	0	15	89	148	10	0	0		Nga Mi S½n(bän sao)-Nga Mi S½n(400113)
509	808019	0	0	0	0	0	0		Cái Bang T±ng Ðà(nhi®m vø bän sao)
510	0	10	92	155	10	0	0		Cái Bang T±ng Ðà(bän sao)-Cái Bang T±ng Ðà(400112)
511	400807	0	0	0	0	0	0		Công Ð¸a(thành th¸ nhi®m vø bän sao)
512	0	18	262	46	0	0	0		Thiªu Lâm kÛ nång nhi®m vø bän sao-NhÕn Nam(212143)
513	400125	0	0	0	0	0	0		Thành th¸ nhi®m vø bän sao
514	400805	0	0	0	0	0	0		Thành th¸ nhi®m vø bän sao
515	400067	0	0	0	0	0	0		Quang Minh Ðµng(nhi®m vø bän sao)
516	400071	0	0	0	0	0	0		Tiêu Dao C¯c Ð¬(nhi®m vø bän sao)
517	400983	0	0	0	0	0	0		Mµ Dung S½n Trang(nhi®m vø bän sao)
518	0	195	142	167	10	0	0		Mµ Dung S½n Trang(bän sao)-Mµ Dung S½n Trang(400984)
519	400974	0	0	0	0	0	0		Tàng thß Thüy Các(bän sao)
520	0	186	300	66	0	0	0		Dung Nham Chi Ð¸a(bän sao)-Lâu Lan(400955)
521	400804	0	0	0	0	0	0		Hi®u Trß¶ng(PKbän sao)
522	0	5	200	52	0	0	0		Kính H° Phï TrÕi(bän sao)-Kính H°(5115)
523	400803	0	0	0	0	0	0		T§p Th¸(thành th¸ nhi®m vø bän sao)
524	0	1	105	111	0	0	0		Nga Mi kÛ nång nhi®m vø bän sao-Tô Châu(212118)
525	400068	0	0	0	0	0	0		Cái Bang TØu Giáo(nhi®m vø bän sao)
526	400922	0	0	0	0	0	0		Khäo Trß¶ng(bän sao)
527	400800	0	0	0	0	0	0		Khoáng Trß¶ng(thành th¸ nhi®m vø bän sao)
528	400917	0	0	0	0	0	0		Lôi ðài
529	400916	0	0	0	0	0	0		Lôi ðài
530	400069	0	0	0	0	0	0		Linh Tính Phong(bän sao)
531	808020	0	0	0	0	0	0		Quang Minh Ði®n(nhi®m vø bän sao)
532	0	11	97	161	10	0	0		Quang Minh Ði®n(bän sao)-Quang Minh Ði®n(400114)
533	400801	0	0	0	0	0	0		Møc Trß¶ng(thành th¸ nhi®m vø bän sao)
534	400913	0	0	0	0	0	0		Mµc Nhân HÕng(bän sao)
535	400920	0	0	0	0	0	0		MÕc Huy®t(quát tháo Tá Ð° bän sao)
536	400083	0	0	0	0	0	0		Ti¬u Mµc Nhân HÕng 2(bän sao)
537	400084	0	0	0	0	0	0		H§u Hoa Viên(bän sao)
538	805021	0	0	0	0	0	0		Bang phái thành th¸
539	0	39	282	64	0	0	0		Thánh Thú S½n-Huy«n Võ Ðäo(400124)
540	808121	0	0	0	0	0	0		Huy«n Võ Ðäo(bän sao)
541	402046	0	0	0	0	0	0		Phiêu Mi¬u Phong(bän sao)
542	805042	0	0	0	0	0	0		Bang phái n½i dùng chân(Dî Phª Khí)
543	0	18	46	46	0	0	0		NhÕn Nam S½n Ðµng-NhÕn Nam(400079)
544	0	19	50	64	0	0	0		NhÕn B¡c S½n Ðµng-NhÕn B¡c(400080)
545	0	30	48	230	0	0	0		Tây H° S½n Ðµng-Tây H°(400081)
546	0	25	270	128	0	0	0		Thß½ng S½n S½n Ðµng-Thß½ng S½n(400082)
547	808021	0	0	0	0	0	0		Thiªu Lâm Tñ(nhi®m vø bän sao)
548	0	9	97	146	10	0	0		Thiªu Lâm Tñ(bän sao)-Thiªu Lâm Tñ(400115)
549	400808	0	0	0	0	0	0		Th¸ T§p(thành th¸ bang hµi nhi®m vø)
550	400806	0	0	0	0	0	0		Th¸ T§p(thành th¸ bang hµi nhi®m vø)
551	400921	0	0	0	0	0	0		Th¸ T§p(thành th¸ bang hµi nhi®m vø)
552	400802	0	0	0	0	0	0		Thß Các(thành th¸ bang hµi nhi®m vø)
553	400914	0	0	0	0	0	0		ThuÖ Lao(bän sao)
554	400982	0	0	0	0	0	0		TÑ Tuy®t Trang(bän sao)
555	0	2	241	148	0	0	0		Ð¸a Phü-ÐÕi Lý(400928)
556	50103	0	0	0	0	0	0		T¯ng Liêu Biên Cänh(bän sao)
557	400073	0	0	0	0	0	0		Ðáp Ð¬(nhi®m vø bän sao)
558	400066	0	0	0	0	0	0		Ðáp Lâm(nhi®m vø bän sao)
559	400070	0	0	0	0	0	0		Ðào Hoa Tr§n(nhi®m vø bän sao)
560	0	2	51	175	0	0	0		Thiên gi¾i Lâu-ÐÕi Lý(400965)
561	808022	0	0	0	0	0	0		Thiên Long Tñ(nhi®m vø bän sao)
562	0	13	96	141	10	0	0		Thiên Long Tñ(bän sao)-Thiên Long Tñ(400120)
563	808023	0	0	0	0	0	0		Thiên S½n(nhi®m vø bän sao)
564	0	17	95	148	10	0	0		Thiên S½n(bän sao)-Thiên S½n(400117)
565	0	12	98	184	10	0	0		Núi Võ Ðang(bän sao)-Núi Võ Ðang(400118)
566	400074	0	0	0	0	0	0		Ngû Th¥n Ðµng(nhi®m vø bän sao)
567	808025	0	0	0	0	0	0		Lång Ba Ðµng(nhi®m vø bän sao)
568	0	14	42	128	10	0	0		Lång Ba Ðµng(bän sao)-Lång Ba Ðµng(400119)
569	808026	0	0	0	0	0	0		Tinh Tú Häi(nhi®m vø bän sao)
570	0	16	98	143	10	0	0		Tinh Tú Häi(bän sao)-Tinh Tú Häi(400116)
571	0	186	300	66	0	0	0		Huy«n Lôi Pha(bän sao)-Lâu Lan(400953)
572	228903	0	0	0	0	0	0		Nhi®m vø bän sao
573	37004	0	0	0	0	0	0		(Yªn TØ ‘) c¯t truy®n bän sao
574	0	4	70	120	0	0	0		Yªn TØ ‘(bän sao)-Thái H°(402261)
575	50105	0	0	0	0	0	0		Dã NgoÕi Phï TrÕi(bän sao)
576	809267	0	0	0	0	0	0		T£c Kh¤u Dinh Ð¸a(bän sao)
577	400072	0	0	0	0	0	0		Thi®t Mi Phong(nhi®m vø bän sao)
578	0	158	140	115	0	0	0		Dã Trß Nông Trß¶ng(bän sao)-Thánh Thú S½n(400929)
579	50104	0	0	0	0	0	0		Trúc Lâm(bän sao)
580	808024	0	0	0	0	0	0		Núi Võ Ðang(bän sao)
581	891302	0	0	0	0	0	0		Ðµng thiên(bän sao)-môn phái
582	893082	41	0	0	0	0	1	Huy«n Võ Ðäo·Kính Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Huy«n Võ Ðäo-Huy«n Võ Ðäo Phän
583	893082	0	0	0	0	0	0		Huy«n Võ Ðäo Phän-Huy«n Võ Ðäo
584	0	39	106	88	0	0	0		Huy«n Võ Ðäo k¨ nÑt-Huy«n Võ Ðäo
585	0	4	39	200	10	0	0		MÕn Ðà S½n Trang-Thái H°(893296)
586	0	1283	136	180	0	0	0		Thái H°-MÕn Ðà S½n Trang(893295)
587	893298	0	0	0	0	0	0		MÕn Ðà S½n Trang(nhi®m vø bän sao)
588	0	1283	139.9	151	10	0	0		MÕn Ðà S½n Trang(bän sao)-MÕn Ðà S½n Trang(893299)
589	893401	0	0	0	0	0	0		MÕn Ðà S½n Trang(sß môn nhi®m vø bän sao)
590	891302	1283	133	113	0	0	0		MÕn Ðà S½n Trang(võ ðÕo T¥ng 1 nhi®m vø)
591	890035	0	0	0	0	0	0		Lôi ðài
592	400804	0	0	0	0	0	0		Tân Hi®u Trß¶ng(PKbän sao)
593	0	20	246	186	0	0	0		BÕch Khê H°-Thäo Nguyên
594	0	1292	203	79	85	0	0		Thäo Nguyên-BÕch Khê H°
595	0	25	46	61	0	0	0		Thøc tre Häi-Thß½ng S½n
596	0	1293	125	219	85	0	0		Thß½ng S½n-Thøc tre Häi
597	0	8	97	45	20	0	0		Tây Lß½ng Phong Lâm-Ðµi Hoàng
598	0	1294	200	212	85	0	0		Ðµi Hoàng-Tây Lß½ng Phong Lâm
599	0	1296	219	41	85	0	1	Trß¶ng Xuân C¯c·Ô Y HÕng Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Trß¶ng Xuân C¯c·Hoành Nhai-Trß¶ng Xuân C¯c·Ô Y HÕng
600	0	1295	49	57	85	0	0		Trß¶ng Xuân C¯c·Ô Y HÕng-Trß¶ng Xuân C¯c·Hoành Nhai
601	0	7	276	82	0	0	0		T¥n Cung Bí Cänh 1-Kiªm Các
602	0	1309	223	225	0	0	0		T¥n Cung Bí Cänh 1-T¥n Cung Bí Cänh 2
603	0	1308	31	40	0	0	0		T¥n Cung Bí Cänh 2-T¥n Cung Bí Cänh 1
604	0	1310	224	216	0	0	0		T¥n Cung Bí Cänh 2-T¥n Cung Bí Cänh 3
605	0	1309	102	164	0	0	0		T¥n Cung Bí Cänh 3-T¥n Cung Bí Cänh 2
606	0	1311	192	214	0	0	1	Tr¥m Nguy®t Ðäo Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	Thanh H° äo th¸-Tr¥m Nguy®t Ðäo
607	0	1316	200	213	0	0	0		Thanh H° äo th¸-dung nham äo th¸
608	0	1315	183	212	0	0	0		Thanh H° äo th¸-r×ng r§m äo th¸
609	0	1313	44	224	0	0	1	Ph°n Lâm Ðäo Vi B¤t Gia sát khí trß¶ng cänh, Thïnh chú ý an toàn. Nhî xác nh§n mu¯n ði vào Ma?	R×ng r§m äo th¸-Ph°n Lâm Ðäo
610	0	1314	52	201	0	0	0		R×ng r§m äo th¸-Thanh H° äo th¸
611	0	1316	59	48	0	0	0		R×ng r§m äo th¸-dung nham äo th¸
