INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10200010	1	2	0	10	0	439	1	-1	-1	Bách Luy®n	100	Tinh hoa nh§t nguy®t thiên niên sñ, can phú mÕc nha bách luy®n binh.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_10	Ðao Búa	2009	2002	0
10200011	1	2	0	11	0	411	1	-1	-1	Tam Ðính Khäm S½n Ðao	10	Thân ðao rµng to và n£ng, lßÞi dao möng, ðao chia làm 3 ðoÕn, thích hþp cho ngß¶i m¾i vào giang h° sØ døng.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	Ðao Búa	2000	2002	0
10200012	1	2	0	12	0	414	1	-1	-1	Li­u Di®p Phát Phong Ðao	20	Cán ðao làm b¢ng ð°ng, lßÞi ðao möng, dÕng gþn sóng, lþi hÕi trong sát thß½ng kë ð¸ch.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	Ðao Búa	2001	2002	0
10200013	1	2	0	13	0	422	1	-1	-1	Nguy®t Nha Khai S½n Phü	30	LßÞi búa nhß hai mänh trång lßÞi li«m, s¡c bén không gì sánh n±i, ánh sáng l¤p lánh.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_11	Ðao Búa	2010	2002	0
10200014	1	2	0	14	0	415	1	-1	-1	Bäo Quang Xa Luân Phü	40	Búa dài 9 t¤c 5 th¯n, n£ng 82 cân, thân ðao có khäm bäo thÕch, tß½ng truy«n do danh tß¾ng th¶i Tam Qu¯c dùng.	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	Ðao Búa	2003	2002	0
10200015	1	2	0	15	0	430	1	-1	-1	Ngû Hành Nh§t Nguy®t Sän	50	Thân xëng ¦n Ngû hành ð°, dß¾i ánh sáng m£t tr¶i và ánh trång ð«u có th¬ th¤y ðßþc, uy lñc khôn lß¶ng.	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	Ðao Búa	2004	2002	0
10200016	1	2	0	16	0	432	1	-1	-1	Kim Ðïnh Táo Dß½ng Sóc	60	Do chân nhân phái Hoa S½n ðúc nên, huy«n thiªt nghìn nåm hàn bång vÕn nåm, tích tø sÑc mÕnh m£t trång, g£p trång thì uy lñc tång mÕnh.	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	Ðao Búa	2005	2002	0
10200017	1	2	0	17	0	440	1	-1	-1	Chu Tß¾c Phách Thiên Phü	70	Thßþng c± th¥n khí, truy«n là th¥n bäo v® cüa bµ tµc Chu Tß¾c, lßu lÕc nhân gian, uy lñc vô song.	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_12	Ðao Búa	2011	2002	0
10200018	1	2	0	18	0	446	1	-1	-1	ThØ Ly	80	Th¥n ma tích d¸, chï là thØ ly.#r#GCÓ th¬ ðªn LÕc Dß½ng (280, 322) tìm Bành Hoài Ng÷c, Lâu Lan (279, 198) tìm Kh¡c Lý Mµc, Thúc Hà C± Tr¤n (134, 85) tìm Kinh Khäm Thñc dùng Hàn Ng÷c Tinh Túy ho£c Ði¬m Kim Ti­n ð¬ ðøc l² cao c¤p.	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_1	Ðao Búa	2012	2002	0
10200019	1	2	0	19	0	447	1	-1	-1	H÷a Phúc	90	HoÕ Phúc Vô Tr¡c, biªn äo vô thß¶ng.	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_6	Ðao Búa	2013	2002	0
10200020	1	2	0	20	0	454	1	-1	-1	Bách Chiªn	100	Truy«n Vân xu¤t t× Công Thâu Thü, Bách Chiªn th¥n binh M£c Täi Truy«n.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_11	Ðao Búa	2014	2002	0
10201001	1	2	1	1	0	366	1	-1	-1	Tam C± Lßþng Ngân Xoa	10	Có màu bÕc, lßÞi xoa nh÷n nhö, r¤t lþi hÕi khi lâm tr§n.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_2	Thß½ng B±ng	2015	2002	0
10201002	1	2	1	2	0	370	1	-1	-1	Th¥n Phi Câu Liêm Thß½ng	20	Dß¾i ð¥u thß½ng mang hình trång lßÞi li«m, ðßþc làm r¤t tÖ mï, tinh tª, ðáng giá ngàn vàng.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_6	Thß½ng B±ng	2016	2002	0
10201003	1	2	1	3	0	374	1	-1	-1	BÕch Ng÷c Ð¢ng Long Thß½ng	30	Thß½ng Th¬ Tñ giß½ng cánh bay lßþn Ðích r°ng bay, Thß½ng Nhçn Tôi Dî Huy«n Bång, Hæu vô kiên b¤t t°i Chi Lþi.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	Thß½ng B±ng	2017	2002	0
10201004	1	2	1	4	0	379	1	-1	-1	Tam C± Thác Thiên Xoa	40	Là mµt trong 18 pháp khí mà khi hoà thßþng vân du thß¶ng mang theo ngß¶i, có th¬ ðu±i r¡n ch¤n tích hoá duyên, cûng có th¬ ch¯ng lÕi ma quÖ.	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_15	Thß½ng B±ng	2018	2002	0
10201005	1	2	1	5	0	382	1	-1	-1	Thú Giác Ði¬m Kim Thß½ng	50	Tß½ng truy«n là vû khí cüa La Hán phøc h±, bên trong có linh h°n cüa bÕch h± trong b¯n th¥n thú, giáng yêu tr× quÖ.	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	Thß½ng B±ng	2019	2002	0
10201006	1	2	1	6	0	387	1	-1	-1	Ð¸a Höa Huy«n Lß Thß½ng	60	Có màu huyªt kim, ð¥u thß½ng phân làm 3 nhánh, nhß ng÷n lØa bùng cháy, linh hoÕt, ti®n lþi, ðªn ðâu, huyªt và thß½ng hoà thành mµt.	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_7	Thß½ng B±ng	2020	2002	0
10201007	1	2	1	7	0	392	1	-1	-1	Ph§t Mçu TØ Kim Thß½ng	70	Tß½ng truy«n là vû khí cüa Vß½ng mçu thß·ng cho Nam Thiên tß¾ng quân, dài 8 thß¾c, màu tØ kim, không biªt làm t× kim loÕi gì, sát khí ð¢ng ð¢ng.	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_12	Thß½ng B±ng	2021	2002	0
10201008	1	2	1	8	0	397	1	-1	-1	Tr¤n NhÕc ÐoÕn H°n	80	Ðßþc tÕo b·i thiên hÕ ð® nh¤t danh gia L¸ch Bát Täi, ph¥n thân thß½ng ðßþc kh¡c mµt chu²i liên hoàn các ngôi sao, sáng l¤p lánh trong ðêm, khiªn yêu ma phäi l¦n tránh.	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_1	Thß½ng B±ng	2022	2002	0
10201009	1	2	1	9	0	401	1	-1	-1	Töa H¥u	90	Nhân trung Nam Mµ B¡c Ki«u chß·ng, ðao lý truy«n ngôn duy toä h¥u.	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5	Thß½ng B±ng	2023	2002	0
10201010	1	2	1	10	0	406	1	-1	-1	Trß¶ng LÕc	100	Vô sñ giang h° s¯ täi tînh, trß¶ng lÕc hi®n thª thª gian kinh.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_10	Thß½ng B±ng	2024	2002	0
10201011	1	2	1	11	0	366	1	-1	-1	Tam C± Bôn Lôi Xoa	10	LßÞi xoa có 3 ð¥u, là vû khí lþi hÕi trên chiªn trß¶ng.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_2	Thß½ng B±ng	2015	2002	0
10201012	1	2	1	12	0	371	1	-1	-1	Tinh Cß½ng LÕp H± Xoa	20	Dùng t¾i t¯t T¸nh Cß½ng rèn Ðích Xoa, cä v§t th¬ ðen bóng, Xoa Nhçn rõ ràng có th¬ th¤y ðßþc, thþ sån thß¶ng dùng Lai vây b¡t Lão H±.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_7	Thß½ng B±ng	2025	2002	0
10201013	1	2	1	13	0	374	1	-1	-1	Thanh Ng÷c Ð¢ng Long Thß½ng	30	Thß½ng Th¬ Tñ giß½ng cánh bay lßþn Ðích r°ng bay, Thß½ng Nhçn Tôi Dî Huy«n Bång, Hæu vô kiên b¤t t°i Chi Lþi.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	Thß½ng B±ng	2017	2002	0
10201014	1	2	1	14	0	379	1	-1	-1	Tam C± Li®t Di®m Xoa	40	Tång nhân lúc dÕo ch½i tùy thân mang theo mß¶i tám pháp khí mµt trong, Khä Khu Cän Xà Trùng Ch¤n Tích hoá duyên, Di®c Khä bi®n hµ Giáng Ma	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_15	Thß½ng B±ng	2018	2002	0
