INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
10	Say sßa Nh¤t Tuý	12	2	0	5	347	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	50	-1	-1	-1	Cái Bang Th¥n Cái X9
11	Thôn Phong †m Vû	13	2	0	5	347	5	80	1	120	2	200	3	320	4	520	5	6	5	15	1	351	364	-1	Cái Bang Th¥n Cái X10
12	Sát Phá Lang	-1	2	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng b¸ ðµng
13	Bàn Long Kích·th¥n uy	39	2	1	2	341	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Cái Bang chiªn tß¾ng Y1
14	Ngàn d§m Yên Chß¾ng	1	2	1	2	342	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	6	-1	-1	Cái Bang chiªn tß¾ng Y2
15	T¯c chiªn t¯c th¡ng	2	2	1	3	361	5	20	20000	30	40000	50	60000	80	80000	130	100000	13	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y3
16	Phong Lßþc Quäng MÕch	6	2	1	3	361	5	20	1	30	2	50	3	80	4	130	5	13	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y4
17	Ngàn d§m bay nhanh	2	2	1	3	342	5	20	5000	30	10000	50	15000	80	20000	130	25000	14	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y5
18	Long Hành Càn Khôn	9	2	1	4	341	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	365	-1	-1	Cái Bang chiªn tß¾ng Y6
19	Ði®p Bµ Súc Thª	10	2	1	4	-1	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y7
20	ÐoÕn Trß¶ng thiên nhai	14	2	1	5	365	5	80	100	120	200	200	300	320	400	520	500	18	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y8
21	Càn Khôn Phúc	15	2	1	5	365	5	80	50	120	100	200	100	320	150	520	150	18	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y9
22	Ti«m long Nh§p Häi	16	2	1	5	360	5	80	50	120	100	200	150	320	200	520	250	19	5	-1	-1	-1	-1	-1	Cái Bang chiªn tß¾ng Y10
23	Thi«n Võ „n	-1	0	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thi¬u Lâm Võ Tång b¸ ðµng
24	Phøc H± Quy«n·th¥n uy	39	0	0	2	281	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Thi¬u Lâm Võ Tång X1
25	Ph§t Ðång Áp Ðïnh	1	0	0	2	282	5	10	150	20	300	30	450	50	600	80	750	-1	-1	-1	-1	5	-1	-1	Thi¬u Lâm Võ Tång X2
26	Ma Ha Toái Giáp	27	0	0	3	291	5	20	20	30	40	50	60	80	80	130	100	24	5	-1	-1	1	-1	-1	Thi¬u Lâm Võ Tång X3
27	Hành ðÕo ch§m chÕp	27	0	0	3	295	5	20	-50	30	-100	50	-150	80	-200	130	-250	24	5	-1	-1	-1	-1	-1	Thi¬u Lâm Võ Tång X4
28	Thi«n Lñc Li®t Ð¸a	1	0	0	3	283	5	20	150	30	300	50	450	80	600	130	750	25	5	-1	-1	5	-1	-1	Thi¬u Lâm Võ Tång X5
29	C¥u v°ng Lång Nh§t	18	0	0	4	297	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	35	-1	-1	Thi¬u Lâm Võ Tång X6
30	Phøc H± Nghênh Ph§t	49	0	0	4	281	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	283	-1	-1	Thi¬u Lâm Võ Tång X7
31	B¤t Ðµng Nhß S½n	86	0	0	5	305	5	80	30	120	60	200	90	320	120	520	150	-1	-1	15	-1	-1	-1	-1	Thi¬u Lâm Võ Tång X8
32	Xä thân tr× ma	32	0	0	5	306	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	Thi¬u Lâm Võ Tång X9
33	Cây ph§t thü khai thiên	33	0	0	5	283	5	80	40	120	80	200	120	320	160	520	200	28	5	15	-1	-1	-1	-1	Thi¬u Lâm Võ Tång X10
34	Pháp Thân „n	-1	0	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thiªu Lâm La Hán b¸ ðµng
35	Phøc H± Quy«n·th¥n uy	39	0	1	2	281	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Thiªu Lâm La Hán Y1
36	Ph§t hi®u Vô Biên	6	0	1	2	282	5	10	1	20	2	30	3	50	4	80	5	-1	-1	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y2
37	Vô C¤u Ph§t Thân	2	0	1	3	301	5	20	10000	30	20000	50	30000	80	40000	130	50000	35	5	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y3
38	Gân c¯t ÐÕo C½	28	0	1	3	301	5	20	10	30	20	50	30	80	40	130	50	35	5	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y4
39	PhÕn Âm Tr¤n Th¥n	29	0	1	3	287	5	20	42853	30	42854	50	42855	80	42856	130	42857	36	5	-1	-1	3294	-1	-1	Thiªu Lâm La Hán Y5
40	Ma tâm Xung Ph§t	30	0	1	4	293	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	293	2	-1	Thiªu Lâm La Hán Y6
41	Kim cß½ng tr×ng m¡t	31	0	1	4	-1	5	40	1	70	2	110	3	180	4	290	5	-1	-1	10	-1	-1	-1	-1	Thiªu Lâm La Hán Y7
42	Chß Ph§t vô tß¾ng	2	0	1	5	293	5	80	2000	120	4000	200	6000	320	8000	520	10000	40	5	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y8
43	Ph§t Tâm Hành Trì	34	0	1	5	293	5	80	1000	120	2000	200	3000	320	4000	520	5000	40	5	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y9
44	Ph§t Duyên Nghi®p Höa	35	0	1	5	289	5	80	10	120	20	200	30	320	40	520	50	41	5	-1	-1	-1	-1	-1	Thiªu Lâm La Hán Y10
45	Không chªt không ng×ng	-1	1	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3293	Minh Giáo hào hi®p b¸ ðµng
46	T°i Tâm Chß·ng·th¥n uy	39	1	0	2	311	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Minh Giáo hào hi®p X1
47	Khói lØa Tßþng V÷ng	2	1	0	2	312	5	10	2000	20	4000	30	6000	50	8000	80	10000	-1	-1	-1	-1	-1	-1	-1	Minh Giáo hào hi®p X2
48	Thiên La Ð¸a Võng	20	1	0	3	313	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	Minh Giáo hào hi®p X3
49	Nhóm lØa Thành Ph÷c	20	1	0	3	325	5	20	20	30	40	50	60	80	80	130	100	46	5	-1	-1	-1	-1	-1	Minh Giáo hào hi®p X4
50	Nh¤t Cñ M£c Khoänh	29	1	0	3	327	5	20	42858	30	42859	50	42860	80	42861	130	42862	47	5	-1	-1	3295	-1	-1	Minh Giáo hào hi®p X5
51	Hám NhÕc Long Ð¢ng	49	1	0	4	311	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	313	-1	-1	Minh Giáo hào hi®p X6
52	Th§n tr÷ng	38	1	0	4	311	5	40	42863	70	42864	110	42865	180	42866	290	42867	-1	-1	10	-1	-1	-1	-1	Minh Giáo hào hi®p X7
53	Ðông phong ðã t¾i	40	1	0	5	325	5	80	50	120	100	200	150	320	200	520	250	51	5	-1	-1	-1	-1	-1	Minh Giáo hào hi®p X8
54	Ph¥n Thiên Sí Ð¸a	41	1	0	5	313	5	80	40	120	80	200	120	320	160	520	200	51	5	-1	-1	-1	-1	-1	Minh Giáo hào hi®p X9
55	Hoä Lãng ng§p tr¶i	42	1	0	5	335	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	-1	-1	-1	Minh Giáo hào hi®p X10
56	Nµ Di®m Ph¥n Thª	-1	1	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Minh Giáo Tu La b¸ ðµng
57	T°i Tâm Chß·ng·th¥n uy	39	1	1	2	311	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	1	-1	-1	Minh Giáo Tu La Y1
58	Minh Quang Huy«n	2	1	1	2	313	5	10	1000	20	2000	30	3000	50	4000	80	5000	-1	-1	-1	-1	-1	-1	-1	Minh Giáo Tu La Y2
59	Mßa rào Ð°i Viên	21	1	1	3	321	5	20	50	30	100	50	150	80	200	130	250	57	5	-1	-1	-1	-1	-1	Minh Giáo Tu La Y3
60	Hoá Khäm Nh§p Li	36	1	1	3	321	5	20	200	30	400	50	600	80	800	130	1000	57	5	-1	-1	-1	-1	-1	Minh Giáo Tu La Y4
61	Lôi Ðình Chi Nµ	37	1	1	3	317	5	20	200	30	400	50	600	80	800	130	1000	58	5	-1	-1	-1	-1	-1	Minh Giáo Tu La Y5
62	Chúc Tâm T¥n	9	1	1	4	313	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	335	-1	-1	Minh Giáo Tu La Y6
63	Khái lúc này l¤y Khang	23	1	1	4	311	5	40	5	70	10	110	15	180	20	290	25	-1	-1	10	-1	-1	-1	-1	Minh Giáo Tu La Y7
64	Thiên ð¸a Vi Lô	43	1	1	5	335	5	80	20	120	40	200	60	320	80	520	100	62	5	-1	-1	-1	-1	-1	Minh Giáo Tu La Y8
65	Phó mµt trong T¥n	44	1	1	5	335	5	80	40	120	80	200	120	320	160	520	200	-1	-1	15	-1	110	279	-1	Minh Giáo Tu La Y9
66	Th×a thª truy kích	45	1	1	5	330	5	80	60	120	120	200	180	320	240	520	300	63	5	-1	-1	-1	-1	-1	Minh Giáo Tu La Y10
67	Häi nÕp Xuyên Hành Quyªt	-1	3	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Võ Ðang Khí Tông b¸ ðµng
68	Bát Quái Chß·ng·th¥n uy	39	3	0	2	371	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Võ Ðang Khí Tông X1
69	M£c Th¥n Doanh Huy	80	3	0	2	376	5	10	20	20	40	30	60	50	80	80	100	-1	-1	-1	-1	7	-1	-1	Võ Ðang Khí Tông X2
70	ÐÕp Toái ngân hà	33	3	0	3	377	5	20	60	30	120	50	180	80	240	130	300	68	5	-1	-1	-1	-1	-1	Võ Ðang Khí Tông X3
71	Say sßa H°n Th®	83	3	0	3	377	5	20	100	30	200	50	300	80	400	130	500	68	5	-1	-1	-1	-1	-1	Võ Ðang Khí Tông X4
72	ÐÕm H« Lam Oanh	34	3	0	3	394	5	20	2000	30	4000	50	6000	80	8000	130	10000	69	5	-1	-1	-1	-1	-1	Võ Ðang Khí Tông X5
73	Bát quái Di­n	49	3	0	4	371	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	2	373	-1	-1	Võ Ðang Khí Tông X6
74	TØ Khí Ðông Lai	81	3	0	4	382	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	-1	-1	-1	Võ Ðang Khí Tông X7
75	Mµt kiªm M£c Quân	33	3	0	5	373	5	80	70	120	140	200	210	320	280	520	350	73	5	-1	-1	-1	-1	-1	Võ Ðang Khí Tông X8
76	NÕp Linh Ngßng Ðan	85	3	0	5	373	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	-1	-1	-1	Võ Ðang Khí Tông X9
77	Thái S½ buông xu¯ng	2	3	0	5	378	5	80	2000	120	4000	200	6000	320	8000	520	10000	-1	-1	15	-1	-1	-1	-1	Võ Ðang Khí Tông X10
78	Th¤t Bµ Ðång Vân Ðình	-1	3	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p b¸ ðµng
79	Bát Quái Chß·ng·th¥n uy	39	3	1	2	371	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Võ Ðang kiªm hi®p Y1
80	Gió mát Khoái Tai	2	3	1	2	372	5	10	2000	20	4000	30	6000	50	8000	80	10000	-1	-1	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y2
81	Hß Bµ Thanh Vân	2	3	1	3	379	5	20	4000	30	8000	50	12000	80	16000	130	20000	79	5	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y3
82	Tài Phong Các\u0020hÕ Nguy®t	27	3	1	3	374	5	20	-30	30	-60	50	-90	80	-120	130	-150	79	5	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y4
83	Ð¦u Chuy¬n Tinh Trì	2	3	1	3	395	5	20	1000	30	2000	50	3000	80	4000	130	5000	80	5	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y5
84	Hào Ðµng Tinh Di	9	3	1	4	371	5	40	60	70	120	110	180	180	240	290	300	-1	-1	10	2	395	-1	-1	Võ Ðang kiªm hi®p Y6
85	Tinh Ðào sóng dæ	56	3	1	4	395	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	-1	20	-1	-1	Võ Ðang kiªm hi®p Y7
86	Thiên Vi®t ngang tr¶i	33	3	1	5	395	5	80	30	120	60	200	90	320	120	520	150	84	5	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y8
87	Tr§n gió T§p Nguy®t	82	3	1	5	374	5	80	42848	120	42849	200	42850	320	42851	520	42852	-1	-1	15	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y9
88	Tinh †n HÕc Ð«	84	3	1	5	387	5	80	2	120	4	200	6	320	8	520	10	85	5	-1	-1	-1	-1	-1	Võ Ðang kiªm hi®p Y10
89	Y Giä Nhân Tâm	-1	4	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Nga Mi Nguy®t Y b¸ ðµng
90	Bái Nguy®t·th¥n uy	39	4	0	2	401	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Nga Mi Nguy®t Y X1
91	Doanh Dø Thái Uyên	46	4	0	2	407	5	10	50	20	100	30	150	50	200	80	250	-1	-1	-1	-1	-1	-1	-1	Nga Mi Nguy®t Y X2
92	Cam Mµc Linh Hñu	47	4	0	3	409	5	20	200	30	400	50	600	80	800	130	1000	90	5	-1	-1	-1	-1	-1	Nga Mi Nguy®t Y X3
93	T¸nh r§m r¸t	48	4	0	3	409	5	20	100	30	200	50	300	80	400	130	500	90	5	-1	110	279	-1	-1	Nga Mi Nguy®t Y X4
94	Ngßng Th¥n Quy Tâm	2	4	0	3	413	5	20	20000	30	40000	50	60000	80	80000	130	100000	91	5	-1	-1	-1	-1	-1	Nga Mi Nguy®t Y X5
95	Phong Thanh trång sáng	49	4	0	4	424	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	2	426	-1	-1	Nga Mi Nguy®t Y X6
96	Phong Thôi Mµc Minh	31	4	0	4	-1	5	40	2	70	4	110	6	180	8	290	10	-1	-1	10	-1	-1	-1	-1	Nga Mi Nguy®t Y X7
97	Hoa Mãn Nhàn Ðàm	46	4	0	5	426	5	80	100	120	200	200	300	320	400	520	500	95	5	-1	-1	-1	-1	-1	Nga Mi Nguy®t Y X8
98	Di®u thü xoay chuy¬n tr¶i ð¤t	51	4	0	5	411	5	80	2	120	4	200	6	320	8	520	10	-1	-1	15	-1	-1	-1	-1	Nga Mi Nguy®t Y X9
99	Ðào lý xuân phong	51	4	0	5	406	5	80	2	120	4	200	6	320	8	520	10	94	5	15	-1	-1	-1	-1	Nga Mi Nguy®t Y X10
100	Tiªng tÏ bà Ðình	-1	4	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Nga Mi Lân Hoa b¸ ðµng
101	Bái Nguy®t·th¥n uy	39	4	1	2	401	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Nga Mi Lân Hoa Y1
102	Già Vân Tª Nguy®t	21	4	1	2	415	5	10	10	20	20	30	30	50	40	80	50	-1	-1	-1	-1	-1	-1	-1	Nga Mi Lân Hoa Y2
103	Bán Khuyªt Thß½ng Ca	39	4	1	3	404	5	20	200	30	400	50	600	80	800	130	1000	101	5	-1	-1	2	-1	-1	Nga Mi Lân Hoa Y3
104	Tranh Minh Li®t BÕch	33	4	1	3	404	5	20	100	30	200	50	300	80	400	130	500	101	5	-1	-1	-1	-1	-1	Nga Mi Lân Hoa Y4
105	Không S½n Ngßng Vân	27	4	1	3	404	5	20	-80	30	-160	50	-240	80	-320	130	-400	102	5	-1	-1	-1	-1	-1	Nga Mi Lân Hoa Y5
106	Luân Huy«n Ph°n Thúc	49	4	1	4	403	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	403	-1	-1	Nga Mi Lân Hoa Y6
107	Sát khí tÑ phía	50	4	1	4	404	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	30	421	-1	-1	Nga Mi Lân Hoa Y7
108	Tây TØ Thán	33	4	1	5	403	5	80	80	120	160	200	240	320	320	520	400	106	5	-1	-1	-1	-1	-1	Nga Mi Lân Hoa Y8
109	Nguy®t Hàn Khâm	39	4	1	5	426	5	80	200	120	400	200	600	320	800	520	1000	-1	-1	15	-1	2	-1	-1	Nga Mi Lân Hoa Y9
110	Søt sùi Tuy«n Lßu	95	4	1	5	421	5	80	42868	120	42869	200	42870	320	42871	520	42872	107	5	-1	-1	100	-1	-1	Nga Mi Lân Hoa Y10
111	Minh Tinh Chiªu Ðïnh	-1	5	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	3296	Tinh Túc ngû ðµc b¸ ðµng
112	Lam Sa Thü·th¥n uy	39	5	0	2	431	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Tinh Túc ngû ðµc X1
113	U Minh t¤n công b¤t ng¶	53	5	0	2	433	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	Tinh Túc ngû ðµc X2
114	Bång hàn Tuy®t TÑc	40	5	0	3	445	5	20	50	30	100	50	150	80	200	130	250	112	5	-1	-1	-1	-1	-1	Tinh Túc ngû ðµc X3
115	Chß·ng Thª sóng tri«u	2	5	0	3	433	5	20	1000	30	2000	50	3000	80	4000	130	5000	113	5	-1	-1	-1	-1	-1	Tinh Túc ngû ðµc X4
116	U Minh m¤t ði	33	5	0	3	433	5	20	80	30	160	50	240	80	320	130	400	113	5	-1	-1	-1	-1	-1	Tinh Túc ngû ðµc X5
117	Chß·ng Bài sinh c½	49	5	0	4	433	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	10	455	-1	-1	Tinh Túc ngû ðµc X6
118	Thü ðoÕn ðµc ác L® Tâm	56	5	0	4	431	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	-1	30	-1	-1	Tinh Túc ngû ðµc X7
119	Diêm Vß½ng Lai Thiªp	33	5	0	5	455	5	80	30	120	60	200	90	320	120	520	150	117	5	-1	-1	-1	-1	-1	Tinh Túc ngû ðµc X8
120	Thiên T±n có th×a	58	5	0	5	450	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	Tinh Túc ngû ðµc X9
121	Ð¸a Sát không ðü	59	5	0	5	450	5	80	20	120	40	200	60	320	80	520	100	-1	-1	15	-1	500	-1	-1	Tinh Túc ngû ðµc X10
122	Vu C± Giáng Ách	-1	5	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Tinh Túc NguÜ Hào b¸ ðµng
123	Lam Sa Thü·th¥n uy	39	5	1	2	431	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Tinh Túc NguÜ Hào Y1
124	Tích Kim Thi«m Th×	53	5	1	2	435	5	10	100	20	200	30	300	50	400	80	500	-1	-1	-1	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y2
125	Ðµc Ách ðoÕt m®nh	54	5	1	3	434	5	20	40	30	80	50	120	80	160	130	200	123	5	-1	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y3
126	Dß Tµi Tri«n Thân	27	5	1	3	434	5	20	-50	30	-100	50	-150	80	-200	130	-250	-1	-1	5	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y4
127	Ðiên ðäo Âm Dß½ng	55	5	1	3	443	5	20	60	30	120	50	180	80	240	130	300	124	5	-1	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y5
128	Xà Ðµc T¦m Th¬	49	5	1	4	441	5	40	150	70	300	110	450	180	600	290	750	-1	-1	10	10	455	-1	-1	Tinh Túc NguÜ Hào Y6
129	Tr¶i gi§n Ð¸a Phçn	57	5	1	4	450	5	40	30	70	60	110	90	180	120	290	150	-1	-1	10	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y7
130	Trß¶ng H§n kéo dài	2	5	1	5	451	5	80	20000	120	40000	200	60000	320	80000	520	100000	-1	-1	15	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y8
131	Ph® Huyªt H¤p Tuý	60	5	1	5	437	5	80	70	120	140	200	210	320	280	520	350	-1	-1	15	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y9
132	Chú Chiêu Trùng Ách	25	5	1	5	450	5	80	20	120	40	200	60	320	80	520	100	129	5	-1	-1	-1	-1	-1	Tinh Túc NguÜ Hào Y10
133	Hoá Ki«n Chuy¬n Khôn	-1	6	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thiên Long Løc MÕch b¸ ðµng
134	Chính Dß½ng Thü·th¥n uy	39	6	0	2	461	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Thiên Long Løc MÕch X1
135	Tiªu kinh thiên ð¸a	62	6	0	2	477	5	10	300	20	600	30	900	50	1200	80	1500	-1	-1	-1	-1	35	-1	-1	Thiên Long Løc MÕch X2
136	Thiên S½n Di®t	39	6	0	3	463	5	20	70	30	140	50	210	80	280	130	350	134	5	-1	-1	7	-1	-1	Thiên Long Løc MÕch X3
137	Phi Quang B¤t Phø	3	6	0	3	463	5	20	50	30	100	50	150	80	200	130	250	134	5	-1	-1	42842	-1	-1	Thiên Long Løc MÕch X4
138	Nµ Ch¤n Li®t Khuyªt	39	6	0	3	481	5	20	70	30	140	50	210	80	280	130	350	135	5	-1	-1	7	-1	-1	Thiên Long Løc MÕch X5
139	Chúc Long Hàm Quang	49	6	0	4	463	5	40	20	70	40	110	60	180	80	290	100	-1	-1	10	100	463	-1	-1	Thiên Long Løc MÕch X6
140	H§n ÐoÕn thanh s½n	56	6	0	4	487	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	-1	50	-1	-1	Thiên Long Løc MÕch X7
141	TØ Sinh không cØa	66	6	0	5	463	5	80	40	120	80	200	120	320	160	520	200	139	5	-1	-1	-1	-1	-1	Thiên Long Løc MÕch X8
142	Phong vân Thung Long	67	6	0	5	481	5	80	80	120	160	200	240	320	320	520	400	-1	-1	15	-1	-1	-1	-1	Thiên Long Løc MÕch X9
143	Thái BÕch Nh§p Nguy®t	68	6	0	5	487	5	80	6	120	12	200	18	320	24	520	30	-1	-1	15	-1	-1	-1	-1	Thiên Long Løc MÕch X10
144	Yªt Thiên ¿ng Hành	-1	6	1	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thiên Long TÑ Thánh b¸ ðµng
145	Chính Dß½ng Thü·th¥n uy	39	6	1	2	461	5	10	200	20	400	30	600	50	800	80	1000	-1	-1	-1	-1	2	-1	-1	Thiên Long TÑ Thång Y1
146	Ân Ph¤t CØu Trùng	62	6	1	2	466	5	10	60	20	120	30	180	50	240	80	300	-1	-1	-1	-1	34	-1	-1	Thiên Long TÑ Thång Y2
147	M£c Hách Thâm	63	6	1	3	471	5	20	80	30	160	50	240	80	320	130	400	145	5	-1	-1	-1	-1	-1	Thiên Long TÑ Thång Y3
148	ÐÕo chªt vì tai nÕn C¯	64	6	1	3	471	5	20	50	30	100	50	150	80	200	130	250	145	5	-1	-1	-1	-1	-1	Thiên Long TÑ Thång Y4
149	Duyên Môn Thï Khai	65	6	1	3	481	5	20	20	30	40	50	60	80	80	130	100	146	5	-1	-1	-1	-1	-1	Thiên Long TÑ Thång Y5
150	Không höi Tu La	49	6	1	4	471	5	40	100	70	200	110	300	180	400	290	500	-1	-1	10	5	488	-1	-1	Thiên Long TÑ Thång Y6
151	TrÕch phong hoá Vû	49	6	1	4	461	5	40	50	70	100	110	150	180	200	290	250	-1	-1	10	2	469	-1	-1	Thiên Long TÑ Thång Y7
152	Chúng sinh Nhß Lai	69	6	1	5	488	5	80	3	120	6	200	9	320	12	520	15	150	5	-1	-1	-1	-1	-1	Thiên Long TÑ Thång Y8
153	M£c QuÖ Nan Ðµ	21	6	1	5	475	5	80	10	120	20	200	30	320	40	520	50	-1	-1	15	-1	-1	-1	-1	Thiên Long TÑ Thång Y9
154	Phong nguy®t Ð°ng Bi	70	6	1	5	469	5	80	100	120	200	200	300	320	400	520	500	151	5	-1	-1	-1	-1	-1	Thiên Long TÑ Thång Y10
155	Hàn Mang hi®n ra	-1	7	0	1	-1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	Thiên S½n du hi®p b¸ ðµng
