INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT
33	0	Å®Ö÷½ÇÁ³ÐÍ°×É«Ê¥µ®Ê±×°.mesh	Trác Ng÷c	Å®Ö÷½ÇÁ³ÐÍ°×É«Ê¥µ®Ê±×°	30008200	1	2	Cloth8_8	50000	132
34	0	Å®Ö÷½ÇÁ³ÐÍ°×»¢Ê±×°.mesh	Møc Hoàng	Å®Ö÷½ÇÁ³ÐÍ°×»¢Ê±×°	30008201	1	2	Cloth8_8	50000	133
35	0	Å®Ö÷½ÇÁ³ÐÍ°×»éÉ´Ê±×°.mesh	Tinh Tình	Å®Ö÷½ÇÁ³ÐÍ°×»éÉ´Ê±×°	30008202	1	2	Cloth8_8	50000	134
36	0	Å®Ö÷½ÇÁ³ÐÍÐÂ·ÉÁú³ËÔÆÊ±×°.mesh	Vinh hoa	Å®Ö÷½ÇÁ³ÐÍÐÂ·ÉÁú³ËÔÆÊ±×°	30008203	1	2	Cloth8_8	50000	135
37	0	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈüÈýÌ××°.mesh	Phøc Ba	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈüÈýÌ××°	30008204	1	2	Cloth8_8	50000	136
38	0	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈü¶þÌ××°.mesh	Phi Tß¾ng	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈü¶þÌ××°	30008205	1	2	Cloth8_8	50000	137
39	0	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈüÒ»Ì××°.mesh	Chiêu Võ	Å®Ö÷½ÇÁ³ÐÍÕù°ÔÈüÒ»Ì××°	30008206	1	2	Cloth8_8	50000	138
40	0	Å®Ö÷½ÇÁ³ÐÍÈýÍÃ¹²¶ú´º½ÚÌ××°.mesh	M½ tß·ng	Å®Ö÷½ÇÁ³ÐÍÈýÍÃ¹²¶ú´º½ÚÌ××°	30008207	1	2	Cloth8_8	50000	139
41	0	Å®Ö÷½ÇÁ³ÐÍÐåÇòÌ××°.mesh	Hàn QuÏnh	Å®Ö÷½ÇÁ³ÐÍÐåÇòÌ××°	30008208	1	2	Cloth8_8	50000	140
42	0	W_face_2023xianlv.mesh	Tiên Duyên	W_face_2023xianlv	30008209	1	2	Cloth8_8	50000	141
43	0	Å®Ö÷½ÇÁ³ÐÍÎè¼§Ê±×°.mesh	Huy«n Tß	Å®Ö÷½ÇÁ³ÐÍÎè¼§Ê±×°	30008210	1	2	Cloth8_8	50000	142
44	0	W_face_2023wangyuyan.mesh	Ng÷c Lµ	W_face_2023wangyuyan	30008211	1	2	Cloth8_8	50000	143
45	0	Å®Ö÷½ÇÁ³ÐÍÏÄÈÕÇåÁ¹Ê±×°.mesh	Trong trëo nhßng lÕnh lùng	Å®Ö÷½ÇÁ³ÐÍÏÄÈÕÇåÁ¹Ê±×°	30008212	1	2	Cloth8_8	50000	144
46	0	Å®Ö÷½ÇÁ³ÐÍ½á»éÊ±×°¸ß¼¶.mesh	Ð°ng V§n	Å®Ö÷½ÇÁ³ÐÍ½á»éÊ±×°¸ß¼¶	30008213	1	2	Cloth8_8	50000	145
47	0	W_face_2023fengqiuhuang.mesh	Xuân Hoa	W_face_2023fengqiuhuang	30008214	1	2	Cloth8_8	50000	146
48	0	W_face_2023xiaolongnv.mesh	G¥n nhau	W_face_2023xiaolongnv	30008215	1	2	Cloth8_8	50000	147
49	0	Å®Ö÷½ÇÁ³ÐÍ°µºÚÓ«¹âÊ±×°.mesh	LÕnh gi÷ng	Å®Ö÷½ÇÁ³ÐÍ°µºÚÓ«¹âÊ±×°	30008216	1	2	Cloth8_8	50000	148
50	0	W_face_2023huangrong.mesh	Vãng Mµng	W_face_2023huangrong	30008217	1	2	Cloth8_8	50000	149
51	0	W_face_2023jianianhua.mesh	Thß Khoái	W_face_2023jianianhua	30008218	1	2	Cloth8_8	50000	150
52	0	Å®Ö÷½ÇÁ³ÐÍÊ¥µ®½ÚÊ±×°.mesh	Tß thª oai hùng	Å®Ö÷½ÇÁ³ÐÍÊ¥µ®½ÚÊ±×°	30008221	1	2	Cloth8_8	50000	151
53	0	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°.mesh	Chß¾c Tâm	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°	30008219	1	2	Cloth8_8	50000	152
54	0	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°06½ð»Æ.mesh	Hoán Xán	Å®Ö÷½ÇÁ³ÐÍÖÜÄêÇì÷è÷ëÊ±×°06½ð»Æ	30008220	1	2	Cloth8_8	50000	153
55	0	W_face_2023½õÀð»¨µÆ.mesh	Trì Mµng	W_face_2023½õÀð»¨µÆ	30008222	1	2	Cloth8_8	50000	154
56	0	Å®Ö÷½ÇÁ³ÐÍ°×ÐÇÕù°ÔÈüÊ±×°.mesh	Thiên v¤n	Å®Ö÷½ÇÁ³ÐÍ°×ÐÇÕù°ÔÈüÊ±×°	30008223	1	2	Cloth8_8	50000	155
57	0	W_face_2023ÁúÄêÂíÃæÈ¹.mesh	Ng÷c Long	W_face_2023ÁúÄêÂíÃæÈ¹	30008225	1	2	Cloth8_8	50000	156
58	0	W_face_2023jingji.mesh	Thù Nhan	W_face_2023jingji	30008224	1	2	Cloth8_8	50000	157
59	0	W_face_2023jingji06.mesh	Lân Sß½ng	W_face_2023jingji06	30008226	1	2	Cloth8_8	50000	158
60	0	Å®Ö÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°.mesh	Lâm Uyên	Å®Ö÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°	30008227	1	2	Cloth8_8	50000	159
61	0	W_face_2023xianlv.mesh	Thª mô	W_face_2023xianlv	30008228	1	2	Cloth8_8	50000	160
62	0	Å®Ö÷½ÇÁ³ÐÍÓãÅ®Ê±×°.mesh	Häi S¡c	Å®Ö÷½ÇÁ³ÐÍÓãÅ®Ê±×°	30008229	1	2	Cloth8_8	50000	161
63	0	Å®Ö÷½Ç¹¤³Ì±äÉíÊ±×°Á³.mesh	Che m£t	Å®Ö÷½Ç¹¤³Ì±äÉíÊ±×°Á³	30008230	1	2	Cloth8_8	50000	162
64	0	W_face_2024Ê«¾Æ½­ºþ.mesh	Cu°ng Ca	W_face_2024Ê«¾Æ½­ºþ	30008231	1	2	Cloth8_8	50000	163
65	0	Å®Ö÷½ÇÁ³ÐÍÖÐ»ªÎåÉ«Ê±×°.mesh	Huy Quang	Å®Ö÷½ÇÁ³ÐÍÖÐ»ªÎåÉ«Ê±×°	30008232	1	2	Cloth8_8	50000	164
66	0	Å®Ö÷½ÇÁ³ÐÍÒìÓòÊ±×°.mesh	Vãn Tinh	Å®Ö÷½ÇÁ³ÐÍÒìÓòÊ±×°	30008233	1	2	Cloth8_8	50000	165
67	0	Å®Ö÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°01.mesh	Minh Phong	Å®Ö÷½ÇÁ³ÐÍ°×ÁúÍò×ÏÇ§ºìÊ±×°01	30008234	1	2	Cloth8_8	50000	166
68	0	W_face_2024»é·þ×ÏÏ¼.mesh	Tân Trang	W_face_2024»é·þ×ÏÏ¼	30008235	1	2	Cloth8_8	50000	167
69	0	W_face_2024×ÏÏ¼Ã«±ÊÃæ¾ß.mesh	QuÖ Mã	W_face_2024×ÏÏ¼Ã«±ÊÃæ¾ß	30008236	1	2	Cloth8_8	50000	168
70	0	W_face_2024×ÏÏ¼.mesh	Minh Không	W_face_2024×ÏÏ¼	30008237	1	2	Cloth8_8	50000	169
71	0	W_face_2024°×¾§¾§.mesh	Duyên Tiên	W_face_2024°×¾§¾§	30008238	1	2	Cloth8_8	50000	170
72	0	W_face_2024½ðÎÚ.mesh	Thi«u quang	W_face_2024½ðÎÚ	30008240	1	2	Cloth8_8	50000	171
73	0	W_face_2024ÌÆÈý²Ê.mesh	Ánh Thái	W_face_2024ÌÆÈý²Ê	30008239	1	2	Cloth8_8	50000	172
74	0	W_face_2024°µÒ¹.mesh	Mê Phß½ng	W_face_2024°µÒ¹	30008241	1	2	Cloth8_8	50000	173
75	0	W_face_2024¶«±±´ó»¨°À.mesh	Vui m×ng	W_face_2024¶«±±´ó»¨°À	30008242	1	2	Cloth8_8	50000	174
76	0	W_face_2024Ñ©õõ.mesh	Tß C¯	W_face_2024Ñ©õõ	30008243	1	2	Cloth8_8	50000	175
77	0	Å®Ö÷½ÇÁ³ÐÍ±ùÑ©2024Ê±×°.mesh	Ho£c Tâm	Å®Ö÷½ÇÁ³ÐÍ±ùÑ©2024Ê±×°	30008244	1	2	Cloth8_8	50000	176
78	0	W_face_2024±Ë°¶»¨.mesh	Sa Hoa	W_face_2024±Ë°¶»¨	30008246	1	2	Cloth8_8	50000	177
79	0	W_face_2024ÇàÉß.mesh	DÕ Lân	W_face_2024ÇàÉß	30008248	1	2	Cloth8_8	50000	178
80	0	W_face_2024ÒøÀÇ.mesh	Tình Chung	W_face_2024ÒøÀÇ	30008245	1	2	Cloth8_8	50000	179
81	0	W_face_2025Ð£·þ.mesh	Tu¤n Thái	W_face_2025Ð£·þ	30008249	1	2	Cloth8_8	50000	180
82	0	W_face_2025½ðê±ÓÀ¹Ì.mesh	Thanh Án	W_face_2025½ðê±ÓÀ¹Ì	30008250	1	2	Cloth8_8	50000	181
83	0	W_face_2025ÏÄÈÕÓ¾×°.mesh	Thanh Ðào	W_face_2025ÏÄÈÕÓ¾×°	30008251	1	2	Cloth8_8	50000	182
84	0	W_face_2025ÏÄÈÕÓ¾×°01.mesh	V÷ng Häi	W_face_2025ÏÄÈÕÓ¾×°01	30008252	1	2	Cloth8_8	50000	183
85	0	W_face_2025ÆßÏ¦ÄôÐ¡Ù».mesh	Túc Ngµ	W_face_2025ÆßÏ¦ÄôÐ¡Ù»	30008253	1	2	Cloth8_8	50000	184
86	0	W_face_2025ôËºÍ.mesh	Hàn Vân	W_face_2025ôËºÍ	30008254	1	2	Cloth8_8	50000	185
87	0	W_face_2025ôËºÍ01.mesh	Bång Ð°ng	W_face_2025ôËºÍ01	30008255	1	2	Cloth8_8	50000	186
88	0	W_face_2025´äÖñÓÆÓÆÖØÖÃ.mesh	Trúc Lµ	W_face_2025´äÖñÓÆÓÆÖØÖÃ	30008257	1	2	Cloth8_8	50000	187
89	0	W_face_2025¼ÎÄê»ªÔÆÁú½ø½×.mesh	Thanh Huy	W_face_2025¼ÎÄê»ªÔÆÁú½ø½×	30008256	1	2	Cloth8_8	50000	188
90	0	W_face_2025»³¾ÉÖÜÄêÇì.mesh	Hoa Niên	W_face_2025»³¾ÉÖÜÄêÇì	30008258	1	2	Cloth8_8	50000	189
91	0	W_face_2025ò¿ÓÈ.mesh	Thß½ng Lê	W_face_2025ò¿ÓÈ	30008261	1	2	Cloth8_8	50000	190
92	0	W_face_2025ò¿ÓÈ01.mesh	Ph¥n Dß½ng	W_face_2025ò¿ÓÈ01	30008262	1	2	Cloth8_8	50000	191
93	0	W_face_2025±±¼«ÐÜÍæÅ¼.mesh	U Tuyªt	W_face_2025±±¼«ÐÜÍæÅ¼	30008260	1	2	Cloth8_8	50000	192
100	1	ÄÐÖ÷½ÇÁ³01.mesh	Kiên cß¶ng	ÄÐÖ÷½ÇÁ³01	30008020	1	3	Cloth8_8	50000	1
101	1	ÄÐÖ÷½ÇÁ³02.mesh	Dûng cäm	ÄÐÖ÷½ÇÁ³02	30008020	1	3	Cloth8_8	50000	2
102	1	ÄÐÖ÷½ÇÁ³03.mesh	Quyªt ðoán	ÄÐÖ÷½ÇÁ³03	30008020	1	3	Cloth8_8	50000	3
103	1	ÄÐÖ÷½ÇÁ³04.mesh	Tñ tin	ÄÐÖ÷½ÇÁ³04	30008020	1	3	Cloth8_8	50000	4
104	1	ÄÐÖ÷½ÇÁ³05.mesh	U bu°n	ÄÐÖ÷½ÇÁ³05	30008020	1	3	Cloth8_8	50000	5
105	1	ÄÐÖ÷½ÇÁ³06.mesh	M¸ ho£c	ÄÐÖ÷½ÇÁ³06	30008035	1	2	Cloth8_8	50000	6
106	1	ÄÐÖ÷½ÇÁ³07.mesh	Vë m£t	ÄÐÖ÷½ÇÁ³07	30008036	1	2	Cloth8_8	50000	7
107	1	ÄÐÖ÷½ÇÁ³08.mesh	Tang thß½ng	ÄÐÖ÷½ÇÁ³08	30008040	1	2	Cloth8_8	50000	8
108	1	ÄÐÖ÷½ÇÁ³09.mesh	Mông lung	ÄÐÖ÷½ÇÁ³09	30008041	1	2	Cloth8_8	50000	9
109	1	ÄÐÖ÷½ÇÁ³10.mesh	Cu°ng dã	ÄÐÖ÷½ÇÁ³10	30008042	1	2	Cloth8_8	50000	10
110	1	ÄÐÖ÷½ÇÁ³11.mesh	Th¸ NgÕo	ÄÐÖ÷½ÇÁ³11	30008043	1	2	Cloth8_8	50000	11
111	1	ÄÐÖ÷½ÇÁ³14.mesh	Thâm thúy	ÄÐÖ÷½ÇÁ³14	30008068	1	2	Cloth8_8	50000	12
112	1	ÄÐÖ÷½ÇÁ³12.mesh	Linh Mi	ÄÐÖ÷½ÇÁ³12	30008095	1	2	Cloth8_8	50000	13
113	1	ÄÐÖ÷½ÇÁ³18.mesh	Thanh nhã	ÄÐÖ÷½ÇÁ³18	30008104	1	2	Cloth8_8	50000	14
114	1	ÄÐÖ÷½ÇÁ³100.mesh	Thi«u Dung	ÄÐÖ÷½ÇÁ³100	30008164	1	2	Cloth8_8	50000	15
115	1	ÄÐÖ÷½ÇÁ³ÐÍ´º¼¾×°.mesh	LÕc Anh	ÄÐÖ÷½ÇÁ³ÐÍ´º¼¾×°	30008180	1	2	Cloth8_8	50000	16
116	1	ÄÐÖ÷½ÇÁ³ÐÍÌìÏÂ»áÎäÊ±×°.mesh	Y Th¥n	ÄÐÖ÷½ÇÁ³ÐÍÌìÏÂ»áÎäÊ±×°	30008181	1	2	Cloth8_8	50000	17
117	1	ÄÐÖ÷½ÇÁ³ÐÍÇØ³¯¿ø¼×Ê±×°.mesh	T¥n Phong	ÄÐÖ÷½ÇÁ³ÐÍÇØ³¯¿ø¼×Ê±×°	30008182	1	2	Cloth8_8	50000	18
118	1	ÄÐÖ÷½ÇÁ³ÐÍÐíÏÉÊ±×°.mesh	Lßu luyªn	ÄÐÖ÷½ÇÁ³ÐÍÐíÏÉÊ±×°	30008183	1	2	Cloth8_8	50000	19
119	1	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇìÊ±×°.mesh	Träm Phong	ÄÐÖ÷½ÇÁ³ÐÍÖÜÄêÇìÊ±×°	30008184	1	2	Cloth8_8	50000	20
121	1	ÄÐÖ÷½ÇÁ³ÐÍ»Æº×Â¥Ê±×°.mesh	Phong th¥n	ÄÐÖ÷½ÇÁ³ÐÍ»Æº×Â¥Ê±×°	30008186	1	2	Cloth8_8	50000	22
122	1	ÄÐÖ÷½ÇÁ³ÐÍÊ¥µ®Ê±×°.mesh	Hân hoan	ÄÐÖ÷½ÇÁ³ÐÍÊ¥µ®Ê±×°	30008187	1	2	Cloth8_8	50000	23
123	1	ÄÐÖ÷½ÇÁ³ÐÍÐÂÇå·çâù½­.mesh	Màu lÕnh	ÄÐÖ÷½ÇÁ³ÐÍÐÂÇå·çâù½­	30008190	1	2	Cloth8_8	50000	24
124	1	ÄÐÖ÷½ÇÁ³ÐÍ´º½ÚÊ±×°.mesh	Hiªn Phß½ng	ÄÐÖ÷½ÇÁ³ÐÍ´º½ÚÊ±×°	30008191	1	2	Cloth8_8	50000	25
125	1	ÄÐÖ÷½ÇÁ³ÐÍÇéÈË½ÚÐÇ¿ÕÊ±×°.mesh	Giäo Nguy®t	ÄÐÖ÷½ÇÁ³ÐÍÇéÈË½ÚÐÇ¿ÕÊ±×°	30008192	1	2	Cloth8_8	50000	26
126	1	ÄÐÖ÷½ÇÁ³ÐÍ¿×È¸Ê±×°.mesh	V¤n Thi«n	ÄÐÖ÷½ÇÁ³ÐÍ¿×È¸Ê±×°	30008193	1	2	Cloth8_8	50000	27
127	1	ÄÐÖ÷½ÇÁ³ÐÍÑãÃÅ¹ØÊ±×°.mesh	B¤t khu¤t	ÄÐÖ÷½ÇÁ³ÐÍÑãÃÅ¹ØÊ±×°	30008194	1	2	Cloth8_8	50000	28
128	1	ÄÐÖ÷½ÇÁ³ÐÍÅ£ÀÉÊ±×°.mesh	Ngßng m¡t	ÄÐÖ÷½ÇÁ³ÐÍÅ£ÀÉÊ±×°	30008195	1	2	Cloth8_8	50000	29
129	1	ÄÐÖ÷½ÇÁ³ÐÍÀðÓãÌ××°.mesh	Phi Thành	ÄÐÖ÷½ÇÁ³ÐÍÀðÓãÌ××°	30008197	1	2	Cloth8_8	50000	30
130	1	ÄÐÖ÷½ÇÁ³ÐÍÐÇ¿ÕÕ½¼×Éý¼¶.mesh	Ngân hà	ÄÐÖ÷½ÇÁ³ÐÍÐÇ¿ÕÕ½¼×Éý¼¶	30008198	1	2	Cloth8_8	50000	31
131	1	ÄÐÖ÷½ÇÁ³ÐÍ¼ÎÄê»ªÊ±×°.mesh	Thu thüy	ÄÐÖ÷½ÇÁ³ÐÍ¼ÎÄê»ªÊ±×°	30008199	1	2	Cloth8_8	50000	32
132	1	ÄÐÖ÷½ÇÁ³ÐÍ°×É«Ê¥µ®Ê±×°.mesh	Trác Ng÷c	ÄÐÖ÷½ÇÁ³ÐÍ°×É«Ê¥µ®Ê±×°	30008200	1	2	Cloth8_8	50000	33
133	1	ÄÐÖ÷½ÇÁ³ÐÍ°×»¢Ê±×°.mesh	Møc Hoàng	ÄÐÖ÷½ÇÁ³ÐÍ°×»¢Ê±×°	30008201	1	2	Cloth8_8	50000	34
134	1	ÄÐÖ÷½ÇÁ³ÐÍ°×»éÉ´Ê±×°.mesh	Tinh Tình	ÄÐÖ÷½ÇÁ³ÐÍ°×»éÉ´Ê±×°	30008202	1	2	Cloth8_8	50000	35
135	1	ÄÐÖ÷½ÇÁ³ÐÍÐÂ·ÉÁú³ËÔÆÊ±×°.mesh	Vinh hoa	ÄÐÖ÷½ÇÁ³ÐÍÐÂ·ÉÁú³ËÔÆÊ±×°	30008203	1	2	Cloth8_8	50000	36
136	1	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈüÈýÌ××°.mesh	Phøc Ba	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈüÈýÌ××°	30008204	1	2	Cloth8_8	50000	37
137	1	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈü¶þÌ××°.mesh	Phi Tß¾ng	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈü¶þÌ××°	30008205	1	2	Cloth8_8	50000	38
138	1	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈüÒ»Ì××°.mesh	Chiêu Võ	ÄÐÖ÷½ÇÁ³ÐÍÕù°ÔÈüÒ»Ì××°	30008206	1	2	Cloth8_8	50000	39
139	1	ÄÐÖ÷½ÇÁ³ÐÍÈýÍÃ¹²¶ú´º½ÚÌ××°.mesh	M½ tß·ng	ÄÐÖ÷½ÇÁ³ÐÍÈýÍÃ¹²¶ú´º½ÚÌ××°	30008207	1	2	Cloth8_8	50000	40
140	1	ÄÐÖ÷½ÇÁ³ÐÍÐåÇòÌ××°.mesh	Hàn QuÏnh	ÄÐÖ÷½ÇÁ³ÐÍÐåÇòÌ××°	30008208	1	2	Cloth8_8	50000	41
141	1	M_face_2023xianlv.mesh	Tiên Duyên	M_face_2023xianlv	30008209	1	2	Cloth8_8	50000	42
142	1	ÄÐÖ÷½ÇÁ³ÐÍÇÙÊ¦Ê±×°.mesh	Huy«n Tß	ÄÐÖ÷½ÇÁ³ÐÍÇÙÊ¦Ê±×°	30008210	1	2	Cloth8_8	50000	43
143	1	M_face_2023duanyu.mesh	Ng÷c Lµ	M_face_2023duanyu	30008211	1	2	Cloth8_8	50000	44
144	1	ÄÐÖ÷½ÇÁ³ÐÍÏÄÈÕÇåÁ¹Ê±×°.mesh	Trong trëo nhßng lÕnh lùng	ÄÐÖ÷½ÇÁ³ÐÍÏÄÈÕÇåÁ¹Ê±×°	30008212	1	2	Cloth8_8	50000	45
145	1	ÄÐÖ÷½ÇÁ³ÐÍ½á»éÊ±×°¸ß¼¶.mesh	Ð°ng V§n	ÄÐÖ÷½ÇÁ³ÐÍ½á»éÊ±×°¸ß¼¶	30008213	1	2	Cloth8_8	50000	46
146	1	M_face_2023fengqiuhuang.mesh	Xuân Hoa	M_face_2023fengqiuhuang	30008214	1	2	Cloth8_8	50000	47
147	1	M_face_2023yangguo.mesh	G¥n nhau	M_face_2023yangguo	30008215	1	2	Cloth8_8	50000	48
148	1	ÄÐÖ÷½ÇÁ³ÐÍ°µºÚÓ«¹âÊ±×°.mesh	LÕnh gi÷ng	ÄÐÖ÷½ÇÁ³ÐÍ°µºÚÓ«¹âÊ±×°	30008216	1	2	Cloth8_8	50000	49
149	1	M_face_2023guojing.mesh	Vãng Mµng	M_face_2023guojing	30008217	1	2	Cloth8_8	50000	50
