INT	INT	STRING	STRING	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1009	1002	Vân Nhung Xäo NÕp	Khiên Vân Lµng Xäo, trß¾c m¡t ng÷c ð©p.	102	6	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 20Ki®n khác nhau loÕi hình Ðích trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1010	1002	Tinh ÐoÕn c¦m tú	C¦m y hoa phøc, ánh sáng ng÷c Nhß Tinh.	102	7	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 25Ki®n trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1011	1002	Nguy®t Hoàn Hoa T¯	Nguy®t Tiên ChÑc Tñu, vû ðµng Thanh Thu.	102	8	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 25Ki®n khác nhau loÕi hình Ðích trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1012	1002	Kim Lû lßu quang	Kim Lû nghê thß¶ng, quang hoa châu lßu.	102	9	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 30Ki®n trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1013	1002	Tiên Du® Ng÷c C¥u	Tiên Y thiên thành, Linh Ng÷c Nhu§n Nhu.	102	10	-1	Tü qu¥n áo h® th¯ng	Træ Y Gian có ðßþc 30Ki®n khác nhau loÕi hình Ðích trang phøc m¯t m¾i có th¬ nh§n ðßþc ThØ danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1014	1003	Thiên Long Huynh Ð® Ðoàn	Nhçm Ði¬m Ðích Hi®p Ý ph¥n món ån Dî T¯ng ÐÕt.	103	1	720	Mî Ðoàn Liên Ðµng hoÕt ðµng	Tham gia Tân Thiên Long Bát Bµ ×Mî Ðoàn Liên Ðµng hoÕt ðµng nh§n ðßþc Ðích Chuyên Thuµc XÑng Hào.	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1015	1004	Thiên Long tài tØ·di®u thü Ðan Thanh	T§n tình ThuÖ M£c Tñ kÏ tuy®t, v¨ r°ng ði¬m m¡t th¥n v§n Sinh.	104	1	2160	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi v¨ bän ð°, v¨ bän ð° phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi v¨ bän ð°, v¨ bän ð° phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1016	1004	Thiên Long tài tØ·c¦m tú th½ vån hoa mÛ	Thß Kiªm giang h° Nh§m r½i, Bút Täo Thiên Quân Ð¸nh Càn Khôn.	105	1	2160	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi vån vë, bài viªt phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi vån vë, bài viªt phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1017	1004	Thiên Long tài tØ·quang änh nghê thß¶ng	T× xßa phong lßu ða tài Tính, quang änh Lßu Biªn Giám Thiên Long.	106	1	2160	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi t¥n s¯ nhìn, âm nhÕc phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	Thß·ng cho C¤p trß¶ng kÏ làm quan Phß½ng Vi Tín, Vi Bác ðóng góp, TÕi t¥n s¯ nhìn, âm nhÕc phß½ng di®n Hæu xông ra c¯ng hiªn Ðích tài ngh® ngß¶i ch½i.	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1018	1005	Giang h° Bách Hi¬u Sanh	Vi Tân Thiên Long Bát Bµ phóng viên TrÕm sinh ðµng Ti¬u phóng viên ð£c bi®t chu¦n b¸.	107	1	720	Ti¬u phóng viên Chuyên Thuµc L­ Bao Chuyên Thuµc HÕn Th¶i danh hi®u	Tr· thành Tân Thiên Long Bát Bµ phóng viên TrÕm sinh ðµng Ti¬u phóng viên thu hoÕch Ð¡c Ðích Chuyên Thuµc XÑng Hào.	1	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1019	1006	Nhß hoa nhß ng÷c	Xinh ð©p nhß hoa, Phu Tñ Mî Ng÷c, thiên sinh l® ch¤t TrÕi Bª Nguy®t, tao nhã Thång Tr¥m Ngß.	108	1	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1020	0	-1
1020	1006	Khí vû b¤t phàm	Tß¾ng mÕo, khí ðµ phi phàm Tøc có khä nång C§p, S· Ðáo ch² ð«u b¸ ca ngþi, khích l® không ng×ng bên tai.	109	1	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1019	1	-1
1021	1007	Qu¯c s¡c thiên hß½ng	Phiên Nhßþc Kinh H°ng, Uy¬n Nhßþc Du Long, Vinh Di®u Thu Cúc, Hoa M§u Xuân Tùng, th§t là qu¯c s¡c thiên hß½ng.	110	2	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1022	0	-1
1022	1007	Phong lßu phóng khoáng	Hæu m¾i h÷c Nhi không câu n® l­ pháp, chï dña vào m²i tiªng nói cØ ðµng, có th¬ Linh ph¥n ðông giang h° hi®p næ lâm vào tâm ðµng.	111	2	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1021	1	-1
1023	1008	Khuynh Qu¯c Khuynh Thành	Phß½ng b¡c Hæu giai nhân, tuy®t thª Nhi ðµc l§p, Nh¤t C¯ Khuynh Nhân Thành, Tái C¯ Khuynh Nhân Qu¯c Ninh không biªt Khuynh Thành Dß Khuynh Qu¯c, giai nhân Nan Tái Ð¡c.	112	3	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1024	0	-1
1024	1008	Ng÷c thø lâm phong	T× nhö khí ch¤t siêu phàm, bµ dÕng TrÕi Quá Phan An, Ðµng Nhß sét ðánh tia ch¾p, T¸nh Nhß ng÷c thø chï có, dçn t¾i vô s¯ næ hi®p lâm vào khuynh ðäo.	113	3	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1023	1	-1
1025	1009	Tuy®t thª giai nhân	Tuy®t thª tao nhã, Di®u Dung Tiên Tß. Khuynh Thª giai nhân, gi¯ng nhß HoÕ Trung Vân Tiên.	132	4	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1026	0	-1
1026	1009	Long Chß½ng Phøng Tß	Long Chß½ng Phøng Thái, Ki Ch¤t thiên nhiên. Tr¸ch Quä Phan Lang, Hñu Kiêm Kinh Tài Phong D§t.	133	4	-1	2021Niên tình nhân danh hi®u	Tình nhân Tiªt hoÕt ðµng Chuyên Thuµc XÑng Hào.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	1025	1	-1
1027	1010	Cu°ng dÕi không quên·Tuý tình ð¶i Thánh	Hoa Änh lay ðµng Ði®p lßu luyªn, hàng vÕn hàng nghìn süng ái T§p mµt thân.	189	1	-1	2021Niên tình nhân danh hi®u	Hàng vÕn hàng nghìn süng ái T¯ng Hoa Bäng thÑ nh¤t Danh.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1028	1010	Cänh xuân tß½i ð©p Kh·i Mµng·hoa h°ng tình nhân	Hoa Änh lay ðµng Ði®p lßu luyªn, hàng vÕn hàng nghìn süng ái T§p mµt thân.	190	1	-1	2021Niên tình nhân danh hi®u	Hàng vÕn hàng nghìn süng ái Thu Hoa Bäng thÑ nh¤t Danh.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1029	1011	†n ngæ Giä	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi ngß¶i phóng khoáng lÕc quan Ðích tßþng trßng.	134	1	-1	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 3ThÑ lînh Ðích danh hi®u.	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 3ThÑ lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1030	1011	Hài †n Ðiêu Long	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi chuyên gia Ðích tßþng trßng.	134	2	-1	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 6ThÑ lînh Ðích danh hi®u.	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 6ThÑ lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1031	1011	Vô Vån †n Mê Tung	Hoa ðång ¦n ngæ hoÕt ðµng Trung tìm ra l¶i giäi siêu nhân Ðích tßþng trßng.	134	3	-1	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 9ThÑ lînh Ðích danh hi®u.	Hoa ðång ¦n ngæ hoÕt ðµng Trung, luy kª hoàn thành nhi®m vø 9ThÑ lînh Ðích danh hi®u.	0	106	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1032	1012	Anh hùng ðÕi hµi·cái thª hào hi®p	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ð² trÕng nguyên.	135	4	2160	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ð² trÕng nguyên, ðoÕt ðßþc thÑ nh¤t Danh.	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ðoÕt ðßþc Ð® 1Danh.	1	106	9	1	0	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1033	1012	Anh hùng ðÕi hµi·ðß½ng th¶i Danh Hi®p	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa.	135	3	2160	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa, ðoÕt ðßþc Ð® 2-3Danh.	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ðoÕt ðßþc Ð® 2-3Danh.	1	106	8	1	0	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1034	1013	Hãm Tr§n Doanh	Träm Ð¸ch ÐoÕt Tr§n, dûng cäm tiªn t¾i Ðích quân t¯t, chiªn trß¶ng Trung Ðích chü lñc.	136	1	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 500Ði¬m lînh.	0	106	3	1	0	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1035	1013	KÜ binh dûng mãnh Quân	Ngàn d§m Thi«n KÜ, ð¤u tranh anh dûng Ðích Dûng Giä, chiªn trß¶ng Trung Ðích tinh anh.	136	2	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 2000Ði¬m lînh.	0	106	3	1	0	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1036	1013	Tung hoành Sî	Tung hoành ngàn d§m, công huân l¾n lao Ðích tß¾ng lãnh, chiªn trß¶ng Trung Ðích anh tài.	136	3	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 5000Ði¬m lînh.	0	106	4	1	0	440	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1037	1013	Bách Thång Tß¾ng	Bách chiªn bách th¡ng, Phá Ð¸ch Thiên Quân Ðích ðÕi tß¾ng, chiªn trß¶ng Trung Ðích trung tâm.	136	4	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 20000Ði¬m lînh.	0	106	4	1	0	600	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1038	1013	Lînh quân Chi Soái	Tung Lãnh Thiên Quân, Khí Cái núi sông Ðích Nguyên soái, chiªn trß¶ng Trung Ðích vß½ng giä.	136	5	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 50000Ði¬m lînh.	0	106	4	1	0	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1039	1013	Nhân tài ki®t xu¤t	Ðánh ðâu th¡ng ðó; Không gì cän n±i, NgÕo Thª vô song Ðích Qu¯c Sî, chiªn trß¶ng Trung Ðích Chúa T¬.	136	6	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 100000Ði¬m lînh.	0	106	5	1	0	1300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1040	1013	Thiên hÕ n²i nh¾ nhà	Qu¥n hùng kính ngßÞng, thiên hÕ n²i nh¾ nhà Ðích ðª vß½ng, chiªn trß¶ng Trung Ðích truy«n thuyªt.	136	7	-1	Binh Hành TÑ Tßþng Chuyên Thuµc XÑng Hào	L¸ch sØ TÑ Tßþng vinh dñ ðÕt t¾i 200000Ði¬m lînh.	0	106	5	1	0	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1041	1012	Anh hùng ðÕi hµi·tÑ häi anh ki®t	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa.	135	2	2160	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa, ðoÕt ðßþc 4-10Danh.	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ðoÕt ðßþc 4-10Danh.	1	106	7	1	0	1000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1042	1012	Anh hùng ðÕi hµi·Nh¤t Phß½ng tiêu dao	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa.	135	1	2160	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung thành tích vån hoa, ðoÕt ðßþc 11-20Danh.	Anh hùng ðÕi hµi b¥u b¢ng phiªu Trung ðoÕt ðßþc 11-20Danh.	1	106	6	1	0	500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
1043	1014	Mµt ð¶i Hæu Nhî	2021Niên hoài cñu ngß¶i ch½i g£p m£t Hµi Chuyên Thuµc XÑng Hào	137	1	-1	2021Niên hoài cñu ngß¶i ch½i g£p m£t Hµi Chuyên Thuµc XÑng Hào	SØ døng ngß¶i ch½i Các\u0020hÕ Thü L­ L­ Bao H§u Khä nh§n ðßþc.	0	106	84	1	0	3000	6	30	9	30	12	30	15	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	-1	-1	-1
