INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10400046	1	4	0	46	0	453	2	-1	-1	Kim Toán Xuyên Vân	100	"Toàn Trß¶ng ba thß¾c Ngû Th¯n, cä v§t th¬ Kh¡c Hæu phong cách c± xßa hoa vån, nhß r°ng Lân, Xuy Mao ÐoÕn Phát, Ph± T¸nh tång ni B¸ ThØ Phü, tÑ häi DÕo Ch½i Tr× Phän Ð°. "	16000	64000	237	3	3	-1	-1	Broadsword3_12	Ðao Búa	1009	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400050	1	4	0	50	0	72	2	-1	-1	Nhi®m Vø Trang 1	10	Nhi®m vø Trang Hoà TØ Trang 1	180	720	125	3	3	-1	-1	Broadsword4_10	Ðao Búa	1010	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400051	1	4	0	51	0	420	2	-1	-1	Thßþng Huy«n	20	Thßþng Huy«n tái hi®n phong vân Kh·i, t¤t cä Tr¥n Duyên Giai Hoá Th±.	540	2160	137	3	3	-1	-1	Broadsword1_9	Ðao Búa	1011	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400052	1	4	0	52	0	77	2	-1	-1	Nhi®m Vø Trang 3	30	Nhi®m vø Trang Hoà TØ Trang 3	1150	4600	150	3	3	-1	-1	Broadsword4_10	Ðao Búa	1012	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400053	1	4	0	53	0	426	2	-1	-1	Ph¥n Nh§t	40	DÕ ThoÕi Ngô Vß½ng Thiên Quân Luy®n, kiêu hùng dß¾i ðèn Khan PhÕn Nh§t.	1780	7120	162	3	3	-1	-1	Broadsword2_1	Ðao Búa	1013	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	2	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400054	1	4	0	54	0	119	2	-1	-1	Nhi®m Vø Trang 5	50	Nhi®m vø Trang Hoà TØ Trang 5	2700	10800	175	3	3	-1	-1	Broadsword4_10	Ðao Búa	1014	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	2	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400055	1	4	0	55	0	85	2	-1	-1	Nhi®m Vø Trang 6	60	Nhi®m vø Trang Hoà TØ Trang 6	3850	15400	187	3	3	-1	-1	Broadsword4_10	Ðao Búa	1015	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	2	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400056	1	4	0	56	0	61	2	-1	-1	Nhi®m Vø Trang 7	70	Nhi®m vø Trang Hoà TØ Trang 7	5570	22280	200	3	3	-1	-1	Broadsword4_10	Ðao Búa	1016	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	3	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400057	1	4	0	57	0	104	2	-1	-1	Nhi®m Vø Trang 8	80	Nhi®m vø Trang Hoà TØ Trang 8	7450	29800	212	3	3	-1	-1	Broadsword4_10	Ðao Búa	1017	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	3	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400058	1	4	0	58	0	120	2	-1	-1	Nhi®m Vø Trang 9	90	Nhi®m vø Trang Hoà TØ Trang 9	9950	39800	225	3	3	-1	-1	Broadsword4_10	Ðao Búa	1018	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	4	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400059	1	4	0	59	0	115	2	-1	-1	Nhi®m Vø Trang 10	100	Nhi®m vø Trang Hoà TØ Trang 10	16000	64000	237	3	3	-1	-1	Broadsword4_10	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	4	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400060	1	4	0	60	0	411	3	-1	-1	Hiên Môn V® SÛ ÐÕi Ðao	1	Viên môn v® sî sØ døng Ðích bình thß¶ng ðÕi ðao, thþ khéo thô ráp	1000	1000	125	3	3	-1	-1	Broadsword1_2	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400061	1	4	0	61	0	415	3	-1	-1	Kim B¯i Khäm S½n Ðao	13	Khäm S½n Ðao, Hæu màu vàng hoa vån trang sÑc s¯ng dao, vì v§y ðßþc g÷i là.	1000	1000	137	3	3	-1	-1	Broadsword1_8	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	9	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400062	1	4	0	62	0	423	3	-1	-1	Tung Dß½ng NhÕn Linh Ðao	18	Tung Dß½ng sän xu¤t Ðích NhÕn Linh Ðao, lßÞi dao s¡c bén, sát khí Ti®m Hi®n.	1000	1000	137	3	3	-1	-1	Broadsword1_13	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400063	1	4	0	63	0	418	3	-1	-1	Khoái TØ Thü	30	Ð£c chª Ðích ðÕi ðao, không biªt cái gì ch¤t li®u g².	1000	1000	162	3	3	-1	-1	Broadsword1_12	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	132	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400064	1	4	0	64	0	428	3	-1	-1	Lang Nhân ÐoÕt Lß½ng Ðao	40	Lang nhân chuyên døng ÐoÕt Lß½ng Ðích binh khí, Bính trß¶ng ðao ÐÕi, Khä quét ngang Thiên Quân.	1000	1000	175	3	3	-1	-1	Broadsword1_15	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	162	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400065	1	4	0	65	0	421	3	-1	-1	Viên Nguy®t Loan Ðao	55	Trång tròn Thôn Ðích ðúc Sß S· Chú Ðích loan ðao, giªt ngß¶i Vu vô hình.	1000	1000	187	3	3	-1	-1	Broadsword2_2	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	3	-1	-1	-1	-1	-1	-1	-1	192	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400066	1	4	0	66	0	436	3	-1	-1	Tung Lâm L¸ch S½n Phü	67	Tung Lâm L¸ch S½n Phü	1000	1000	200	3	3	-1	-1	Broadsword2_8	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	222	-1	74	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400067	1	4	0	67	0	435	3	-1	-1	Khoái Ý Ðao	72	Khoái Ý Ðao	1000	1000	212	3	3	-1	-1	Broadsword2_16	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	23	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400068	1	4	0	68	0	441	3	-1	-1	Tính Chª Huy«n Thiªt ÐÕi Ðao ÐÕi Dao	78	Tính Chª Huy«n Thiªt ÐÕi Ðao ÐÕi Dao	1000	1000	212	3	3	-1	-1	Broadsword3_4	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	252	-1	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400069	1	4	0	69	0	454	3	-1	-1	Phøc Thù Nhçn	82	Báo thù Giä Chi Nhçn	1000	1000	225	3	3	-1	-1	Broadsword3_11	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400070	1	4	0	70	0	448	3	-1	-1	CØu Phøng Tri«u Dß½ng Ðao	87	CØu Phøng Tri«u Dß½ng Ðao	1000	1000	225	3	3	-1	-1	Broadsword3_8	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	282	-1	94	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400071	1	4	0	71	0	438	3	-1	-1	Bát Quái Kim Toán Khi S½n Vi®n	94	Bát Quái Kim Toán Khi S½n Vi®n	1000	1000	237	3	3	-1	-1	Broadsword2_14	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	452	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10400072	1	4	0	72	0	451	3	-1	-1	Tr¥m Thüy Long Tß¾c Ðao	98	Tr¥m Thüy Long Tß¾c Ðao	1000	1000	237	3	3	-1	-1	Broadsword3_13	Ðao Búa	1019	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10400073	1	4	0	73	0	453	3	-1	-1	Chiªn Th¥n	98	Chiªn Th¥n	1000	1000	237	3	3	-1	-1	Broadsword3_12	Ðao Búa	1019	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	312	-1	104	-1	-1	-1	-1	-1	-1	-1	-1	-1	2003	0
10401001	1	4	1	1	0	367	1	-1	-1	Tß¾c Thi®t ÐÕi Thß½ng	10	Cä v§t th¬ Trß¶ng Th¤t Thß¾c Nh¸ Th¯n, Thô Yêu Tam Th¯n Dß, Tinh Cß½ng Chª Thành.	180	720	125	3	3	-1	-1	Spear1_3	Thß½ng B±ng	1020	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401006	1	4	1	6	0	372	1	-1	-1	Trúc Tiªt ÐÕi Thß½ng	20	Thß½ng Thân ngân bÕch, mûi thß½ng Cñc Tª, nh© linh hoÕt, vô hình trung Thü nhân tính M®nh, t¯c ðµ Nhß tia ch¾p.	540	2160	137	3	3	-1	-1	Spear1_8	Thß½ng B±ng	1021	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401011	1	4	1	11	0	375	1	-1	-1	T¯ Các HÕ ÐÕi Thß½ng	30	Mµt cây ð¥y ðü ð°ng thiªt S· Chª, h°n nhiên thiên thành, khí phách tri¬n lµ không bö sót.	1150	4600	150	3	3	-1	-1	Spear1_11	Thß½ng B±ng	1022	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
10401016	1	4	1	16	0	380	1	-1	-1	Løc Hþp ÐÕi Thß½ng	40	Thß½ng Trß¶ng ba thß¾c CØu Th¯n, ð¥u thß½ng Vi Tinh Cß½ng S· Chú, ánh sáng, Ðái Huyªt Tào, ðâm vào ð¸ch nhân thân th¬ H§u Khä l¤y máu, tàn bÕo.	1780	7120	162	3	3	-1	-1	Spear1_16	Thß½ng B±ng	1023	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	2001	0
