INT	INT	INT	STRING	STRING
10	4	4	Kính K°	#Pğ?i chiªn ba tråm hi®p lúc sau, #{_BOSS14}#Pnhäy ra ngoài vòng tròn, hô to mµt tiªng: '#W&U#P! Cüa ngß½i Hoä Kháng th§t là lşi hÕi, M² Gia không phäi ğ¯i thü, này#W&I#Ps¨ ğßa cho ngß½i Li­u! '
11	5	4	Ğánh Lén Môn Phái	#W&U#PDß#{_BOSS27}#Phüy ği C§n Bách hi®p r¯t cøc th¡ng lşi, Chß·ng Môn Nhân m×ng rŞ, Tß¾ng#W&I#PT£ng Chi làm nhß trä thù lao.
12	5	4	Ğánh Lén Môn Phái	#{_BOSS27}#PT?i Tiªp Li­u#W&U#Pmµt chß·ng H§u hµc máu mà ği, Khß¾c D¸ r½i xu¯ng mµt cái#W&I#Ptrên m£t ğ¤t.
13	5	4	Ğánh Lén Môn Phái	#{_BOSS27}#PkHông ğ¸ch lÕi#W&U#Pxoay ngß¶i mu¯n chÕy tr¯n, #W&U#Pkéo l¤y Tha Ğích qu¥n áo, qu¥n áo lên tiªng trä l¶i Nhi Li®t, mµt cái#W&I#Pd×ng · Li­u trên m£t ğ¤t.
14	6	4	Thánh Thú S½n hoÕt ğµng Ti¬u Quái	#PT?i mßa sa gió gi§t Ğích#GThánh Thú S½n Trung#P, #W&U#Pbay lên mµt cß¾c, Tß¾ng Nh¤t Chích BÕo T¦u Dã Trß Thích Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích tràn ra Ğích Hài bên trong phát hi®n Li­u mµt quy¬n#W&I#P!
15	6	4	Thánh Thú S½n hoÕt ğµng Ti¬u Quái	#PT?i Hoàng Sa MÕn Thiên Ğích#GThánh Thú S½n Trung#P, #W&U#Pbay lên mµt quy«n, Tß¾ng Nh¤t Chích BÕo T¦u Dã Trß Luân Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích vŞ ra Ğích cái bao tay Lı phát hi®n Li­u mµt quy¬n#W&I#P!
16	6	4	Thánh Thú S½n hoÕt ğµng Ti¬u Quái	#PT?i ğÕi tuyªt bay tán loÕn Ğích#GThánh Thú S½n Trung#PTrung, #W&U#Pbay lên Nh¤t B±ng, Tß¾ng Nh¤t Chích BÕo T¦u Dã Trß Bång Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích gäy Ğích cây g§y Lı phát hi®n Li­u mµt quy¬n#W&I#P!
17	7	4	Dã Trß BÕo T¦u Ti¬u Quái	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên mµt cß¾c, Tß¾ng Nh¤t Chích Tiêm Nha Dã Trß Thích Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích tràn ra Ğích Hài bên trong phát hi®n Li­u mµt quy¬n#W&I#P!
18	7	4	Dã Trß BÕo T¦u Ti¬u Quái	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên mµt quy«n, Tß¾ng Nh¤t Chích Tiêm Nha Dã Trß Luân Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích vŞ ra Ğích cái bao tay Lı phát hi®n Li­u mµt quy¬n#W&I#P!
19	7	4	Dã Trß BÕo T¦u Ti¬u Quái	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên Nh¤t B±ng, Tß¾ng Nh¤t Chích Tiêm Nha Dã Trß Bång Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích gäy Ğích cây g§y Lı phát hi®n Li­u mµt quy¬n#W&I#P!
20	8	4	Dã Trß BÕo T¦u lão bän	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên mµt cß¾c, Tß¾ng Nh¤t Chích#{_BOSS20}Thích Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích tràn ra Ğích Hài bên trong phát hi®n Li­u mµt quy¬n#W&I#P!
21	8	4	Dã Trß BÕo T¦u lão bän	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên mµt quy«n, Tß¾ng Nh¤t Chích#{_BOSS20}Luân Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích vŞ ra Ğích cái bao tay Lı phát hi®n Li­u mµt quy¬n#W&I#P!
22	8	4	Dã Trß BÕo T¦u lão bän	#GDÃ Trß Nông Trß¶ng Trung#P, #W&U#Pbay lên Nh¤t B±ng, Tß¾ng Nh¤t Chích#{_BOSS20}Bång Thßşng giæa không trung. Kªt quä ngoài ı mu¯n Ğích TÕi chính mình Ğích gäy Ğích cây g§y Lı phát hi®n Li­u mµt quy¬n#W&I#P!
23	9	4	Huy«n Võ Ğäo r½i xu¯ng	#W&U#Phôm nay Chàng ĞÕi V§n, TÕi#G&S#Ptùy ti®n giªt chªt Nh¤t chï ğ± th×a phäi Ğáo mµt quy¬n#W&I#P, tH§t sñ là Ti­n Sát ngß¶i bên ngoài.
24	9	4	Huy«n Võ Ğäo r½i xu¯ng	#W&U#Ptung hoành#G&S#PTh§p Dß Thiên, hôm nay r¯t cøc nh§n ğßşc mµt quy¬n#W&I#P, kHông khöi ngØa m£t lên tr¶i thét dài.
25	9	4	Huy«n Võ Ğäo r½i xu¯ng	#W&U#PTÕi#G&S#Pxem xét Trân Thú, thª nhßng Nhßşng Tha tìm ğßşc mµt quy¬n#W&I#P.
26	10	4	Yªn Vß½ng c± mµ trang phøc m¯t bän v¨ r½i xu¯ng	#PT?i cänh t¯i lØa t¡t ğèn Ğích Yªn Vß½ng c± mµ Trung, #W&U#Pkhông c¦n th§n quång ngã cái r¡m Ğôn Nhi, kªt quä ngoài ı mu¯n Ğích phát hi®n chính mình Cánh ng°i · Li­u hé ra#W&I#PThßşng.
27	10	4	Yªn Vß½ng c± mµ trang phøc m¯t bän v¨ r½i xu¯ng	#W&U#PTÕi Yªn Vß½ng c± mµ Trung anh dûng d¸ thß¶ng, Chúng ti¬u yêu d÷c theo ğß¶ng ği B¸ có nghe tin ğã sş m¤t m§t, cu¯i cùng Cánh dâng lên Li­u hé ra#W&I#PLai xin khoan dung c¥u hòa.
28	10	4	Yªn Vß½ng c± mµ trang phøc m¯t bän v¨ r½i xu¯ng	#W&U#Pğánh b§y ğánh bÕ Ğích xông vào Li­u Yªn Vß½ng c± mµ · ch² sâu trong, ğµt nhiên nghênh di®n cu°ng phong gào thét, hé ra#W&I#Ptheo gió Quát Lai, H° · tÕi#W&U#PĞích khuôn m£t nhö nh¡n Thßşng.
29	11	4	Nga Mi BOSSQu¥n	#{_BOSS9}#PĞÍch quân ğµi TÕi Vû Di l÷t vào b¸ thß½ng n£ng, quân lính tan rã! Th¡ng lşi Ğích anh hùng#W&U#PThung trên m£t ğ¤t nh£t lên mµt cái#W&I#P, D¿ Ğµi Hæu Môn nhìn nhau cß¶i to.
30	12	4	Thäo Nguyên BOSSQu¥n	#W&U#Pğem ngß¶i TÕi Thäo Nguyên tung hoành ngang d÷c, v×a m¾i d©p yên#{_BOSS11}#Psào huy®t. Cu¯i cùng TÕi bäo kh¯ bên trong phát hi®n Li­u mµt cái#W&I#P!
31	13	4	Kim cß½ng BOSSQu¥n	#{_BOSS7}#PĞÍch quân ğµi TÕi Thß½ng S½n l÷t vào ğánh b¤t ng¶, quân lính tan rã! Th¡ng lşi Ğích anh hùng#W&U#PThung trên m£t ğ¤t nh£t lên mµt cái#W&I#P, D¿ Ğµi Hæu Môn nhìn nhau cß¶i to.
32	14	4	Chu Cáp BOSSQu¥n	#{_BOSS5}#PĞÍch ğÕi quân TÕi Huy«n Võ Ğäo B¸#W&U#Pch£n ğÑng mµt chút hành hung, ném Li­u chính là#W&I#P· bên trong Ğích r¤t nhi«u bäo v§t, b¯n phía bôn ğào!
33	15	4	Huy«n Võ Ğäo Phi Thiên Miêu	#{_BOSS3}#Pg?p ğßşc t¾i cØa lãnh giáo ngß¶i, nh¤t th¶i ğ¥u óc không t¯t, nghî l¥m ğ¯i phß½ng là t¾i H÷c T§p tri thÑc Ğích, vì thª Bä mµt quy¬n#W&I#Pğßa cho Li­u#W&U#P.
34	15	4	Huy«n Võ Ğäo Phi Thiên Miêu	#{_BOSS3}#Pg?p ğßşc t¾i cØa khiêu chiªn ngß¶i, nh¤t th¶i ğ¥u óc không t¯t, nghî l¥m Ğâu Lı Trang chính là nh¤t ki®n ám khí, kªt quä Bä mµt quy¬n#W&I#Pném t¾i#W&U#PĞích trên m£t.
35	15	4	Huy«n Võ Ğäo Phi Thiên Miêu	#{_BOSS3}#Pg?p ğßşc t¾i cØa Thích Quán Ğích ngß¶i, nh¤t th¶i ğ¥u óc không t¯t, nghî l¥m ğ¯i phß½ng Hæu quy thu§n ı, vì thª xu¤t ra mµt quy¬n#W&I#PLai thu mua#W&U#P.
36	16	4	Yªn TØ ‘ Ğoàn Duyên Khánh r½i xu¯ng	#W&U#PDß#{_BOSS2}#Pgi¢ng co sau mµt lúc lâu, ğµt nhiên nói: 'ngß½i dám cùng ta Tï Cao Âm Ma? '#{_BOSS2}tr¥m ngâm mµt phen, x¤u h± mà ği, D¸ kª tiªp#W&I#P.
37	16	4	Yªn TØ ‘ Ğoàn Duyên Khánh r½i xu¯ng	#W&U#PDß#{_BOSS2}#Pmµt phen Kích Ğ¦u Th¶i, ği ngang qua mµt v¸ tóc dài r¯i tung Ğích áo tr¡ng næ tØ, #{_BOSS2}b²ng nhiên hai m¡t ğåm ğåm, B¸ th×a c½ mµt cß¾c Xuy­n Phiên trên m£t ğ¤t, bö lÕi mµt cái#W&I#PchÕy tr¯i chªt.
38	17	4	Yªn TØ ‘ Cßu Ma Trí r½i xu¯ng	#W&U#PTß¾ng#{_BOSS1}#Phành hung mµt chút lúc sau, mang theo Tha Ğích áo höi: 'Nhî Khiªm cüa ta Ğ± Trái khi nào thì Hoàn. '#{_BOSS1}Träo Biªn toàn thân, Chích tìm ra mµt cái#W&I#P, lÀm nhß lşi tÑc.
39	17	4	Yªn TØ ‘ Cßu Ma Trí r½i xu¯ng	#W&U#PDß Ğµi Hæu Tß¾ng#{_BOSS1}#P? ngã xu¯ng ğ¤t, Cu°ng Náo gan bàn chân, #{_BOSS1}cß¶i ğªn không th¬ nh¸n ğßşc næa, Mang giao ra#W&I#PchÕy tr¯n mà ği.
40	18	4	Yªn TØ ‘ Mµ Dung Phøc r½i xu¯ng	#W&U#PDß#{_BOSS0}#Pmµt phen Kích Ğ¦u, b²ng nhiên kêu to: 'các huynh ğ® mau ra ğây h² trş A……'#{_BOSS0}nghe v§y L§p Ğµn, b¯i r¯i sa sút kª tiªp#W&I#P.
41	18	4	Yªn TØ ‘ Mµ Dung Phøc r½i xu¯ng	#W&U#Pgi½ lên cao bäo kiªm, dûng mãnh phi thß¶ng vô cùng, Tß¾ng#{_BOSS0}#Pğánh cho chÕy tr¯i chªt, thu§n tay Hoàn mò mµt cái#W&I#P.
42	19	4	Liên hoàn bän sao Th¥n Tài r½i xu¯ng	#W&U#PĞà Kh·i#{_BOSS47}#PĞích thi th¬ mu¯n Ban Vãng n½i khác, Cánh Thung thi th¬ HÕ phát hi®n mµt cái#W&I#P.
43	19	4	Liên hoàn bän sao Th¥n Tài r½i xu¯ng	#{_BOSS47}#Pt¹ biªt không phäi#W&U#PĞích ğ¯i thü, xu¤t ra mµt cái#W&I#PquÏ xu¯ng ğ¤t c¥u xin tha thÑ.
44	20	4	Bäo Tàng Ğµng Th¥n Tài r½i xu¯ng	#W&U#PTÕi#G&S#PDî mµt cái'Oa Tâm Cß¾c'ğá trúng#{_BOSS23}#PChân Bµ, ĞÕi HoÕch toàn th¡ng, chiªm ğßşc nh¤t ki®n#W&I#P.
45	21	4	Cái Bang T±ng Ğà Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS50}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
46	22	4	Nga Mi S½n Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS51}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
47	23	4	Quang Minh Ği®n Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS52}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
48	24	4	Thiªu Lâm Tñ Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS53}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
49	25	4	Tinh Tú Häi Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS54}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
50	26	4	Linh ThÑu Phong Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS55}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
51	27	4	Núi Võ Ğang Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS56}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
52	28	4	Lång Ba Ğµng Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS57}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
53	29	4	Thiên Long Tñ Th¥n Tài r½i xu¯ng	#G&S#P, #{_BOSS58}#Pm¡t th¤y không ğ¸ch lÕi#W&U#P, l¤y ra mµt cái#W&I#Pmu¯n ngån cän mµt chút, lÕi b¸#W&U#Pthân thü ĞoÕt Quá.
54	30	4	Trß¶ng cänh BossTh¥n Tài r½i xu¯ng	#G&S#P, ğ?i chiªn ba tråm hi®p lúc sau#{_BOSS14}#Pdçn d¡t Ğích ác nhân du kích phân ğµi nhö nhäy ra ngoài vòng tròn, hô l¾n: '#W&U#P! Cüa ngß½i Hoä Kháng th§t là lşi hÕi, M² Gia không phäi ğ¯i thü, này#W&I#Ps¨ ğßa cho ngß½i Li­u! '
55	31	4	Bang phái hi®u su¤t bän sao Th¥n Tài r½i xu¯ng	#W&U#PTÕi tiêu di®t#{_BOSS43}#PNh¤t D¸ch Trung ĞÕi HoÕch toàn th¡ng, Hoàn ngoài ı mu¯n Ğích nh§n ğßşc Li­u mµt cái#W&I#P.
56	32	4	Loát Phän r½i xu¯ng	#W&U#PTÕi vây b¡t#{_BOSS29}#PTh¶i, ğµt nhiên#{_BOSS29}#PquÏ rÕp xu¯ng ğ¤t, 'anh hùng! Nhî Nhßşc tha ta b¤t tØ, này&I#Pchính là cüa ngß½i Li­u. '
57	32	4	Loát Phän r½i xu¯ng	#{_BOSS29}#Pv»a ğánh v×a lui, th· dài: 'Bãi Bãi Bãi! Xem nhß ngß½i lşi hÕi! 'phi thân mà ği, không nghî Khß¾c r½i xu¯ng Cá b÷c nhö, #W&U#PTá Khai v×a th¤y, cûng#cB3DB35&I#Pmµt cái.
58	32	4	Loát Phän r½i xu¯ng	#W&U#PDß#{_BOSS29}#Pm¡t lÕnh tß½ng ğ¯i, ğ°ng th¶i ra chiêu, #W&U#Pli«u mÕng Ai mµt ğao, Thung#{_BOSS29}#Ptrên ngß¶i mßşn gió bë mång l¤y ra mµt cái#cB3DB35&I#PLai.
59	33	4	Bäo Tß½ng Ğ°ng TØ r½i xu¯ng	#G&S#PThßşng, #W&U#Ptrèo non lµi su¯i, trèo ğèo lµi su¯i, r¯t cøc mµt phen b¡t#{_BOSS61}#PĞích bím tóc, mµt quy¬n#W&I#PcÑ nhß v§y vào tay.
60	34	4	Long Quân	#GTHánh Thú S½n#Pthßşng phong Quang Häo, #{_BOSS44}#PChính mang theo trân quı Ğích Long Quân Ğän TÕi h¤p thu Thiên Ğ¸a Linh Khí, không ng¶ phía sau bøi cö Trung ğµt nhiên thoát ra#W&U#P, ôM l¤y#W&I#Pxoay ngß¶i bö chÕy.
61	35	4	Anh Chiêu	#W&U#Pnghe nói Yªn TØ ‘ Trung Hæu thßşng c± th¥n thú Anh Chiêu thß¶ng lui t¾i, ToÕi t§p hşp nhân thü Hß¾ng#{_BOSS0}#PmÕnh m¨ Sách Yêu, #{_BOSS0}#Pr½i vào ğß¶ng cùng chï phäi giao ra mµt quä#W&I#P.
62	36	4	Hàn Ng÷c C¯c Hùng	#GTÔ Châu(179, 130)#YLâm Tri«u Hùng#Pm¶i dñ h÷p tham gia Hàn Ng÷c C¯c chÕy bµ ğÕi tái. Tr§n ğ¤u Trung, #{_BOSS62}Nhân th¬ tr÷ng quá l¾n, Tß¾ng#W&I#Pném xu¯ng ğ¤t, phát ğµng tiªn lên. Ğãn vçn ğang không ğ¸ch lÕi#W&U#PĞích Lång Ba Vi Bµ!
63	37	4	Hàn Ng÷c C¯c Th¯	#W&U#Pthông qua#GTô Châu(179, 130)#YLâm Tri«u Hùng#Pbiªt ğßşc#{_BOSS64}¦n cß TÕi Hàn Ng÷c C¯c, vì thª S¤n Ki gi¤c ngü trßa hªt sÑc, nh¤t chiêu'hoàn toàn thay ğ±i Cß¾c'. Nh§n ğßşc Li­u mµt cái#W&I#P.
64	38	4	Hàn Ng÷c C¯c Áp	#W&U#Pkhoái ı Ân Thù, ngàn d§m bay nhanh, TÕi#GTô Châu(179, 130)#YLâm Tri«u Hùng#PĞích dß¾i sñ trş giúp Trñc Ğäo Hàn Ng÷c C¯c Nµi, mµt chß·ng Tß¾ng#{_BOSS63}Ğích ChuÖ Tá Bi¬n. Nh§n ğßşc Li­u mµt cái#W&I#P.
65	39	4	Trß¶ng BÕch S½n	#W&U#Pğang ·#G&S#Pchung quanh tìm kiªm Nhân Tham, Khß¾c ngoài ı mu¯n Ğích phát hi®n Li­u mµt phen#W&I#P, kHông khöi vui m×ng quá ğ²i.
66	39	4	Trß¶ng BÕch S½n	#W&U#Pkhông ch¸u n±i nóng bÑc th¶i tiªt, ngàn d§m xa xôi lao t¾i#G&S#P, rt cøc T¥m Ğ¡c#W&I#Pmµt phen, trong lúc nh¤t th¶i Nhß HoÕch chí bäo, vui vë ra m£t.
67	41	4	Bang phái n½i dùng chân r½i xu¯ng	#PS´n Th¥n bÕi lui lúc sau#W&U#PSu¤t Ğµi quét tß¾c chiªn trß¶ng, TÕi S½n Th¥n lßu lÕi Ğích th§t l¾n Ğích d¤u chân Trung, phát hi®n Li­u mµt quä ánh sáng ng÷c loá m¡t Ğích#W&I#P.
68	42	4	Phiêu Mi¬u Phong Nhân Dân T® tài li®u r½i xu¯ng	#W&U#PTÕi Phiêu Mi¬u Phong Thßşng vô ı trßşt chân ngã vào thâm c¯c, ğÕi nÕn không chªt H§u dù chßa phát hi®n cái gì võ lâm bí t¸ch, nhßng tìm ğßşc r°i#W&I#P, cOi nhß là Nh¤t bút ı NgoÕi Chi Tài A.
69	43	4	Phiêu Mi¬u Phong Th¥n Tiªt r½i xu¯ng	#W&U#PTÕi Phiêu Mi¬u Phong Trung phát hi®n Nh¤t næ tØ c¥m trong tay bÑc hoÕ cuµn tròn ngØa m£t lên tr¶i hô to: 'Th¸ Tha, Th¸ Tha! 'H§u thä ngß¶i Khiêu Nhai. Nhi mµt cái sáng long lanh Ğích#W&I#PThung di lßu trên m£t ğ¤t Ğích bÑc hoÕ cuµn tròn Trung lån ği ra.
70	44	4	Phiêu Mi¬u Phong Hàn Ng÷c r½i xu¯ng	#PPHiêu Mi¬u Phong Thßşng dông t¯ näy ra, #W&U#P· trong s½n ğµng ğøt mßa Th¶i trong lúc vô ı phát hi®n Li­u mµt viên#W&I#P· trong góc lòe lòe sáng lên.
71	45	4	Bäo hµ bang phái Thiên Cß½ng r½i xu¯ng	#PS´n Th¥n bÕi lui lúc sau, #W&U#PSu¤t Ğµi quét tß¾c chiªn trß¶ng, TÕi S½n Th¥n lßu lÕi Ğích th§t l¾n Ğích d¤u chân Trung, phát hi®n Li­u mµt quä ánh sáng ng÷c loá m¡t Ğích#W&I#P.
72	46	4	Bäo hµ bang phái TrÑng Trân Thú r½i xu¯ng	#W&U#Pğang · bang hµi thành th¸ Trung tu¥n tra gác ğêm, chşt nghe cách ğó không xa mµt tiªng n±, mµt quä kim quang b¡n ra b¯n phía Ğích#W&I#Pt× trên tr¶i giáng xu¯ng.
73	47	4	T¥n Hoàng ğ¸a cung	#W&U#PS¤n#{_BOSS78}#PTÕi T¥n Hoàng Ğ¸a Cung T¥ng 1 xu¤t th¥n Ğích ki¬m kê bäo v§t hªt sÑc, sau lßng mµt cái Muµn Côn ğem Phóng Ğäo, Tính Thu§n ği r°i Tha trong tay Ğích#W&I#Pnh¤t ki®n.
74	48	4	T¥n Hoàng ğ¸a cung	#W&U#PTÕi T¥n Hoàng Ğ¸a Cung T¥ng 2 g£p#{_BOSS79}#P, ğÀnh phäi hùng h± Ğích bång ghª, dép lê, hành tây. T« Phát, ğem Hách Thoái, Tính cao hÑng Ğích nh£t lên Ki lßu lÕi Ğích#W&I#Pnh¤t ki®n.
75	49	4	T¥n Hoàng ğ¸a cung	#PT?n Hoàng Ğ¸a Cung T¥ng 3 Ğích#{_BOSS80}b¤t ğ¡c dî Ğích Ğ¯i#W&U#PThuyªt, không phäi Th¸#W&I#PMa! Cho các ngß½i còn không ğßşc Ma, Bi®t Lão Tiªn ngß¶i ta phòng ngü.
76	50	4	Lâu Lan liên hoàn bän sao	#W&U#Pbay lên mµt cß¾c Tß¾ng#{_BOSS95}#PThích Ğäo, ğang mu¯n ği lên Thi Dî quä ğ¤m, Ngßu Khúc, Ngßu C½ nâng lên#{_BOSS95}#Pxoay ngß¶i bö chÕy, cu¯ng quít bên trong#W&I#PB¸ lßu tÕi trên m£t ğ¤t.
77	51	4	Lâu Lan liên hoàn bän sao	#W&U#PTÕi Ğµc Chß¾ng TrÕch thu th§p thäo dßşc, không nghî Khß¾c b¯i r¯i Gian Ngµ Nh§p#{_BOSS96}#P±, Tính thành công thu§n tay Khiên Xu¤t#W&I#PH§u ¦n thân r¶i ği.
78	52	4	Lâu Lan liên hoàn bän sao	#W&U#Pnh¤t chiêu'Bång Thiên Tuyªt Ğ¸a', #{_BOSS97}#Pch¯ng ğŞ không ğßşc Giá th¤u xß½ng Ğích giá lÕnh, TÕi Li®t thành vô s¯ Toái Kh¯i Ğích ğ°ng th¶i ğ¬ lÕi mµt cái#W&I#P.
79	53	4	Huy«n Võ Ğäo bän sao Hµ Ğäo Th¥n Thú	#W&U#Pğã s¾m nghe nói Huy«n Võ Ğäo phong cänh tuy®t ğ©p, th×a d¸p hôm nay th§t là t¯t th¶i tiªt Lai du l¸ch. #{_BOSS88}#PTÕi tu¥n tra Th¶i Cánh vô ı Thái t¾i r°i Tha tùy tay ném ra Ğích hß½ng tiêu Bì, HoÕt Ğáo trên m£t ğ¤t, Ğiªu ra mµt cái#W&I#P.
80	54	4	Huy«n Võ Ğäo bän sao Phi Thiên Miêu	#{_BOSS89}#PsU¤t lînh Chúng ti¬u ğ® TÕi Huy«n Võ Ğäo Thßşng t× trß¾c Th¸ ğ¤u ğá lung tung, kªt quä hôm nay trßşt chân Khß¾c tiªn vào#W&U#Pğào mµt ngày Ğích b¦y r§p Lı, r½i vào ğß¶ng cùng ğành phäi l¤y ra#W&I#P, cÚi ğ¥u xßng th¥n Li­u.
81	55	4	Huy«n Võ Ğäo bän sao Phi Thiên Miêu ti¬u ğ®	#{_BOSS90}#PğI theo ğÕi ca Vô Ğ¸ch Phi Thiên Miêu, TÕi Huy«n Võ Ğäo Thßşng t× trß¾c Th¸ ğ¤u ğá lung tung, kªt quä hôm nay Khß¾c tiªn vào#W&U#Pğào mµt ngày Ğích b¦y r§p Lı, r½i vào ğß¶ng cùng ğành phäi l¤y ra#W&I#P, lIên thanh xin khoan dung.
82	56	4	Huy«n Võ Ğäo bän sao Phi Thiên Miêu ti¬u ğ®	#{_BOSS91}#PğI theo ğÕi ca Vô Ğ¸ch Phi Thiên Miêu, TÕi Huy«n Võ Ğäo Thßşng t× trß¾c Th¸ ğ¤u ğá lung tung, kªt quä hôm nay Khß¾c tiªn vào#W&U#Pğào mµt ngày Ğích b¦y r§p Lı, r½i vào ğß¶ng cùng ğành phäi l¤y ra#W&I#P, lIên thanh xin khoan dung.
