INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
61	Phø trþ(c¤p b§c 61)	80325	572306	0	0	0	50	Không	0	0
62	Phø trþ(c¤p b§c 62)	85121	605880	0	0	0	50	Không	0	0
63	Phø trþ(c¤p b§c 63)	90250	640748	0	0	0	50	Không	0	0
64	Phø trþ(c¤p b§c 64)	95710	676933	0	0	0	50	Không	0	0
65	Phø trþ(c¤p b§c 65)	101503	714461	0	0	0	50	Không	0	0
66	Phø trþ(c¤p b§c 66)	107628	755055	0	0	0	50	Không	0	0
67	Phø trþ(c¤p b§c 67)	114085	800348	0	0	0	50	Không	0	0
68	Phø trþ(c¤p b§c 68)	120875	850500	0	0	0	50	Không	0	0
69	Phø trþ(c¤p b§c 69)	127997	905675	0	0	0	50	Không	0	0
70	Phø trþ(c¤p b§c 70)	135451	966033	0	0	0	50	Không	0	0
71	Phø trþ(c¤p b§c 71)	143237	1031738	0	0	0	50	Không	0	0
72	Phø trþ(c¤p b§c 72)	151356	1102950	0	0	0	50	Không	0	0
73	Phø trþ(c¤p b§c 73)	159806	1179833	0	0	0	50	Không	0	0
74	Phø trþ(c¤p b§c 74)	168589	1262547	0	0	0	50	Không	0	0
75	Phø trþ(c¤p b§c 75)	177705	1355522	0	0	0	50	Không	0	0
76	Phø trþ(c¤p b§c 76)	187152	1459080	0	0	0	50	Không	0	0
77	Phø trþ(c¤p b§c 77)	196932	1573547	0	0	0	50	Không	0	0
78	Phø trþ(c¤p b§c 78)	207044	1699245	0	0	0	50	Không	0	0
79	Phø trþ(c¤p b§c 79)	217489	1836500	0	0	0	50	Không	0	0
80	Phø trþ(c¤p b§c 80)	228265	2021922	0	0	0	50	Không	0	0
81	Phø trþ(c¤p b§c 81)	239374	2303033	0	0	0	50	Không	0	0
82	Phø trþ(c¤p b§c 82)	250815	2729511	0	0	0	50	Không	0	0
83	Phø trþ(c¤p b§c 83)	262588	3353198	0	0	0	50	Không	0	0
84	Phø trþ(c¤p b§c 84)	274694	4228092	0	0	0	50	Không	0	0
85	Phø trþ(c¤p b§c 85)	287132	5410355	0	0	0	50	Không	0	0
86	Phø trþ(c¤p b§c 86)	299902	6958305	0	0	0	50	Không	0	0
87	Phø trþ(c¤p b§c 87)	313004	8932424	0	0	0	50	Không	0	0
88	Phø trþ(c¤p b§c 88)	326439	11395350	0	0	0	50	Không	0	0
89	Phø trþ(c¤p b§c 89)	340206	14411885	0	0	0	50	Không	0	0
90	Phø trþ(c¤p b§c 90)	354305	18048987	0	0	0	50	Không	0	0
91	Phø trþ(c¤p b§c 91)	368736	22375778	0	0	0	50	Không	0	0
92	Phø trþ(c¤p b§c 92)	383500	27463536	0	0	0	50	Không	0	0
93	Phø trþ(c¤p b§c 93)	398595	33385703	0	0	0	50	Không	0	0
94	Phø trþ(c¤p b§c 94)	414024	40217877	0	0	0	50	Không	0	0
95	Phø trþ(c¤p b§c 95)	429784	48037820	0	0	0	50	Không	0	0
96	Phø trþ(c¤p b§c 96)	445877	56925450	0	0	0	50	Không	0	0
97	Phø trþ(c¤p b§c 97)	462301	66962849	0	0	0	50	Không	0	0
98	Phø trþ(c¤p b§c 98)	479059	78234255	0	0	0	50	Không	0	0
99	Phø trþ(c¤p b§c 99)	496148	90826070	0	0	0	50	Không	0	0
100	Phø trþ(c¤p b§c 100)	0	0	0	0	0	50	Không	0	0
