INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT
55	Môn phái phø trþ(c¤p b§c 55)	72069	418694	0	0	0	1	Không	0	0
56	Môn phái phø trþ(c¤p b§c 56)	76309	446481	0	0	0	1	Không	0	0
57	Môn phái phø trþ(c¤p b§c 57)	80866	475481	0	0	0	1	Không	0	0
58	Môn phái phø trþ(c¤p b§c 58)	85738	505715	0	0	0	1	Không	0	0
59	Môn phái phø trþ(c¤p b§c 59)	90925	537214	0	0	0	1	Không	0	0
60	Môn phái phø trþ(c¤p b§c 60)	96428	570000	0	0	0	1	Không	0	0
61	Môn phái phø trþ(c¤p b§c 61)	102247	604101	0	0	0	1	Không	0	0
62	Môn phái phø trþ(c¤p b§c 62)	108382	639540	0	0	0	1	Không	0	0
63	Môn phái phø trþ(c¤p b§c 63)	114832	676345	0	0	0	1	Không	0	0
64	Môn phái phø trþ(c¤p b§c 64)	121597	714541	0	0	0	1	Không	0	0
65	Môn phái phø trþ(c¤p b§c 65)	128679	754154	0	0	0	1	Không	0	0
66	Môn phái phø trþ(c¤p b§c 66)	136076	797003	0	0	0	1	Không	0	0
67	Môn phái phø trþ(c¤p b§c 67)	143788	844812	0	0	0	1	Không	0	0
68	Môn phái phø trþ(c¤p b§c 68)	151817	897750	0	0	0	1	Không	0	0
69	Môn phái phø trþ(c¤p b§c 69)	160160	955991	0	0	0	1	Không	0	0
70	Môn phái phø trþ(c¤p b§c 70)	168820	1019702	0	0	0	1	Không	0	0
71	Môn phái phø trþ(c¤p b§c 71)	177795	1089057	0	0	0	1	Không	0	0
72	Môn phái phø trþ(c¤p b§c 72)	187086	1164225	0	0	0	1	Không	0	0
73	Môn phái phø trþ(c¤p b§c 73)	196692	1245380	0	0	0	1	Không	0	0
74	Môn phái phø trþ(c¤p b§c 74)	206615	1332689	0	0	0	1	Không	0	0
75	Môn phái phø trþ(c¤p b§c 75)	216852	1430829	0	0	0	1	Không	0	0
76	Môn phái phø trþ(c¤p b§c 76)	227406	1540140	0	0	0	1	Không	0	0
77	Môn phái phø trþ(c¤p b§c 77)	238275	1660967	0	0	0	1	Không	0	0
78	Môn phái phø trþ(c¤p b§c 78)	249459	1793648	0	0	0	1	Không	0	0
79	Môn phái phø trþ(c¤p b§c 79)	260960	1938528	0	0	0	1	Không	0	0
80	Môn phái phø trþ(c¤p b§c 80)	272776	2134251	0	0	0	1	Không	0	0
81	Môn phái phø trþ(c¤p b§c 81)	284907	2430980	0	0	0	1	Không	0	0
82	Môn phái phø trþ(c¤p b§c 82)	297354	2881151	0	0	0	1	Không	0	0
83	Môn phái phø trþ(c¤p b§c 83)	310117	3539487	0	0	0	1	Không	0	0
84	Môn phái phø trþ(c¤p b§c 84)	323196	4462986	0	0	0	1	Không	0	0
85	Môn phái phø trþ(c¤p b§c 85)	336590	5710931	0	0	0	1	Không	0	0
86	Môn phái phø trþ(c¤p b§c 86)	350300	7344878	0	0	0	1	Không	0	0
87	Môn phái phø trþ(c¤p b§c 87)	364325	9428670	0	0	0	1	Không	0	0
88	Môn phái phø trþ(c¤p b§c 88)	378666	12028425	0	0	0	1	Không	0	0
89	Môn phái phø trþ(c¤p b§c 89)	393323	15212546	0	0	0	1	Không	0	0
90	Môn phái phø trþ(c¤p b§c 90)	408295	19051709	0	0	0	1	Không	0	0
91	Môn phái phø trþ(c¤p b§c 91)	423583	23618877	0	0	0	1	Không	0	0
92	Môn phái phø trþ(c¤p b§c 92)	439187	28989288	0	0	0	1	Không	0	0
93	Môn phái phø trþ(c¤p b§c 93)	455106	35240465	0	0	0	1	Không	0	0
94	Môn phái phø trþ(c¤p b§c 94)	471341	42452204	0	0	0	1	Không	0	0
95	Môn phái phø trþ(c¤p b§c 95)	487892	50706588	0	0	0	1	Không	0	0
96	Môn phái phø trþ(c¤p b§c 96)	504758	60087975	0	0	0	1	Không	0	0
97	Môn phái phø trþ(c¤p b§c 97)	521939	70683008	0	0	0	1	Không	0	0
98	Môn phái phø trþ(c¤p b§c 98)	539437	82580603	0	0	0	1	Không	0	0
99	Môn phái phø trþ(c¤p b§c 99)	557250	95871963	0	0	0	1	Không	0	0
100	Môn phái phø trþ(c¤p b§c 100)	575379	95871963	0	0	0	1	Không	0	0
