INT	INT	INT	INT
470	1	554	117
471	1	555	117
472	1	556	98
473	1	557	98
474	1	558	107
475	1	559	107
476	1	560	108
477	1	561	108
478	1	562	130
479	1	563	130
480	1	564	106
481	1	565	106
482	1	566	130
483	1	567	130
484	1	568	108
485	1	569	108
486	1	570	108
487	1	571	108
488	1	572	131
489	1	573	131
490	1	574	108
491	1	575	108
492	1	576	125
493	1	577	125
494	1	578	126
495	1	579	127
496	1	580	128
497	1	581	129
498	1	582	132
499	1	583	132
500	1	584	133
501	1	585	133
502	1	586	134
503	1	587	134
504	1	588	135
505	1	589	135
506	1	590	136
507	1	591	136
508	1	592	137
509	1	593	137
510	1	594	138
511	1	595	138
512	1	596	108
513	1	597	108
514	1	598	110
515	1	599	110
516	1	600	108
517	1	601	108
518	1	602	139
519	1	603	139
520	1	604	114
521	1	605	114
522	1	606	105
523	1	607	105
524	1	608	105
525	1	609	105
526	1	610	105
527	1	611	105
528	1	612	107
529	1	613	107
530	1	614	107
531	1	615	107
532	1	616	107
533	1	617	107
534	2	0	0
535	2	1	1
536	2	2	1
537	2	3	2
538	2	4	3
539	2	5	4
540	2	6	4
541	2	7	4
542	2	14	5
543	2	15	2
544	2	16	6
545	2	23	7
546	2	24	149
547	2	25	9
548	2	51	5
549	2	52	10
550	2	53	11
551	2	65	10
552	2	99	12
553	2	125	13
554	2	126	14
555	2	127	15
556	2	128	16
557	2	129	17
558	2	130	18
559	2	131	19
560	2	132	20
561	2	133	21
562	2	134	22
563	2	135	23
564	2	136	24
565	2	137	25
566	2	138	26
567	2	139	27
568	2	140	28
569	2	141	29
570	2	142	30
571	2	143	31
572	2	144	32
573	2	145	33
574	2	146	34
575	2	147	35
576	2	148	36
577	2	149	37
578	2	150	38
579	2	151	39
580	2	152	40
581	2	153	41
582	2	154	42
583	2	155	43
584	2	156	44
585	2	157	45
586	2	158	46
587	2	159	47
588	2	160	48
589	2	161	49
590	2	162	150
591	2	163	151
592	2	164	152
593	2	165	53
594	2	166	54
595	2	167	55
596	2	168	56
597	2	169	57
598	2	170	58
599	2	171	59
600	2	172	60
601	2	173	61
602	2	174	62
603	2	175	63
604	2	176	64
605	2	177	65
606	2	178	66
607	2	179	67
608	2	180	68
609	2	181	69
610	2	182	70
611	2	183	71
612	2	184	72
613	2	185	73
614	2	186	74
615	2	187	75
616	2	188	76
617	2	189	77
618	2	190	78
619	2	191	79
620	2	192	80
621	2	193	81
622	2	194	82
623	2	195	83
624	2	196	84
625	2	197	85
626	2	198	86
627	2	199	87
628	2	200	88
629	2	201	89
630	2	202	90
631	2	203	91
632	2	204	53
633	2	205	54
634	2	206	55
635	2	450	92
636	2	451	93
637	2	452	94
638	2	453	95
639	2	454	96
640	2	455	97
641	2	456	98
642	2	457	99
643	2	458	100
644	2	459	101
645	2	460	102
646	2	461	103
647	2	462	102
648	2	463	104
649	2	464	105
650	2	465	105
651	2	466	105
652	2	467	105
653	2	468	105
654	2	469	105
655	2	470	105
656	2	471	105
657	2	472	105
658	2	473	105
659	2	474	105
660	2	475	105
661	2	476	105
662	2	477	105
663	2	478	105
664	2	479	105
665	2	480	95
666	2	481	97
667	2	482	106
668	2	483	107
669	2	484	108
670	2	485	107
671	2	486	109
672	2	487	97
673	2	488	110
674	2	489	102
675	2	490	106
676	2	491	111
677	2	492	109
678	2	493	112
679	2	494	97
680	2	495	102
681	2	496	106
682	2	497	97
683	2	498	113
684	2	499	94
685	2	500	105
686	2	501	112
687	2	502	114
688	2	503	112
689	2	504	115
690	2	505	116
691	2	506	111
692	2	507	115
693	2	508	117
694	2	509	118
695	2	510	102
696	2	511	119
697	2	512	105
698	2	513	105
699	2	514	110
700	2	515	120
701	2	516	121
702	2	517	122
703	2	518	122
704	2	519	122
705	2	520	122
706	2	521	123
707	2	522	124
708	2	523	105
709	2	524	95
710	2	525	97
711	2	526	115
712	2	527	125
713	2	528	108
714	2	529	108
715	2	530	108
716	2	531	108
717	2	532	108
718	2	533	108
719	2	534	108
720	2	535	108
721	2	536	108
722	2	537	108
723	2	538	108
724	2	539	108
725	2	540	108
726	2	541	108
727	2	542	108
728	2	543	108
729	2	544	108
730	2	545	108
731	2	546	108
732	2	547	108
733	2	548	126
734	2	549	127
735	2	550	128
736	2	551	129
737	2	552	119
738	2	553	119
739	2	554	117
740	2	555	117
741	2	556	98
742	2	557	98
743	2	558	107
744	2	559	107
745	2	560	108
746	2	561	108
747	2	562	130
748	2	563	130
749	2	564	106
750	2	565	106
751	2	566	130
752	2	567	130
753	2	568	108
754	2	569	108
755	2	570	108
756	2	571	108
757	2	572	131
758	2	573	131
759	2	574	108
760	2	575	108
761	2	576	125
762	2	577	125
763	2	578	126
764	2	579	127
765	2	580	128
766	2	581	129
767	2	582	132
768	2	583	132
769	2	584	133
770	2	585	133
771	2	586	134
772	2	587	134
773	2	588	135
774	2	589	135
775	2	590	136
776	2	591	136
777	2	592	137
778	2	593	137
779	2	594	138
780	2	595	138
781	2	596	108
782	2	597	108
783	2	598	110
784	2	599	110
785	2	600	108
786	2	601	108
787	2	602	139
788	2	603	139
789	2	604	114
790	2	605	114
791	2	606	105
792	2	607	105
793	2	608	105
794	2	609	105
795	2	610	105
796	2	611	105
797	2	612	107
798	2	613	107
799	2	614	107
800	2	615	107
801	2	616	107
802	2	617	107
803	3	0	0
804	3	1	1
805	3	2	1
806	3	3	2
807	3	4	3
808	3	5	140
809	3	6	141
810	3	7	142
811	3	14	5
812	3	15	2
813	3	16	6
814	3	23	7
815	3	24	149
816	3	25	9
817	3	125	13
818	3	126	14
819	3	127	15
820	3	128	16
821	3	129	17
822	3	130	18
823	3	131	19
824	3	132	20
825	3	133	21
826	3	134	22
827	3	135	23
828	3	136	24
829	3	137	25
830	3	138	26
831	3	139	27
832	3	140	28
833	3	141	29
834	3	142	30
835	3	143	31
836	3	144	32
837	3	145	33
838	3	146	34
839	3	147	35
840	3	148	36
841	3	149	37
842	3	150	38
843	3	151	39
844	3	152	40
845	3	153	41
846	3	154	42
847	3	155	43
848	3	156	44
849	3	157	45
850	3	158	46
851	3	159	47
852	3	160	48
853	3	161	49
854	3	162	153
855	3	163	154
856	3	164	155
857	3	165	53
858	3	166	54
859	3	167	55
860	3	168	56
861	3	169	57
862	3	170	58
863	3	171	59
864	3	172	60
865	3	173	61
866	3	174	62
867	3	175	63
868	3	176	64
869	3	177	65
870	3	178	66
871	3	179	67
872	3	180	68
873	3	181	69
874	3	182	70
875	3	183	71
876	3	184	72
877	3	185	73
878	3	186	74
879	3	187	75
880	3	188	76
881	3	189	77
882	3	190	78
883	3	191	79
884	3	192	80
885	3	193	81
886	3	194	82
887	3	195	83
888	3	196	84
889	3	197	85
890	3	198	86
891	3	199	87
892	3	200	88
893	3	201	89
894	3	202	90
895	3	203	91
896	3	204	53
897	3	205	54
898	3	206	55
899	3	450	156
900	3	451	157
901	3	452	158
902	3	453	159
903	3	454	160
904	3	455	159
905	3	456	161
906	3	457	162
907	3	458	163
908	3	459	164
909	3	460	165
910	3	461	166
911	3	462	159
912	3	463	159
913	3	464	159
914	3	465	159
915	3	466	159
916	3	467	159
917	3	468	159
918	3	469	159
919	3	470	159
920	3	471	159
921	3	472	159
922	3	473	159
923	3	474	159
924	3	475	159
925	3	476	159
926	3	477	159
927	3	478	159
928	3	479	159
929	3	480	167
930	3	481	168
931	3	482	169
932	3	483	170
933	3	484	122
934	3	485	159
935	3	486	122
936	3	487	171
937	3	488	172
938	3	489	173
939	3	490	174
940	3	491	175
941	3	492	176
942	3	493	177
943	3	494	178
944	3	495	179
945	3	496	180
946	3	497	181
947	3	498	181
948	3	499	181
949	3	500	181
950	3	501	181
951	3	502	181
952	3	503	181
953	3	504	181
954	3	505	181
955	3	506	181
956	3	507	181
957	3	508	181
958	3	509	181
959	3	510	181
960	3	511	182
961	3	512	182
962	3	513	183
963	3	514	183
964	3	515	184
965	3	516	184
966	3	517	185
967	3	518	185
968	3	519	181
969	3	520	181
970	3	521	186
971	3	522	186
972	3	523	181
973	3	524	181
974	3	525	181
975	3	526	181
976	3	527	181
977	3	528	181
978	3	529	181
979	3	530	181
980	3	531	131
981	3	532	131
982	3	533	181
983	3	534	181
984	3	535	181
985	3	536	181
986	3	537	158
987	3	538	159
988	3	539	159
989	3	540	160
990	3	541	187
991	3	542	187
992	3	543	133
993	3	544	133
994	3	545	134
995	3	546	134
996	3	547	135
997	3	548	135
998	3	549	136
999	3	550	136
1000	3	551	137
1001	3	552	137
1002	3	553	181
1003	3	554	181
1004	3	555	181
1005	3	556	181
1006	3	557	188
1007	3	558	188
1008	3	559	181
1009	3	560	181
1010	4	0	0
1011	4	1	189
1012	4	2	189
1013	4	3	190
1014	4	4	3
1015	4	14	5
1016	4	15	190
1017	4	16	6
1018	4	23	7
1019	4	24	9
1020	4	25	9
1021	4	51	5
1022	4	52	10
1023	4	53	11
1024	4	99	12
1025	4	125	13
1026	4	126	14
1027	4	127	15
1028	4	128	16
1029	4	129	17
1030	4	130	18
1031	4	131	19
1032	4	132	20
1033	4	133	21
1034	4	134	22
1035	4	135	23
1036	4	136	24
1037	4	137	25
1038	4	138	26
1039	4	139	27
1040	4	140	28
1041	4	141	29
1042	4	142	30
1043	4	143	31
1044	4	144	32
1045	4	145	33
1046	4	146	34
1047	4	147	35
1048	4	148	36
1049	4	149	37
1050	4	150	38
1051	4	151	39
1052	4	152	40
1053	4	153	41
1054	4	154	42
1055	4	155	43
1056	4	156	44
1057	4	157	45
1058	4	158	46
1059	4	159	47
1060	4	160	48
1061	4	161	49
1062	4	162	191
1063	4	163	192
1064	4	164	193
1065	4	165	53
1066	4	166	54
1067	4	167	55
1068	4	168	56
1069	4	169	57
1070	4	170	58
1071	4	171	59
1072	4	172	60
1073	4	173	61
1074	4	174	62
1075	4	175	63
1076	4	176	64
1077	4	177	65
1078	4	178	66
1079	4	179	67
1080	4	180	68
1081	4	181	69
1082	4	182	70
1083	4	183	71
1084	4	184	72
1085	4	185	73
1086	4	186	74
1087	4	187	75
1088	4	188	76
1089	4	189	77
1090	4	190	78
1091	4	191	79
1092	4	192	80
1093	4	193	81
1094	4	194	82
1095	4	195	83
1096	4	196	84
1097	4	197	85
1098	4	198	86
1099	4	199	87
1100	4	200	88
1101	4	201	89
1102	4	202	90
1103	4	203	91
1104	4	204	53
1105	4	205	54
1106	4	206	55
1107	4	450	92
1108	4	451	122
1109	4	452	94
1110	4	453	95
1111	4	454	194
1112	4	455	97
1113	4	456	98
1114	4	457	99
1115	4	458	100
1116	4	459	101
1117	4	460	102
1118	4	461	103
1119	4	462	102
1120	4	463	148
1121	4	464	105
1122	4	465	105
1123	4	466	105
1124	4	467	105
1125	4	468	105
1126	4	469	105
1127	4	470	105
1128	4	471	105
1129	4	472	105
1130	4	473	105
1131	4	474	105
1132	4	475	105
1133	4	476	105
1134	4	477	105
1135	4	478	105
1136	4	479	105
1137	4	480	95
1138	4	481	97
1139	4	482	106
1140	4	483	107
1141	4	484	108
1142	4	485	107
1143	4	486	109
1144	4	487	97
1145	4	488	110
1146	4	489	102
1147	4	490	106
1148	4	491	111
1149	4	492	109
1150	4	493	112
1151	4	494	97
1152	4	495	102
1153	4	496	106
1154	4	497	97
1155	4	498	101
1156	4	499	94
1157	4	500	105
1158	4	501	112
1159	4	502	114
1160	4	503	112
1161	4	504	115
1162	4	505	116
1163	4	506	111
1164	4	507	115
1165	4	508	117
1166	4	509	118
1167	4	510	102
1168	4	511	119
1169	4	512	105
1170	4	513	105
1171	4	514	110
1172	4	515	120
1173	4	516	121
1174	4	517	122
1175	4	518	122
1176	4	519	122
1177	4	520	195
1178	4	521	123
1179	4	522	196
1180	4	523	105
1181	4	524	95
1182	4	525	97
1183	4	526	115
1184	4	527	125
1185	4	528	108
1186	4	529	108
1187	4	530	108
1188	4	531	108
1189	4	532	108
1190	4	533	108
1191	4	534	108
1192	4	535	108
1193	4	536	108
1194	4	537	108
1195	4	538	108
1196	4	539	108
1197	4	540	108
1198	4	541	108
1199	4	542	108
1200	4	543	108
1201	4	544	108
1202	4	545	108
1203	4	546	108
1204	4	547	108
1205	4	548	126
1206	4	549	127
1207	4	550	128
1208	4	551	129
1209	4	552	119
1210	4	553	119
1211	4	554	117
1212	4	555	117
1213	4	556	98
1214	4	557	98
1215	4	558	107
1216	4	559	107
1217	4	560	108
1218	4	561	108
1219	4	562	130
1220	4	563	130
1221	4	564	106
1222	4	565	106
1223	4	566	130
1224	4	567	130
1225	4	568	108
1226	4	569	108
1227	4	570	108
1228	4	571	108
1229	4	572	131
1230	4	573	131
1231	4	574	108
1232	4	575	108
1233	4	576	125
1234	4	577	125
1235	4	578	126
1236	4	579	127
1237	4	580	128
1238	4	581	129
1239	4	582	132
1240	4	583	132
1241	4	584	133
1242	4	585	133
1243	4	586	134
1244	4	587	134
1245	4	588	135
1246	4	589	135
1247	4	590	136
1248	4	591	136
1249	4	592	137
1250	4	593	137
1251	4	594	138
1252	4	595	138
1253	4	596	108
1254	4	597	108
1255	4	598	110
1256	4	599	110
1257	4	600	108
1258	4	601	108
1259	4	602	139
1260	4	603	139
1261	4	604	114
1262	4	605	114
1263	4	606	105
1264	4	607	105
1265	4	608	105
1266	4	609	105
1267	4	610	105
1268	4	611	105
1269	4	612	107
1270	4	613	107
1271	4	614	107
1272	4	615	107
1273	4	616	107
1274	4	617	107
1275	5	0	0
1276	5	1	189
1277	5	2	189
1278	5	3	190
1279	5	4	3
1280	5	14	5
1281	5	15	190
1282	5	16	6
1283	5	23	7
1284	5	24	197
1285	5	25	9
1286	5	52	10
1287	5	61	198
1288	5	62	198
1289	5	63	199
1290	5	64	200
1291	5	65	10
1292	5	99	12
1293	5	125	13
1294	5	126	14
1295	5	127	15
1296	5	128	16
1297	5	129	17
1298	5	130	18
1299	5	131	19
1300	5	132	20
1301	5	133	21
1302	5	134	22
1303	5	135	23
1304	5	136	24
1305	5	137	25
1306	5	138	26
1307	5	139	27
1308	5	140	28
1309	5	141	29
1310	5	142	30
1311	5	143	31
1312	5	144	32
1313	5	145	33
1314	5	146	34
1315	5	147	35
1316	5	148	36
1317	5	149	37
1318	5	150	38
1319	5	151	39
1320	5	152	40
1321	5	153	41
1322	5	154	42
1323	5	155	43
1324	5	156	44
1325	5	157	45
1326	5	158	46
1327	5	159	47
1328	5	160	48
1329	5	161	49
1330	5	162	201
1331	5	163	202
1332	5	164	203
1333	5	165	53
1334	5	166	54
1335	5	167	55
1336	5	168	56
1337	5	169	57
1338	5	170	58
1339	5	171	59
1340	5	172	60
1341	5	173	61
1342	5	174	62
1343	5	175	63
1344	5	176	64
1345	5	177	65
1346	5	178	66
1347	5	179	67
1348	5	180	68
1349	5	181	69
1350	5	182	70
1351	5	183	71
1352	5	184	72
1353	5	185	73
1354	5	186	74
1355	5	187	75
1356	5	188	76
1357	5	189	77
1358	5	190	78
1359	5	191	79
1360	5	192	80
1361	5	193	81
1362	5	194	82
1363	5	195	83
1364	5	196	84
1365	5	197	85
1366	5	198	86
1367	5	199	87
1368	5	200	88
1369	5	201	204
1370	5	202	205
1371	5	203	206
1372	5	204	53
1373	5	205	54
1374	5	206	55
1375	5	450	156
1376	5	451	207
1377	5	452	158
1378	5	453	159
1379	5	454	160
1380	5	455	159
1381	5	456	161
1382	5	457	162
1383	5	458	163
1384	5	459	164
1385	5	460	165
1386	5	461	166
1387	5	462	159
1388	5	463	159
1389	5	464	159
1390	5	465	159
1391	5	466	159
1392	5	467	159
1393	5	468	159
1394	5	469	159
1395	5	470	159
1396	5	471	159
1397	5	472	159
1398	5	473	159
1399	5	474	159
1400	5	475	159
1401	5	476	159
1402	5	477	159
1403	5	478	159
1404	5	479	159
1405	5	480	167
1406	5	481	168
1407	5	482	169
1408	5	483	170
1409	5	484	122
1410	5	485	159
1411	5	486	122
1412	5	487	171
1413	5	488	172
1414	5	489	173
1415	5	490	174
1416	5	491	175
1417	5	492	176
1418	5	493	177
1419	5	494	178
1420	5	495	179
1421	5	496	180
1422	5	497	181
1423	5	498	181
1424	5	499	181
1425	5	500	181
1426	5	501	181
1427	5	502	181
1428	5	503	181
1429	5	504	181
1430	5	505	181
1431	5	506	181
1432	5	507	208
1433	5	508	209
1434	5	509	210
1435	5	510	211
1436	5	511	182
1437	5	512	182
1438	5	513	183
1439	5	514	183
1440	5	515	184
1441	5	516	184
1442	5	517	185
1443	5	518	185
1444	5	519	181
1445	5	520	181
1446	5	521	186
1447	5	522	186
1448	5	523	181
1449	5	524	181
1450	5	525	181
1451	5	526	181
1452	5	527	181
1453	5	528	181
1454	5	529	181
1455	5	530	181
1456	5	531	131
1457	5	532	131
1458	5	533	181
1459	5	534	181
1460	5	535	181
1461	5	536	181
1462	5	537	158
1463	5	538	159
1464	5	539	159
1465	5	540	160
1466	5	541	187
1467	5	542	187
1468	5	543	133
1469	5	544	133
1470	5	545	134
1471	5	546	134
1472	5	547	135
1473	5	548	135
1474	5	549	136
1475	5	550	136
1476	5	551	137
1477	5	552	137
1478	5	553	181
1479	5	554	181
1480	5	555	181
1481	5	556	181
1482	5	557	212
1483	5	558	212
1484	5	559	181
1485	5	560	181
1486	6	0	4
1487	6	1	4
1488	6	2	4
1489	6	3	6
1490	6	4	6
1491	6	14	4
1492	6	15	213
1493	6	16	6
1494	6	23	214
1495	6	24	215
1496	6	25	149
1497	6	51	4
1498	6	52	10
1499	6	53	6
1500	6	99	6
1501	6	125	6
1502	6	126	6
1503	6	127	6
1504	6	128	6
1505	6	129	216
1506	6	130	216
1507	6	131	216
1508	6	132	216
1509	6	133	216
1510	6	134	216
1511	6	135	216
1512	6	136	216
1513	6	137	216
1514	6	138	216
1515	6	139	216
1516	6	140	216
1517	6	141	216
1518	6	142	216
1519	6	143	216
1520	6	144	216
1521	6	145	216
1522	6	146	216
1523	6	147	216
1524	6	148	216
1525	6	149	216
1526	6	150	216
1527	6	151	216
1528	6	152	216
1529	6	153	216
1530	6	154	216
1531	6	155	216
1532	6	156	216
1533	6	157	216
1534	6	158	216
1535	6	159	216
1536	6	160	216
1537	6	161	216
1538	6	162	216
1539	6	163	216
1540	6	164	216
1541	6	165	216
1542	6	166	216
1543	6	167	216
1544	6	168	216
1545	6	169	216
1546	6	170	216
1547	6	171	216
1548	6	172	216
1549	6	173	216
1550	6	174	216
1551	6	175	216
1552	6	176	216
1553	6	177	216
1554	6	178	216
1555	6	179	216
1556	6	180	216
1557	6	181	216
1558	6	182	216
1559	6	183	216
1560	6	184	216
1561	6	185	216
1562	6	186	216
1563	6	187	216
1564	6	188	216
1565	6	189	216
1566	6	190	216
1567	6	191	216
1568	6	192	216
1569	6	193	216
1570	6	194	216
1571	6	195	216
1572	6	196	216
1573	6	197	216
1574	6	198	216
1575	6	199	216
1576	6	200	216
1577	6	201	216
1578	6	202	216
1579	6	203	216
1580	6	204	216
1581	6	205	216
1582	6	206	216
1583	6	450	216
1584	6	451	216
1585	6	452	216
1586	6	453	216
1587	6	454	216
1588	6	455	216
1589	6	456	216
1590	6	457	216
1591	6	458	216
1592	6	459	216
1593	6	460	216
1594	6	461	216
1595	6	462	216
1596	6	463	216
1597	6	464	216
1598	6	465	216
1599	6	466	216
1600	6	467	216
1601	6	468	216
1602	6	469	216
1603	6	470	216
1604	6	471	216
1605	6	472	216
1606	6	473	216
1607	6	474	216
1608	6	475	216
1609	6	476	216
1610	6	477	216
1611	6	478	216
1612	6	479	216
1613	6	480	216
1614	6	481	216
1615	6	482	216
1616	6	483	216
1617	6	484	216
1618	6	485	216
1619	6	486	216
1620	6	487	216
1621	6	488	216
1622	6	489	216
1623	6	490	216
1624	6	491	216
1625	6	492	216
1626	6	493	216
1627	6	494	216
1628	6	495	216
1629	6	496	216
1630	6	497	216
1631	6	498	216
1632	6	499	216
1633	6	500	216
1634	6	501	216
1635	6	502	216
1636	6	503	216
1637	6	504	216
1638	6	505	216
1639	6	506	216
1640	6	507	216
1641	6	508	216
1642	6	509	216
1643	6	510	216
1644	6	511	216
1645	6	512	216
1646	6	513	216
1647	6	514	216
1648	6	515	216
1649	6	516	216
1650	6	517	216
1651	6	518	216
1652	6	519	216
1653	6	520	216
1654	6	521	216
1655	6	522	216
1656	6	523	216
1657	6	524	216
1658	6	525	216
1659	6	526	216
1660	6	527	216
1661	6	528	216
